brand_name,product_name,product_subcategory,product_category,product_department,product_family,store_sales,store_cost,unit_sales,the_date,city,state_province,country
Ebony,Ebony Lettuce,Fresh Vegetables,Vegetables,Produce,Food,10.53,4.212,3,3/29/1998 0:00,Issaquah,WA,USA
Gorilla,Gorilla String Cheese,Cheese,Dairy,Dairy,Food,5.37,1.7184,3,4/17/1998 0:00,Issaquah,WA,USA
Gorilla,Gorilla Chocolate Milk,Milk,Dairy,Dairy,Drink,2.94,1.2348,2,4/17/1998 0:00,Issaquah,WA,USA
Musial,Musial Spicy Mints,Hard Candy,Candy,Snacks,Food,8.76,2.8908,3,4/17/1998 0:00,Issaquah,WA,USA
Monarch,Monarch Thai Rice,Rice,Starchy Foods,Starchy Foods,Food,6.22,1.866,2,4/17/1998 0:00,Issaquah,WA,USA
Red Wing,Red Wing Copper Pot Scrubber,Pot Scrubbers,Kitchen Products,Household,Non-Consumable,8.7,2.958,3,4/17/1998 0:00,Issaquah,WA,USA
Gorilla,Gorilla Havarti Cheese,Cheese,Dairy,Dairy,Food,10.02,3.3066,3,3/29/1998 0:00,Issaquah,WA,USA
Even Better,Even Better String Cheese,Cheese,Dairy,Dairy,Food,10.5,3.465,3,3/29/1998 0:00,Issaquah,WA,USA
Bird Call,Bird Call 200 MG Acetominifen,Acetominifen,Pain Relievers,Health and Hygiene,Non-Consumable,9.54,4.5792,3,3/29/1998 0:00,Issaquah,WA,USA
Gauss,Gauss Monthly Home Magazine,Home Magazines,Magazines,Periodicals,Non-Consumable,6.44,3.1556,4,3/29/1998 0:00,Issaquah,WA,USA
Bird Call,Bird Call Conditioning Shampoo,Shampoo,Bathroom Products,Health and Hygiene,Non-Consumable,11.72,4.2192,4,3/29/1998 0:00,Issaquah,WA,USA
Consolidated,Consolidated 200 MG Acetominifen,Acetominifen,Pain Relievers,Health and Hygiene,Non-Consumable,5.49,2.5803,3,4/17/1998 0:00,Issaquah,WA,USA
BBB Best,BBB Best Regular Coffee,Coffee,Hot Beverages,Beverages,Drink,4.48,1.792,4,1/16/1998 0:00,Lynnwood,WA,USA
Urban,Urban Large Eggs,Eggs,Eggs,Eggs,Food,2.62,0.9956,2,6/25/1998 0:00,Lynnwood,WA,USA
Even Better,Even Better 1% Milk,Milk,Dairy,Dairy,Drink,13.16,4.4744,4,6/25/1998 0:00,Lynnwood,WA,USA
