<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	09:00:00	1.55440	1.55465	1.55341	1.55384	4432	0	13
2015.01.02	10:00:00	1.55385	1.55467	1.55145	1.55294	5461	0	14
2015.01.02	11:00:00	1.55296	1.55366	1.54755	1.54785	6281	0	14
2015.01.02	12:00:00	1.54780	1.54794	1.54391	1.54435	5293	0	13
2015.01.02	13:00:00	1.54438	1.54527	1.54262	1.54376	4997	0	13
2015.01.02	14:00:00	1.54371	1.54419	1.54120	1.54255	5219	0	13
2015.01.02	15:00:00	1.54254	1.54386	1.54122	1.54159	4621	0	13
2015.01.02	16:00:00	1.54158	1.54185	1.53883	1.53942	5332	0	13
2015.01.02	17:00:00	1.53967	1.54094	1.53856	1.53873	7062	0	12
2015.01.02	18:00:00	1.53874	1.53911	1.53551	1.53597	5965	0	13
2015.01.02	19:00:00	1.53597	1.53626	1.53513	1.53571	4157	0	13
2015.01.02	20:00:00	1.53577	1.53578	1.53508	1.53520	3473	0	13
2015.01.02	21:00:00	1.53518	1.53544	1.53300	1.53337	3283	0	17
2015.01.02	22:00:00	1.53343	1.53400	1.53268	1.53330	3033	0	16
2015.01.02	23:00:00	1.53328	1.53338	1.53242	1.53244	2171	0	14
2015.01.05	00:00:00	1.52995	1.53021	1.51718	1.52684	5720	0	19
2015.01.05	01:00:00	1.52696	1.52982	1.52609	1.52832	5866	0	18
2015.01.05	02:00:00	1.52833	1.53184	1.52833	1.53086	5067	0	14
2015.01.05	03:00:00	1.53082	1.53181	1.52971	1.53019	4150	0	17
2015.01.05	04:00:00	1.53020	1.53033	1.52906	1.52906	2342	0	14
2015.01.05	05:00:00	1.52903	1.52942	1.52832	1.52877	2395	0	17
2015.01.05	06:00:00	1.52876	1.52909	1.52835	1.52865	2351	0	14
2015.01.05	07:00:00	1.52862	1.52901	1.52764	1.52851	2917	0	13
2015.01.05	08:00:00	1.52851	1.52860	1.52722	1.52806	2866	0	13
2015.01.05	09:00:00	1.52810	1.52986	1.52782	1.52902	4733	0	13
2015.01.05	10:00:00	1.52897	1.53184	1.52897	1.53032	6344	0	14
2015.01.05	11:00:00	1.53033	1.53126	1.52849	1.53049	6175	0	13
2015.01.05	12:00:00	1.53045	1.53064	1.52659	1.52660	5740	0	13
2015.01.05	13:00:00	1.52659	1.52712	1.52481	1.52532	5579	0	13
2015.01.05	14:00:00	1.52527	1.52536	1.52043	1.52138	6284	0	14
2015.01.05	15:00:00	1.52138	1.52361	1.52048	1.52069	6073	0	12
2015.01.05	16:00:00	1.52071	1.52334	1.52024	1.52299	6539	0	13
2015.01.05	17:00:00	1.52302	1.52456	1.52188	1.52397	6298	0	12
2015.01.05	18:00:00	1.52392	1.52429	1.52282	1.52326	5382	0	12
2015.01.05	19:00:00	1.52326	1.52399	1.52237	1.52252	4364	0	13
2015.01.05	20:00:00	1.52251	1.52482	1.52203	1.52481	4144	0	14
2015.01.05	21:00:00	1.52481	1.52596	1.52440	1.52535	2555	0	13
2015.01.05	22:00:00	1.52535	1.52697	1.52507	1.52520	2734	0	14
2015.01.05	23:00:00	1.52523	1.52593	1.52467	1.52483	2361	0	13
2015.01.06	00:00:00	1.52482	1.52535	1.52457	1.52510	2572	0	14
2015.01.06	01:00:00	1.52510	1.52605	1.52491	1.52560	1970	0	14
2015.01.06	02:00:00	1.52561	1.52645	1.52538	1.52644	2399	0	14
2015.01.06	03:00:00	1.52644	1.52649	1.52558	1.52599	2226	0	15
