<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	09:00:00	1.55440	1.55440	1.55370	1.55402	1349	0	16
2015.01.02	09:15:00	1.55401	1.55441	1.55387	1.55388	842	0	13
2015.01.02	09:30:00	1.55388	1.55465	1.55365	1.55382	1133	0	13
2015.01.02	09:45:00	1.55382	1.55453	1.55341	1.55384	1108	0	13
2015.01.02	10:00:00	1.55385	1.55465	1.55356	1.55391	1367	0	14
2015.01.02	10:15:00	1.55394	1.55467	1.55375	1.55402	1189	0	14
2015.01.02	10:30:00	1.55401	1.55424	1.55172	1.55219	1440	0	14
2015.01.02	10:45:00	1.55222	1.55357	1.55145	1.55294	1465	0	14
2015.01.02	11:00:00	1.55296	1.55366	1.55118	1.55123	1406	0	14
2015.01.02	11:15:00	1.55121	1.55157	1.55057	1.55155	1360	0	14
2015.01.02	11:30:00	1.55151	1.55151	1.54780	1.54835	1929	0	14
2015.01.02	11:45:00	1.54836	1.54863	1.54755	1.54785	1586	0	14
2015.01.02	12:00:00	1.54780	1.54794	1.54465	1.54543	1702	0	14
2015.01.02	12:15:00	1.54542	1.54621	1.54445	1.54508	1375	0	13
2015.01.02	12:30:00	1.54508	1.54564	1.54459	1.54498	1149	0	13
2015.01.02	12:45:00	1.54492	1.54550	1.54391	1.54435	1067	0	14
2015.01.02	13:00:00	1.54438	1.54527	1.54376	1.54400	1384	0	13
2015.01.02	13:15:00	1.54399	1.54407	1.54321	1.54328	1142	0	14
2015.01.02	13:30:00	1.54328	1.54358	1.54262	1.54265	1250	0	14
2015.01.02	13:45:00	1.54266	1.54398	1.54262	1.54376	1221	0	14
2015.01.02	14:00:00	1.54371	1.54419	1.54123	1.54190	1538	0	13
2015.01.02	14:15:00	1.54191	1.54238	1.54122	1.54176	1215	0	14
2015.01.02	14:30:00	1.54174	1.54280	1.54120	1.54280	1371	0	13
2015.01.02	14:45:00	1.54277	1.54278	1.54217	1.54255	1095	0	13
2015.01.02	15:00:00	1.54254	1.54386	1.54236	1.54365	1012	0	14
2015.01.02	15:15:00	1.54363	1.54372	1.54122	1.54152	1549	0	13
2015.01.02	15:30:00	1.54153	1.54195	1.54152	1.54164	1069	0	14
2015.01.02	15:45:00	1.54165	1.54191	1.54129	1.54159	991	0	14
2015.01.02	16:00:00	1.54158	1.54185	1.54036	1.54065	1192	0	13
2015.01.02	16:15:00	1.54060	1.54098	1.54009	1.54026	1184	0	13
2015.01.02	16:30:00	1.54027	1.54094	1.53968	1.54012	1470	0	14
2015.01.02	16:45:00	1.54012	1.54034	1.53883	1.53942	1486	0	14
2015.01.02	17:00:00	1.53967	1.54094	1.53856	1.54011	2014	0	12
2015.01.02	17:15:00	1.54010	1.54042	1.53913	1.54006	1738	0	14
2015.01.02	17:30:00	1.54008	1.54044	1.53920	1.53980	1631	0	13
2015.01.02	17:45:00	1.53979	1.53979	1.53870	1.53873	1679	0	14
2015.01.02	18:00:00	1.53874	1.53911	1.53706	1.53761	1519	0	14
2015.01.02	18:15:00	1.53760	1.53832	1.53673	1.53701	1606	0	13
2015.01.02	18:30:00	1.53705	1.53771	1.53621	1.53674	1445	0	13
2015.01.02	18:45:00	1.53672	1.53715	1.53551	1.53597	1395	0	14
2015.01.02	19:00:00	1.53597	1.53619	1.53536	1.53546	1223	0	13
2015.01.02	19:15:00	1.53547	1.53626	1.53525	1.53599	1107	0	13
2015.01.02	19:30:00	1.53596	1.53602	1.53526	1.53549	926	0	14
2015.01.02	19:45:00	1.53548	1.53571	1.53513	1.53571	901	0	13
2015.01.02	20:00:00	1.53577	1.53578	1.53513	1.53518	847	0	13
2015.01.02	20:15:00	1.53515	1.53556	1.53509	1.53529	923	0	14
2015.01.02	20:30:00	1.53528	1.53567	1.53527	1.53551	789	0	13
2015.01.02	20:45:00	1.53550	1.53565	1.53508	1.53520	914	0	14
2015.01.02	21:00:00	1.53518	1.53544	1.53501	1.53512	777	0	18
2015.01.02	21:15:00	1.53513	1.53532	1.53390	1.53409	661	0	17
2015.01.02	21:30:00	1.53409	1.53459	1.53311	1.53329	958	0	18
2015.01.02	21:45:00	1.53330	1.53411	1.53300	1.53337	887	0	18
2015.01.02	22:00:00	1.53343	1.53350	1.53268	1.53282	775	0	18
2015.01.02	22:15:00	1.53280	1.53362	1.53280	1.53305	760	0	16
2015.01.02	22:30:00	1.53305	1.53400	1.53300	1.53321	779	0	19
2015.01.02	22:45:00	1.53319	1.53365	1.53314	1.53330	719	0	17
2015.01.02	23:00:00	1.53328	1.53336	1.53311	1.53328	591	0	18
2015.01.02	23:15:00	1.53329	1.53338	1.53316	1.53331	451	0	14
2015.01.02	23:30:00	1.53332	1.53337	1.53303	1.53324	339	0	14
2015.01.02	23:45:00	1.53323	1.53323	1.53242	1.53244	790	0	14
2015.01.05	00:00:00	1.52995	1.53021	1.51718	1.52475	1699	0	23
2015.01.05	00:15:00	1.52454	1.52618	1.52454	1.52567	1405	0	24
2015.01.05	00:30:00	1.52567	1.52721	1.52479	1.52678	1131	0	20
2015.01.05	00:45:00	1.52678	1.52745	1.52587	1.52684	1485	0	19
2015.01.05	01:00:00	1.52696	1.52872	1.52677	1.52681	1649	0	18
2015.01.05	01:15:00	1.52680	1.52701	1.52609	1.52676	1439	0	21
2015.01.05	01:30:00	1.52677	1.52916	1.52676	1.52899	1444	0	19
2015.01.05	01:45:00	1.52899	1.52982	1.52818	1.52832	1334	0	20
2015.01.05	02:00:00	1.52833	1.53076	1.52833	1.53018	1358	0	14
2015.01.05	02:15:00	1.53018	1.53091	1.52979	1.53053	1207	0	20
2015.01.05	02:30:00	1.53053	1.53097	1.53029	1.53084	1075	0	20
2015.01.05	02:45:00	1.53084	1.53184	1.53042	1.53086	1427	0	15
2015.01.05	03:00:00	1.53082	1.53100	1.53015	1.53082	1092	0	19
2015.01.05	03:15:00	1.53083	1.53181	1.53074	1.53139	1026	0	17
2015.01.05	03:30:00	1.53138	1.53138	1.52994	1.52995	1100	0	19
2015.01.05	03:45:00	1.52996	1.53032	1.52971	1.53019	932	0	18
2015.01.05	04:00:00	1.53020	1.53031	1.52991	1.53005	613	0	18
2015.01.05	04:15:00	1.53005	1.53019	1.52999	1.53013	562	0	14
2015.01.05	04:30:00	1.53012	1.53033	1.52986	1.53020	494	0	16
2015.01.05	04:45:00	1.53012	1.53017	1.52906	1.52906	673	0	17
2015.01.05	05:00:00	1.52903	1.52903	1.52832	1.52847	600	0	18
2015.01.05	05:15:00	1.52848	1.52881	1.52847	1.52864	544	0	18
2015.01.05	05:30:00	1.52863	1.52942	1.52839	1.52910	700	0	17
2015.01.05	05:45:00	1.52910	1.52912	1.52877	1.52877	551	0	18
2015.01.05	06:00:00	1.52876	1.52886	1.52835	1.52842	690	0	14
2015.01.05	06:15:00	1.52842	1.52896	1.52842	1.52865	632	0	14
2015.01.05	06:30:00	1.52865	1.52886	1.52838	1.52869	575	0	14
2015.01.05	06:45:00	1.52868	1.52909	1.52865	1.52865	454	0	16
2015.01.05	07:00:00	1.52862	1.52901	1.52840	1.52892	655	0	13
2015.01.05	07:15:00	1.52893	1.52898	1.52832	1.52841	669	0	14
2015.01.05	07:30:00	1.52842	1.52848	1.52774	1.52774	829	0	13
2015.01.05	07:45:00	1.52773	1.52858	1.52764	1.52851	764	0	14
2015.01.05	08:00:00	1.52851	1.52860	1.52796	1.52796	823	0	14
2015.01.05	08:15:00	1.52791	1.52820	1.52736	1.52743	710	0	14
