<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	06:00:00	1520.26	1520.36	1519.39	1519.39	756	0	20
2020.01.02	07:00:00	1519.37	1520.36	1518.95	1520.19	1448	0	19
2020.01.02	08:00:00	1520.20	1520.91	1519.30	1520.87	1969	0	20
2020.01.02	09:00:00	1520.94	1521.37	1519.03	1519.11	3457	0	19
2020.01.02	10:00:00	1519.11	1520.93	1518.38	1520.75	4209	0	17
2020.01.02	11:00:00	1520.75	1521.35	1519.52	1520.60	3043	0	22
2020.01.02	12:00:00	1520.61	1521.39	1519.60	1521.19	2739	0	16
2020.01.02	13:00:00	1521.19	1522.39	1521.14	1521.93	2376	0	18
2020.01.02	14:00:00	1521.92	1523.61	1521.52	1523.08	2144	0	17
2020.01.02	15:00:00	1523.08	1529.01	1522.68	1528.04	4949	0	16
2020.01.02	16:00:00	1528.04	1530.53	1525.59	1526.25	5757	0	15
2020.01.02	17:00:00	1526.31	1531.32	1525.83	1529.10	6442	0	17
2020.01.02	18:00:00	1529.10	1529.18	1525.20	1525.45	5773	0	14
2020.01.02	19:00:00	1525.47	1526.01	1522.75	1525.19	3913	0	14
2020.01.02	20:00:00	1525.19	1526.47	1524.85	1526.29	2320	0	18
2020.01.02	21:00:00	1526.29	1526.89	1525.49	1526.70	1718	0	16
2020.01.02	22:00:00	1526.75	1528.55	1526.45	1528.31	1865	0	16
2020.01.02	23:00:00	1528.31	1529.01	1527.91	1528.77	646	0	18
2020.01.03	01:00:00	1528.25	1528.85	1527.86	1528.84	664	0	18
2020.01.03	02:00:00	1529.11	1530.60	1528.95	1530.53	1269	0	18
2020.01.03	03:00:00	1530.49	1535.78	1529.88	1534.89	3225	0	14
2020.01.03	04:00:00	1534.89	1541.00	1532.54	1538.19	5581	0	14
2020.01.03	05:00:00	1538.25	1540.54	1537.68	1538.59	3476	0	14
2020.01.03	06:00:00	1538.56	1539.59	1537.39	1538.73	2314	0	19
2020.01.03	07:00:00	1538.73	1543.80	1538.23	1541.42	4420	0	16
2020.01.03	08:00:00	1541.42	1542.57	1540.99	1541.18	2799	0	18
2020.01.03	09:00:00	1541.26	1543.95	1540.12	1543.39	4757	0	18
2020.01.03	10:00:00	1543.42	1545.36	1542.87	1544.24	5609	0	14
