<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	0.66953	0.67083	0.66950	0.67081	571	0	30
2025.12.29	01:00:00	0.67072	0.67156	0.67069	0.67141	1047	0	0
2025.12.29	02:00:00	0.67141	0.67182	0.67135	0.67155	1439	0	8
2025.12.29	03:00:00	0.67156	0.67220	0.67147	0.67187	1745	0	8
2025.12.29	04:00:00	0.67187	0.67235	0.67146	0.67218	1282	0	8
2025.12.29	05:00:00	0.67218	0.67270	0.67201	0.67246	822	0	8
2025.12.29	06:00:00	0.67247	0.67256	0.67206	0.67212	686	0	0
2025.12.29	07:00:00	0.67211	0.67233	0.67148	0.67151	1065	0	8
2025.12.29	08:00:00	0.67150	0.67177	0.67106	0.67146	1210	0	5
2025.12.29	09:00:00	0.67147	0.67215	0.67117	0.67119	1684	0	4
2025.12.29	10:00:00	0.67109	0.67118	0.67007	0.67032	1948	0	4
2025.12.29	11:00:00	0.67033	0.67048	0.66931	0.66993	1880	0	4
2025.12.29	12:00:00	0.66993	0.67056	0.66993	0.66997	1361	0	4
2025.12.29	13:00:00	0.66996	0.67005	0.66945	0.66949	1363	0	4
2025.12.29	14:00:00	0.66948	0.66959	0.66828	0.66893	1509	0	4
2025.12.29	15:00:00	0.66894	0.66955	0.66881	0.66935	2102	0	4
2025.12.29	16:00:00	0.66934	0.67030	0.66865	0.66936	3031	0	4
2025.12.29	17:00:00	0.66936	0.66996	0.66849	0.66955	3361	0	4
2025.12.29	18:00:00	0.66956	0.66985	0.66877	0.66898	2355	0	4
2025.12.29	19:00:00	0.66896	0.66908	0.66864	0.66884	1510	0	5
2025.12.29	20:00:00	0.66883	0.66928	0.66872	0.66880	1176	0	5
2025.12.29	21:00:00	0.66880	0.66973	0.66867	0.66959	992	0	5
2025.12.29	22:00:00	0.66958	0.66965	0.66905	0.66918	877	0	5
2025.12.29	23:00:00	0.66911	0.66943	0.66902	0.66928	539	0	0
2025.12.30	00:00:00	0.66919	0.66928	0.66892	0.66921	507	0	21
2025.12.30	01:00:00	0.66929	0.66952	0.66919	0.66946	554	0	0
2025.12.30	02:00:00	0.66946	0.66961	0.66932	0.66953	880	0	8
2025.12.30	03:00:00	0.66952	0.67039	0.66916	0.67038	1422	0	8
2025.12.30	04:00:00	0.67039	0.67059	0.66965	0.67038	1186	0	0
2025.12.30	05:00:00	0.67039	0.67084	0.67015	0.67055	934	0	8
2025.12.30	06:00:00	0.67054	0.67108	0.67054	0.67098	629	0	0
2025.12.30	07:00:00	0.67100	0.67147	0.67084	0.67134	988	0	8
2025.12.30	08:00:00	0.67134	0.67176	0.67126	0.67163	1110	0	5
2025.12.30	09:00:00	0.67163	0.67163	0.67058	0.67064	1191	0	4
2025.12.30	10:00:00	0.67065	0.67092	0.67022	0.67054	1344	0	4
2025.12.30	11:00:00	0.67054	0.67101	0.67043	0.67044	1157	0	4
2025.12.30	12:00:00	0.67042	0.67119	0.67042	0.67078	997	0	4
2025.12.30	13:00:00	0.67078	0.67088	0.66987	0.67002	948	0	4
2025.12.30	14:00:00	0.67005	0.67032	0.66982	0.67016	1195	0	4
2025.12.30	15:00:00	0.67015	0.67051	0.66921	0.66941	1935	0	4
2025.12.30	16:00:00	0.66939	0.67009	0.66933	0.66998	2078	0	4
2025.12.30	17:00:00	0.66998	0.67016	0.66876	0.67004	2237	0	4
2025.12.30	18:00:00	0.67004	0.67022	0.66957	0.67011	2009	0	4
2025.12.30	19:00:00	0.67011	0.67033	0.66990	0.67027	1235	0	5
2025.12.30	20:00:00	0.67028	0.67037	0.66970	0.66979	1027	0	5
2025.12.30	21:00:00	0.66977	0.66991	0.66929	0.66955	1084	0	5
2025.12.30	22:00:00	0.66956	0.66976	0.66926	0.66928	978	0	5
2025.12.30	23:00:00	0.66921	0.66959	0.66921	0.66955	470	0	0
