<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.20	00:00:00	0.69639	0.69639	0.69628	0.69629	3	0	53
2026.07.20	00:01:00	0.69629	0.69633	0.69628	0.69633	7	0	56
2026.07.20	00:02:00	0.69633	0.69635	0.69633	0.69635	2	0	47
2026.07.20	00:03:00	0.69635	0.69637	0.69635	0.69636	14	0	46
2026.07.20	00:04:00	0.69636	0.69636	0.69636	0.69636	1	0	47
2026.07.20	00:05:00	0.69636	0.69659	0.69636	0.69657	7	0	27
2026.07.20	00:06:00	0.69657	0.69657	0.69657	0.69657	1	0	31
2026.07.20	00:07:00	0.69657	0.69657	0.69639	0.69640	11	0	15
2026.07.20	00:08:00	0.69640	0.69642	0.69640	0.69642	2	0	25
2026.07.20	00:09:00	0.69642	0.69642	0.69640	0.69640	2	0	22
2026.07.20	00:10:00	0.69640	0.69640	0.69640	0.69640	1	0	13
2026.07.20	00:11:00	0.69640	0.69646	0.69640	0.69646	5	0	10
2026.07.20	00:12:00	0.69646	0.69646	0.69644	0.69646	3	0	11
2026.07.20	00:13:00	0.69646	0.69646	0.69644	0.69644	2	0	11
2026.07.20	00:14:00	0.69644	0.69664	0.69644	0.69661	15	0	8
2026.07.20	00:15:00	0.69661	0.69665	0.69661	0.69664	8	0	13
2026.07.20	00:16:00	0.69664	0.69666	0.69664	0.69664	3	0	17
2026.07.20	00:17:00	0.69664	0.69664	0.69662	0.69662	4	0	11
2026.07.20	00:18:00	0.69662	0.69662	0.69662	0.69662	1	0	13
2026.07.20	00:19:00	0.69662	0.69662	0.69662	0.69662	1	0	17
2026.07.20	00:20:00	0.69662	0.69662	0.69662	0.69662	1	0	17
2026.07.20	00:21:00	0.69662	0.69662	0.69662	0.69662	1	0	16
2026.07.20	00:22:00	0.69662	0.69662	0.69656	0.69656	2	0	16
2026.07.20	00:23:00	0.69656	0.69656	0.69656	0.69656	1	0	26
2026.07.20	00:24:00	0.69656	0.69656	0.69656	0.69656	1	0	26
2026.07.20	00:25:00	0.69656	0.69656	0.69656	0.69656	1	0	22
2026.07.20	00:26:00	0.69656	0.69672	0.69656	0.69671	5	0	6
2026.07.20	00:27:00	0.69671	0.69672	0.69671	0.69671	3	0	6
2026.07.20	00:28:00	0.69671	0.69671	0.69671	0.69671	1	0	5
2026.07.20	00:29:00	0.69671	0.69673	0.69671	0.69673	5	0	4
2026.07.20	00:30:00	0.69673	0.69673	0.69671	0.69672	12	0	4
2026.07.20	00:31:00	0.69672	0.69673	0.69669	0.69670	9	0	9
2026.07.20	00:32:00	0.69670	0.69671	0.69669	0.69671	6	0	8
2026.07.20	00:33:00	0.69671	0.69671	0.69669	0.69670	3	0	8
2026.07.20	00:34:00	0.69670	0.69670	0.69669	0.69669	2	0	10
2026.07.20	00:35:00	0.69669	0.69669	0.69669	0.69669	1	0	14
2026.07.20	00:36:00	0.69669	0.69674	0.69658	0.69673	11	0	1
2026.07.20	00:37:00	0.69676	0.69676	0.69664	0.69674	7	0	7
2026.07.20	00:38:00	0.69674	0.69674	0.69673	0.69673	2	0	10
2026.07.20	00:39:00	0.69673	0.69673	0.69673	0.69673	1	0	10
2026.07.20	00:40:00	0.69673	0.69673	0.69672	0.69672	2	0	9
2026.07.20	00:41:00	0.69672	0.69674	0.69670	0.69674	7	0	9
2026.07.20	00:42:00	0.69674	0.69677	0.69674	0.69677	3	0	9
2026.07.20	00:43:00	0.69677	0.69677	0.69676	0.69676	2	0	10
2026.07.20	00:44:00	0.69676	0.69676	0.69676	0.69676	1	0	11
2026.07.20	00:45:00	0.69676	0.69677	0.69676	0.69677	4	0	9
2026.07.20	00:46:00	0.69677	0.69677	0.69673	0.69673	2	0	10
2026.07.20	00:47:00	0.69673	0.69673	0.69673	0.69673	1	0	14
2026.07.20	00:48:00	0.69673	0.69673	0.69673	0.69673	1	0	14
2026.07.20	00:49:00	0.69673	0.69673	0.69673	0.69673	1	0	14
2026.07.20	00:50:00	0.69673	0.69673	0.69655	0.69655	5	0	14
2026.07.20	00:51:00	0.69655	0.69666	0.69655	0.69666	3	0	20
2026.07.20	00:52:00	0.69666	0.69666	0.69666	0.69666	1	0	19
2026.07.20	00:53:00	0.69666	0.69672	0.69666	0.69667	6	0	12
2026.07.20	00:54:00	0.69667	0.69667	0.69667	0.69667	1	0	18
2026.07.20	00:55:00	0.69667	0.69667	0.69666	0.69667	3	0	15
2026.07.20	00:56:00	0.69667	0.69667	0.69667	0.69667	1	0	17
2026.07.20	00:57:00	0.69667	0.69667	0.69667	0.69667	1	0	20
2026.07.20	00:58:00	0.69667	0.69667	0.69667	0.69667	1	0	19
2026.07.20	00:59:00	0.69667	0.69667	0.69667	0.69667	1	0	19
2026.07.20	01:00:00	0.69667	0.69713	0.69664	0.69707	226	0	0
2026.07.20	01:01:00	0.69707	0.69714	0.69699	0.69713	101	0	0
2026.07.20	01:02:00	0.69713	0.69731	0.69699	0.69702	133	0	0
2026.07.20	01:03:00	0.69702	0.69713	0.69701	0.69701	77	0	0
2026.07.20	01:04:00	0.69701	0.69711	0.69699	0.69703	103	0	0
2026.07.20	01:05:00	0.69703	0.69717	0.69703	0.69707	86	0	0
2026.07.20	01:06:00	0.69707	0.69713	0.69706	0.69708	93	0	0
2026.07.20	01:07:00	0.69708	0.69713	0.69706	0.69710	63	0	0
2026.07.20	01:08:00	0.69710	0.69715	0.69701	0.69707	61	0	0
2026.07.20	01:09:00	0.69707	0.69717	0.69706	0.69717	44	0	0
2026.07.20	01:10:00	0.69717	0.69718	0.69710	0.69717	104	0	0
2026.07.20	01:11:00	0.69717	0.69723	0.69713	0.69719	78	0	0
2026.07.20	01:12:00	0.69720	0.69726	0.69715	0.69726	73	0	0
2026.07.20	01:13:00	0.69726	0.69732	0.69725	0.69726	60	0	0
2026.07.20	01:14:00	0.69726	0.69733	0.69720	0.69723	90	0	0
2026.07.20	01:15:00	0.69723	0.69738	0.69723	0.69729	139	0	0
2026.07.20	01:16:00	0.69729	0.69742	0.69728	0.69737	119	0	0
2026.07.20	01:17:00	0.69737	0.69737	0.69707	0.69712	142	0	0
