<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	184.144	184.192	183.958	184.170	531	0	300
2025.12.29	00:15:00	184.170	184.392	184.170	184.363	207	0	80
2025.12.29	00:30:00	184.363	184.364	184.231	184.260	960	0	80
2025.12.29	00:45:00	184.267	184.324	184.227	184.242	884	0	80
2025.12.29	01:00:00	184.242	184.384	184.242	184.286	634	0	22
2025.12.29	01:15:00	184.286	184.305	184.230	184.251	855	0	22
2025.12.29	01:30:00	184.252	184.350	184.225	184.296	956	0	22
2025.12.29	01:45:00	184.289	184.307	184.220	184.257	774	0	22
2025.12.29	02:00:00	184.256	184.259	183.792	183.867	1967	0	22
2025.12.29	02:15:00	183.874	184.009	183.847	183.964	1548	0	22
2025.12.29	02:30:00	183.955	184.043	183.890	183.980	1794	0	22
2025.12.29	02:45:00	183.976	184.185	183.960	184.136	1996	0	22
2025.12.29	03:00:00	184.137	184.236	184.113	184.136	1871	0	22
2025.12.29	03:15:00	184.135	184.186	184.085	184.115	1564	0	22
2025.12.29	03:30:00	184.109	184.238	184.069	184.204	1470	0	22
2025.12.29	03:45:00	184.202	184.260	184.181	184.254	1347	0	22
2025.12.29	04:00:00	184.253	184.407	184.223	184.372	1400	0	22
2025.12.29	04:15:00	184.366	184.413	184.271	184.305	1332	0	22
2025.12.29	04:30:00	184.310	184.348	184.224	184.251	1195	0	22
2025.12.29	04:45:00	184.250	184.279	184.207	184.258	1198	0	22
2025.12.29	05:00:00	184.253	184.259	184.172	184.185	1112	0	22
2025.12.29	05:15:00	184.176	184.211	184.117	184.144	1010	0	22
2025.12.29	05:30:00	184.137	184.191	184.119	184.183	1258	0	22
2025.12.29	05:45:00	184.175	184.182	184.114	184.145	1103	0	22
2025.12.29	06:00:00	184.153	184.214	184.130	184.153	1279	0	22
2025.12.29	06:15:00	184.161	184.190	184.019	184.037	1128	0	22
2025.12.29	06:30:00	184.036	184.037	183.956	183.977	1274	0	22
2025.12.29	06:45:00	183.989	184.015	183.953	184.013	1270	0	22
2025.12.29	07:00:00	184.011	184.015	183.828	183.862	1440	0	22
2025.12.29	07:15:00	183.863	183.890	183.800	183.882	1362	0	22
2025.12.29	07:30:00	183.875	183.903	183.811	183.824	1324	0	22
2025.12.29	07:45:00	183.821	183.827	183.752	183.809	1280	0	22
2025.12.29	08:00:00	183.804	183.831	183.750	183.806	1373	0	22
2025.12.29	08:15:00	183.808	183.825	183.723	183.789	1298	0	22
2025.12.29	08:30:00	183.796	183.904	183.775	183.887	1416	0	15
2025.12.29	08:45:00	183.881	183.914	183.800	183.869	1562	0	15
2025.12.29	09:00:00	183.858	183.913	183.792	183.885	1959	0	15
2025.12.29	09:15:00	183.886	183.906	183.812	183.872	1730	0	15
2025.12.29	09:30:00	183.874	183.929	183.840	183.887	1431	0	10
2025.12.29	09:45:00	183.888	183.949	183.838	183.858	1627	0	10
2025.12.29	10:00:00	183.857	183.989	183.822	183.970	1766	0	10
2025.12.29	10:15:00	183.956	184.085	183.954	184.038	1524	0	10
2025.12.29	10:30:00	184.032	184.134	184.028	184.089	1774	0	10
2025.12.29	10:45:00	184.095	184.245	184.073	184.218	1822	0	10
2025.12.29	11:00:00	184.210	184.259	184.102	184.107	2049	0	10
2025.12.29	11:15:00	184.114	184.121	184.038	184.070	1631	0	10
2025.12.29	11:30:00	184.058	184.148	183.979	184.011	2128	0	10
2025.12.29	11:45:00	184.025	184.158	184.004	184.134	1868	0	10
2025.12.29	12:00:00	184.134	184.191	184.066	184.126	1730	0	10
2025.12.29	12:15:00	184.127	184.172	184.041	184.079	1646	0	10
2025.12.29	12:30:00	184.070	184.096	184.000	184.023	1727	0	10
2025.12.29	12:45:00	184.032	184.088	183.969	183.987	1578	0	10
2025.12.29	13:00:00	183.996	183.999	183.877	183.906	1734	0	10
2025.12.29	13:15:00	183.905	183.939	183.860	183.928	1545	0	10
2025.12.29	13:30:00	183.935	184.022	183.902	184.013	1469	0	10
2025.12.29	13:45:00	184.011	184.115	183.987	184.068	1773	0	10
2025.12.29	14:00:00	184.077	184.114	183.925	183.948	1780	0	9
2025.12.29	14:15:00	183.935	183.952	183.893	183.915	1626	0	9
2025.12.29	14:30:00	183.921	183.953	183.892	183.916	1523	0	9
2025.12.29	14:45:00	183.917	183.954	183.862	183.927	1727	0	9
