<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	1.17631	1.17704	1.17631	1.17687	14	0	38
2025.12.29	01:00:00	1.17739	1.17778	1.17712	1.17723	1641	0	0
2025.12.29	02:00:00	1.17723	1.17839	1.17715	1.17795	2038	0	0
2025.12.29	03:00:00	1.17795	1.17862	1.17785	1.17840	1479	0	0
2025.12.29	04:00:00	1.17840	1.17850	1.17753	1.17756	1625	0	0
2025.12.29	05:00:00	1.17756	1.17759	1.17710	1.17733	1080	0	0
2025.12.29	06:00:00	1.17733	1.17733	1.17637	1.17642	1024	0	0
2025.12.29	07:00:00	1.17642	1.17642	1.17537	1.17559	1635	0	0
2025.12.29	08:00:00	1.17560	1.17694	1.17541	1.17694	1866	0	0
2025.12.29	09:00:00	1.17694	1.17791	1.17651	1.17770	3364	0	0
2025.12.29	10:00:00	1.17771	1.17886	1.17710	1.17840	4114	0	0
2025.12.29	11:00:00	1.17839	1.17890	1.17715	1.17762	4762	0	0
2025.12.29	12:00:00	1.17762	1.17801	1.17651	1.17657	3834	0	0
2025.12.29	13:00:00	1.17656	1.17711	1.17576	1.17656	3928	0	0
2025.12.29	14:00:00	1.17656	1.17689	1.17554	1.17618	4145	0	0
2025.12.29	15:00:00	1.17616	1.17737	1.17603	1.17696	4849	0	0
2025.12.29	16:00:00	1.17696	1.17886	1.17670	1.17828	5342	0	0
2025.12.29	17:00:00	1.17828	1.17863	1.17663	1.17678	7253	0	0
2025.12.29	18:00:00	1.17677	1.17679	1.17524	1.17559	5259	0	0
2025.12.29	19:00:00	1.17559	1.17568	1.17494	1.17520	3007	0	0
2025.12.29	20:00:00	1.17520	1.17589	1.17505	1.17573	2289	0	0
2025.12.29	21:00:00	1.17573	1.17681	1.17568	1.17672	1655	0	0
2025.12.29	22:00:00	1.17672	1.17705	1.17642	1.17705	2302	0	0
2025.12.29	23:00:00	1.17704	1.17744	1.17698	1.17721	704	0	3
