<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.20	00:00:00	1.14269	1.14269	1.14253	1.14253	2	0	32
2026.07.20	00:01:00	1.14253	1.14253	1.14253	1.14253	1	0	49
2026.07.20	00:02:00	1.14266	1.14266	1.14264	1.14264	2	0	12
2026.07.20	00:03:00	1.14264	1.14264	1.14264	1.14264	1	0	12
2026.07.20	00:04:00	1.14264	1.14264	1.14264	1.14264	1	0	12
2026.07.20	00:05:00	1.14264	1.14279	1.14264	1.14278	14	0	2
2026.07.20	00:06:00	1.14278	1.14278	1.14270	1.14270	7	0	3
2026.07.20	00:07:00	1.14270	1.14286	1.14270	1.14286	13	0	4
2026.07.20	00:08:00	1.14285	1.14286	1.14285	1.14285	9	0	11
2026.07.20	00:09:00	1.14285	1.14286	1.14285	1.14285	3	0	11
2026.07.20	00:10:00	1.14285	1.14300	1.14285	1.14289	14	0	0
2026.07.20	00:11:00	1.14289	1.14297	1.14287	1.14297	5	0	2
2026.07.20	00:12:00	1.14296	1.14296	1.14295	1.14296	3	0	4
2026.07.20	00:13:00	1.14296	1.14296	1.14296	1.14296	1	0	4
2026.07.20	00:14:00	1.14296	1.14296	1.14295	1.14295	2	0	4
2026.07.20	00:15:00	1.14295	1.14298	1.14289	1.14289	8	0	2
2026.07.20	00:16:00	1.14289	1.14289	1.14253	1.14288	4	0	11
2026.07.20	00:17:00	1.14288	1.14292	1.14288	1.14290	4	0	8
2026.07.20	00:18:00	1.14290	1.14291	1.14289	1.14289	8	0	5
2026.07.20	00:19:00	1.14289	1.14291	1.14287	1.14289	104	0	4
2026.07.20	00:20:00	1.14289	1.14290	1.14287	1.14287	7	0	5
2026.07.20	00:21:00	1.14287	1.14287	1.14287	1.14287	1	0	7
2026.07.20	00:22:00	1.14287	1.14310	1.14287	1.14299	4	0	0
2026.07.20	00:23:00	1.14299	1.14299	1.14298	1.14298	92	0	10
2026.07.20	00:24:00	1.14298	1.14303	1.14291	1.14303	7	0	9
2026.07.20	00:25:00	1.14302	1.14303	1.14302	1.14303	32	0	8
2026.07.20	00:26:00	1.14303	1.14303	1.14303	1.14303	1	0	8
2026.07.20	00:27:00	1.14303	1.14308	1.14295	1.14295	23	0	3
2026.07.20	00:28:00	1.14295	1.14309	1.14294	1.14308	39	0	3
2026.07.20	00:29:00	1.14308	1.14310	1.14307	1.14310	12	0	2
2026.07.20	00:30:00	1.14310	1.14310	1.14296	1.14303	3	0	2
2026.07.20	00:31:00	1.14303	1.14303	1.14294	1.14294	6	0	12
2026.07.20	00:32:00	1.14294	1.14304	1.14294	1.14303	6	0	12
2026.07.20	00:33:00	1.14304	1.14304	1.14304	1.14304	1	0	12
2026.07.20	00:34:00	1.14304	1.14304	1.14286	1.14294	21	0	0
2026.07.20	00:35:00	1.14293	1.14294	1.14293	1.14293	9	0	12
2026.07.20	00:36:00	1.14293	1.14296	1.14291	1.14296	6	0	7
2026.07.20	00:37:00	1.14296	1.14313	1.14296	1.14312	24	0	0
2026.07.20	00:38:00	1.14312	1.14312	1.14308	1.14309	8	0	7
2026.07.20	00:39:00	1.14309	1.14309	1.14302	1.14302	12	0	0
2026.07.20	00:40:00	1.14302	1.14308	1.14301	1.14308	8	0	0
2026.07.20	00:41:00	1.14308	1.14308	1.14308	1.14308	1	0	5
2026.07.20	00:42:00	1.14308	1.14308	1.14307	1.14307	2	0	4
2026.07.20	00:43:00	1.14307	1.14307	1.14306	1.14306	2	0	6
2026.07.20	00:44:00	1.14306	1.14316	1.14306	1.14306	3	0	0
2026.07.20	00:45:00	1.14306	1.14312	1.14306	1.14311	5	0	0
2026.07.20	00:46:00	1.14312	1.14315	1.14311	1.14314	6	0	11
2026.07.20	00:47:00	1.14314	1.14314	1.14314	1.14314	1	0	12
2026.07.20	00:48:00	1.14314	1.14314	1.14308	1.14311	8	0	10
2026.07.20	00:49:00	1.14311	1.14316	1.14311	1.14313	6	0	8
2026.07.20	00:50:00	1.14313	1.14313	1.14311	1.14311	6	0	7
2026.07.20	00:51:00	1.14311	1.14311	1.14311	1.14311	1	0	9
2026.07.20	00:52:00	1.14311	1.14311	1.14311	1.14311	1	0	9
2026.07.20	00:53:00	1.14311	1.14311	1.14311	1.14311	1	0	7
2026.07.20	00:54:00	1.14311	1.14311	1.14311	1.14311	1	0	7
2026.07.20	00:55:00	1.14311	1.14311	1.14306	1.14308	9	0	0
2026.07.20	00:56:00	1.14308	1.14310	1.14299	1.14306	12	0	0
2026.07.20	00:57:00	1.14306	1.14307	1.14289	1.14301	14	0	0
2026.07.20	00:58:00	1.14301	1.14302	1.14301	1.14302	2	0	1
2026.07.20	00:59:00	1.14302	1.14302	1.14295	1.14295	7	0	0
2026.07.20	01:00:00	1.14295	1.14308	1.14261	1.14274	197	0	0
2026.07.20	01:01:00	1.14274	1.14282	1.14246	1.14260	196	0	0
2026.07.20	01:02:00	1.14260	1.14286	1.14257	1.14261	118	0	0
2026.07.20	01:03:00	1.14261	1.14274	1.14256	1.14263	98	0	0
2026.07.20	01:04:00	1.14263	1.14274	1.14254	1.14262	158	0	0
2026.07.20	01:05:00	1.14262	1.14275	1.14262	1.14270	95	0	0
2026.07.20	01:06:00	1.14270	1.14274	1.14268	1.14271	96	0	0
