<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	210.926	211.277	210.926	211.164	2359	0	125
2025.12.29	01:00:00	211.152	211.264	211.029	211.192	3813	0	20
2025.12.29	02:00:00	211.193	211.195	210.705	211.079	5730	0	20
2025.12.29	03:00:00	211.081	211.195	210.982	211.162	5221	0	20
2025.12.29	04:00:00	211.163	211.341	211.151	211.298	4284	0	20
2025.12.29	05:00:00	211.289	211.295	211.150	211.204	3571	0	20
2025.12.29	06:00:00	211.202	211.265	210.951	210.999	3661	0	20
2025.12.29	07:00:00	210.999	211.018	210.801	210.879	3960	0	20
2025.12.29	08:00:00	210.880	210.900	210.726	210.783	4754	0	16
2025.12.29	09:00:00	210.783	210.808	210.457	210.484	5642	0	11
2025.12.29	10:00:00	210.484	210.874	210.426	210.739	5560	0	11
2025.12.29	11:00:00	210.737	210.925	210.665	210.877	5617	0	11
2025.12.29	12:00:00	210.876	211.107	210.849	211.015	4739	0	11
2025.12.29	13:00:00	211.011	211.170	210.899	210.976	4563	0	11
2025.12.29	14:00:00	210.976	210.992	210.597	210.766	5060	0	11
2025.12.29	15:00:00	210.763	210.858	210.678	210.802	5862	0	11
2025.12.29	16:00:00	210.802	210.867	210.569	210.797	6549	0	11
2025.12.29	17:00:00	210.798	210.887	210.467	210.524	7435	0	11
2025.12.29	18:00:00	210.521	210.687	210.453	210.651	6155	0	11
2025.12.29	19:00:00	210.645	210.663	210.537	210.606	4798	0	20
2025.12.29	20:00:00	210.608	210.794	210.602	210.754	3926	0	20
2025.12.29	21:00:00	210.754	210.846	210.703	210.735	3527	0	20
2025.12.29	22:00:00	210.737	210.777	210.692	210.770	3591	0	20
2025.12.29	23:00:00	210.724	210.860	210.699	210.723	2247	0	20
2025.12.30	00:00:00	210.722	210.783	210.607	210.651	1650	0	73
2025.12.30	01:00:00	210.695	210.888	210.633	210.718	2905	0	20
2025.12.30	02:00:00	210.717	211.070	210.638	210.978	4292	0	20
2025.12.30	03:00:00	210.978	211.063	210.917	211.021	4137	0	20
2025.12.30	04:00:00	211.017	211.095	210.948	211.056	4065	0	20
2025.12.30	05:00:00	211.056	211.093	210.990	211.028	2976	0	20
2025.12.30	06:00:00	211.029	211.084	210.815	210.856	2884	0	20
2025.12.30	07:00:00	210.857	210.983	210.784	210.874	4037	0	20
2025.12.30	08:00:00	210.873	210.963	210.810	210.883	4234	0	16
2025.12.30	09:00:00	210.882	210.887	210.556	210.666	4126	0	11
2025.12.30	10:00:00	210.668	210.765	210.532	210.720	4967	0	11
2025.12.30	11:00:00	210.719	210.785	210.618	210.708	4388	0	11
2025.12.30	12:00:00	210.709	210.759	210.632	210.735	4218	0	11
2025.12.30	13:00:00	210.735	210.756	210.503	210.525	4021	0	11
2025.12.30	14:00:00	210.527	210.686	210.417	210.472	4421	0	11
2025.12.30	15:00:00	210.470	210.782	210.458	210.679	5315	0	11
2025.12.30	16:00:00	210.677	210.728	210.489	210.586	5753	0	11
2025.12.30	17:00:00	210.585	210.761	210.446	210.635	6491	0	11
2025.12.30	18:00:00	210.618	210.695	210.466	210.591	5129	0	11
2025.12.30	19:00:00	210.593	210.730	210.541	210.561	3987	0	11
2025.12.30	20:00:00	210.560	210.699	210.538	210.626	3350	0	20
2025.12.30	21:00:00	210.624	210.753	210.609	210.715	3453	0	18
2025.12.30	22:00:00	210.714	210.741	210.619	210.651	3154	0	20
2025.12.30	23:00:00	210.607	210.668	210.532	210.532	2289	0	37
2025.12.31	00:00:00	210.495	210.546	210.376	210.498	1016	0	133
2025.12.31	01:00:00	210.559	210.684	210.492	210.608	2009	0	20
2025.12.31	02:00:00	210.607	210.648	210.480	210.559	2644	0	20
2025.12.31	03:00:00	210.548	210.607	210.508	210.561	3590	0	20
2025.12.31	04:00:00	210.577	210.687	210.565	210.643	3357	0	20
2025.12.31	05:00:00	210.643	210.708	210.603	210.701	2532	0	20
2025.12.31	06:00:00	210.702	210.794	210.681	210.757	2618	0	20
2025.12.31	07:00:00	210.758	210.835	210.723	210.786	2815	0	20
2025.12.31	08:00:00	210.785	210.803	210.699	210.770	2881	0	16
2025.12.31	09:00:00	210.769	210.785	210.671	210.676	3606	0	11
2025.12.31	10:00:00	210.676	210.834	210.251	210.304	4554	0	11
2025.12.31	11:00:00	210.306	210.573	210.251	210.474	4034	0	11
2025.12.31	12:00:00	210.479	210.545	210.372	210.509	3677	0	11
2025.12.31	13:00:00	210.507	210.805	210.507	210.713	3549	0	11
2025.12.31	14:00:00	210.713	210.940	210.577	210.885	4555	0	11
2025.12.31	15:00:00	210.883	211.086	210.852	210.966	5301	0	11
2025.12.31	16:00:00	210.982	211.080	210.781	210.802	5947	0	11
2025.12.31	17:00:00	210.793	210.909	210.351	210.819	6850	0	11
2025.12.31	18:00:00	210.817	211.030	210.696	210.849	5959	0	11
2025.12.31	19:00:00	210.854	210.968	210.698	210.947	4633	0	20
2025.12.31	20:00:00	210.953	211.089	210.941	211.059	4228	0	20
2025.12.31	21:00:00	211.065	211.078	210.810	210.982	3743	0	20
2025.12.31	22:00:00	210.979	211.171	210.951	211.125	4196	0	20
2025.12.31	23:00:00	211.085	211.177	211.059	211.070	2294	0	56
2026.01.02	00:00:00	210.983	211.029	210.867	211.013	1334	0	180
2026.01.02	01:00:00	210.883	211.352	210.881	211.160	2333	0	20
2026.01.02	02:00:00	211.161	211.226	211.026	211.060	3010	0	20
2026.01.02	03:00:00	211.058	211.272	211.010	211.246	3099	0	20
2026.01.02	04:00:00	211.246	211.346	211.188	211.322	2605	0	20
2026.01.02	05:00:00	211.337	211.380	211.287	211.359	2430	0	20
2026.01.02	06:00:00	211.360	211.435	211.336	211.359	2456	0	20
2026.01.02	07:00:00	211.361	211.438	211.310	211.381	2242	0	20
2026.01.02	08:00:00	211.363	211.444	211.257	211.372	3267	0	16
2026.01.02	09:00:00	211.373	211.416	211.060	211.190	4041	0	11
2026.01.02	10:00:00	211.189	211.400	211.027	211.047	5322	0	11
2026.01.02	11:00:00	211.049	211.160	210.981	211.132	4551	0	11
2026.01.02	12:00:00	211.133	211.169	210.882	210.957	3985	0	11
2026.01.02	13:00:00	210.956	210.981	210.742	210.915	4042	0	11
2026.01.02	14:00:00	210.916	211.069	210.870	211.020	3911	0	11
2026.01.02	15:00:00	211.013	211.208	210.910	211.164	4950	0	11
2026.01.02	16:00:00	211.163	211.230	211.018	211.206	5561	0	11
2026.01.02	17:00:00	211.200	211.445	211.024	211.334	6881	0	11
2026.01.02	18:00:00	211.335	211.404	211.200	211.234	5923	0	11
2026.01.02	19:00:00	211.229	211.258	211.023	211.042	4293	0	20
2026.01.02	20:00:00	211.041	211.143	210.986	211.029	3985	0	20
2026.01.02	21:00:00	211.028	211.123	210.992	211.047	4099	0	20
2026.01.02	22:00:00	211.048	211.109	211.016	211.104	4022	0	20
2026.01.02	23:00:00	211.061	211.134	210.947	210.947	2582	0	36
2026.01.05	00:00:00	210.742	210.922	210.672	210.784	1591	0	85
2026.01.05	01:00:00	210.742	211.020	210.742	210.954	3447	0	20
2026.01.05	02:00:00	210.955	211.338	210.902	211.243	5159	0	20
2026.01.05	03:00:00	211.244	211.282	210.991	211.033	5521	0	20
2026.01.05	04:00:00	211.012	211.116	210.901	211.067	4415	0	20
2026.01.05	05:00:00	211.066	211.173	210.857	210.925	4213	0	20
2026.01.05	06:00:00	210.926	211.164	210.926	211.151	3795	0	20
2026.01.05	07:00:00	211.152	211.172	210.991	211.064	3982	0	20
2026.01.05	08:00:00	211.063	211.126	210.912	210.984	4260	0	16
2026.01.05	09:00:00	210.983	210.987	210.707	210.730	4612	0	11
2026.01.05	10:00:00	210.728	210.766	210.510	210.547	6090	0	11
2026.01.05	11:00:00	210.538	210.972	210.503	210.942	4932	0	11
2026.01.05	12:00:00	210.941	210.995	210.762	210.845	5216	0	11
2026.01.05	13:00:00	210.844	210.934	210.703	210.793	4900	0	11
2026.01.05	14:00:00	210.794	210.932	210.707	210.785	5060	0	11
2026.01.05	15:00:00	210.789	211.006	210.698	210.967	6402	0	11
2026.01.05	16:00:00	210.962	211.232	210.875	211.170	6870	0	11
2026.01.05	17:00:00	211.163	211.512	211.053	211.413	7010	0	11
2026.01.05	18:00:00	211.411	211.503	211.313	211.417	6226	0	11
2026.01.05	19:00:00	211.429	211.590	211.398	211.557	4946	0	20
2026.01.05	20:00:00	211.556	211.592	211.416	211.465	3837	0	20
2026.01.05	21:00:00	211.466	211.602	211.329	211.581	4625	0	20
2026.01.05	22:00:00	211.572	211.742	211.525	211.732	3790	0	20
2026.01.05	23:00:00	211.732	211.798	211.648	211.663	2343	0	20
2026.01.06	00:00:00	211.649	211.890	211.509	211.872	1057	0	84
2026.01.06	01:00:00	211.932	211.988	211.835	211.928	2401	0	20
2026.01.06	02:00:00	211.928	212.153	211.845	211.885	4534	0	20
2026.01.06	03:00:00	211.885	212.070	211.867	211.914	4604	0	20
2026.01.06	04:00:00	211.917	211.965	211.799	211.888	4087	0	20
2026.01.06	05:00:00	211.887	212.040	211.849	212.005	3411	0	20
2026.01.06	06:00:00	212.007	212.050	211.854	211.990	3228	0	20
2026.01.06	07:00:00	211.991	211.994	211.838	211.953	3579	0	20
2026.01.06	08:00:00	211.953	212.089	211.922	211.947	4171	0	16
2026.01.06	09:00:00	211.949	212.015	211.777	211.847	4786	0	11
2026.01.06	10:00:00	211.846	211.983	211.767	211.863	5768	0	11
2026.01.06	11:00:00	211.880	211.897	211.658	211.660	5498	0	11
2026.01.06	12:00:00	211.658	211.784	211.535	211.704	4638	0	11
2026.01.06	13:00:00	211.705	211.769	211.475	211.519	4321	0	11
2026.01.06	14:00:00	211.511	211.543	211.366	211.437	4978	0	11
2026.01.06	15:00:00	211.437	211.509	211.308	211.476	6337	0	11
2026.01.06	16:00:00	211.475	211.633	211.410	211.532	6537	0	11
2026.01.06	17:00:00	211.535	211.629	211.373	211.500	6921	0	11
2026.01.06	18:00:00	211.500	211.555	211.410	211.457	5665	0	11
2026.01.06	19:00:00	211.469	211.725	211.448	211.693	4377	0	20
2026.01.06	20:00:00	211.693	211.745	211.554	211.568	3776	0	20
2026.01.06	21:00:00	211.569	211.581	211.412	211.459	3681	0	20
2026.01.06	22:00:00	211.443	211.489	211.394	211.456	3378	0	20
2026.01.06	23:00:00	211.413	211.525	211.384	211.391	2400	0	27
2026.01.07	00:00:00	211.390	211.484	211.291	211.391	1164	0	107
2026.01.07	01:00:00	211.448	211.569	211.422	211.477	1762	0	20
2026.01.07	02:00:00	211.480	211.669	211.379	211.488	4706	0	20
2026.01.07	03:00:00	211.490	211.728	211.397	211.662	4494	0	20
2026.01.07	04:00:00	211.663	211.748	211.607	211.627	3617	0	20
2026.01.07	05:00:00	211.610	211.659	211.514	211.567	3251	0	20
2026.01.07	06:00:00	211.563	211.584	211.367	211.391	3479	0	20
2026.01.07	07:00:00	211.392	211.408	211.185	211.252	3577	0	20
2026.01.07	08:00:00	211.253	211.365	211.115	211.269	4037	0	16
2026.01.07	09:00:00	211.263	211.308	211.046	211.145	4701	0	11
2026.01.07	10:00:00	211.142	211.323	211.012	211.258	4815	0	11
2026.01.07	11:00:00	211.262	211.309	211.060	211.139	4170	0	11
2026.01.07	12:00:00	211.139	211.312	211.116	211.268	4268	0	11
2026.01.07	13:00:00	211.267	211.429	211.253	211.289	3656	0	11
2026.01.07	14:00:00	211.290	211.297	211.117	211.150	4303	0	11
2026.01.07	15:00:00	211.146	211.162	210.971	211.083	5763	0	11
2026.01.07	16:00:00	211.088	211.249	210.969	211.151	5999	0	11
2026.01.07	17:00:00	211.185	211.354	211.068	211.222	7690	0	11
2026.01.07	18:00:00	211.218	211.281	211.064	211.146	5500	0	11
2026.01.07	19:00:00	211.139	211.146	210.919	211.016	4420	0	20
2026.01.07	20:00:00	211.014	211.085	210.944	211.059	3942	0	20
2026.01.07	21:00:00	211.058	211.074	210.961	211.042	3900	0	20
2026.01.07	22:00:00	211.045	211.097	211.015	211.061	3991	0	18
2026.01.07	23:00:00	211.017	211.039	210.911	210.916	2332	0	28
2026.01.08	00:00:00	210.885	210.932	210.776	210.828	962	0	139
2026.01.08	01:00:00	210.880	210.948	210.811	210.892	1908	0	20
2026.01.08	02:00:00	210.891	211.022	210.862	210.991	3809	0	20
2026.01.08	03:00:00	210.992	211.161	210.919	211.138	3875	0	20
2026.01.08	04:00:00	211.140	211.145	211.025	211.033	3566	0	20
2026.01.08	05:00:00	211.033	211.047	210.855	210.993	3619	0	20
2026.01.08	06:00:00	210.993	211.004	210.848	210.910	2754	0	20
2026.01.08	07:00:00	210.911	210.914	210.768	210.851	3676	0	20
2026.01.08	08:00:00	210.851	210.851	210.561	210.759	4469	0	16
2026.01.08	09:00:00	210.749	210.815	210.368	210.368	4616	0	11
2026.01.08	10:00:00	210.371	210.633	210.297	210.594	5225	0	11
2026.01.08	11:00:00	210.596	210.656	210.522	210.639	4180	0	11
2026.01.08	12:00:00	210.641	210.750	210.601	210.680	4228	0	11
2026.01.08	13:00:00	210.675	210.832	210.668	210.759	3805	0	11
2026.01.08	14:00:00	210.762	210.815	210.579	210.612	4076	0	11
2026.01.08	15:00:00	210.614	210.710	210.504	210.700	5268	0	11
2026.01.08	16:00:00	210.703	210.942	210.645	210.888	6481	0	11
2026.01.08	17:00:00	210.887	211.050	210.781	210.827	6216	0	11
2026.01.08	18:00:00	210.828	210.893	210.706	210.719	5278	0	11
2026.01.08	19:00:00	210.714	210.725	210.550	210.688	4332	0	20
2026.01.08	20:00:00	210.687	210.711	210.553	210.579	3812	0	20
2026.01.08	21:00:00	210.577	210.825	210.537	210.822	3177	0	20
2026.01.08	22:00:00	210.821	210.922	210.788	210.873	3346	0	20
2026.01.08	23:00:00	210.828	210.907	210.691	210.691	3009	0	32
2026.01.09	00:00:00	210.615	210.782	210.467	210.664	2423	0	166
2026.01.09	01:00:00	210.664	210.853	210.664	210.768	1852	0	20
2026.01.09	02:00:00	210.752	210.971	210.750	210.882	3759	0	20
2026.01.09	03:00:00	210.882	211.043	210.863	211.035	4128	0	20
2026.01.09	04:00:00	211.034	211.194	211.004	211.134	3879	0	20
2026.01.09	05:00:00	211.119	211.279	211.098	211.258	2943	0	20
2026.01.09	06:00:00	211.259	211.305	211.201	211.208	2963	0	20
2026.01.09	07:00:00	211.208	211.384	211.208	211.344	3373	0	20
2026.01.09	08:00:00	211.344	211.409	211.275	211.341	3764	0	16
2026.01.09	09:00:00	211.342	211.510	211.237	211.467	4432	0	11
2026.01.09	10:00:00	211.470	211.603	211.364	211.488	5208	0	11
2026.01.09	11:00:00	211.491	211.533	211.392	211.489	4226	0	11
2026.01.09	12:00:00	211.490	211.542	211.306	211.392	3844	0	11
2026.01.09	13:00:00	211.391	211.425	211.297	211.348	3706	0	11
2026.01.09	14:00:00	211.350	211.559	211.299	211.545	4278	0	11
2026.01.09	15:00:00	211.545	211.740	211.348	211.581	7755	0	11
2026.01.09	16:00:00	211.581	212.000	211.482	211.817	8833	0	11
2026.01.09	17:00:00	211.814	212.039	211.726	211.832	7969	0	11
2026.01.09	18:00:00	211.835	212.057	211.792	211.994	6099	0	11
2026.01.09	19:00:00	211.990	211.991	211.733	211.834	4664	0	20
2026.01.09	20:00:00	211.821	211.837	211.645	211.697	4507	0	20
2026.01.09	21:00:00	211.698	211.706	211.625	211.671	4078	0	20
2026.01.09	22:00:00	211.669	211.731	211.621	211.672	3200	0	20
2026.01.09	23:00:00	211.627	211.667	211.533	211.609	2956	0	43
2026.01.12	00:00:00	211.732	211.813	211.574	211.614	1077	0	101
2026.01.12	01:00:00	211.707	211.872	211.615	211.806	3050	0	20
2026.01.12	02:00:00	211.802	211.900	211.660	211.683	5551	0	20
2026.01.12	03:00:00	211.686	211.861	211.637	211.815	5681	0	20
2026.01.12	04:00:00	211.812	212.171	211.779	212.148	4055	0	20
2026.01.12	05:00:00	212.146	212.245	212.065	212.200	3032	0	20
2026.01.12	06:00:00	212.201	212.299	212.160	212.222	2385	0	20
2026.01.12	07:00:00	212.221	212.372	212.174	212.260	3578	0	20
2026.01.12	08:00:00	212.258	212.384	212.191	212.338	3590	0	16
2026.01.12	09:00:00	212.336	212.398	212.082	212.202	4658	0	11
2026.01.12	10:00:00	212.200	212.332	212.116	212.312	5297	0	11
2026.01.12	11:00:00	212.311	212.483	212.263	212.430	4532	0	11
2026.01.12	12:00:00	212.425	212.648	212.387	212.648	3808	0	11
2026.01.12	13:00:00	212.645	212.670	212.423	212.510	3813	0	11
2026.01.12	14:00:00	212.509	212.686	212.494	212.549	4342	0	11
2026.01.12	15:00:00	212.551	212.801	212.526	212.800	5353	0	11
2026.01.12	16:00:00	212.801	212.845	212.655	212.786	6195	0	11
2026.01.12	17:00:00	212.787	212.894	212.674	212.878	5317	0	11
2026.01.12	18:00:00	212.879	213.019	212.807	212.944	4639	0	11
2026.01.12	19:00:00	212.938	212.998	212.743	212.835	4380	0	20
2026.01.12	20:00:00	212.839	212.854	212.723	212.835	3051	0	20
2026.01.12	21:00:00	212.834	212.964	212.790	212.951	2634	0	20
2026.01.12	22:00:00	212.950	213.003	212.910	212.957	2570	0	20
2026.01.12	23:00:00	212.913	212.987	212.882	212.953	1938	0	21
2026.01.13	00:00:00	212.867	212.884	212.636	212.772	2494	0	166
2026.01.13	01:00:00	212.818	212.975	212.664	212.731	3440	0	20
2026.01.13	02:00:00	212.728	213.181	212.710	213.125	4161	0	20
2026.01.13	03:00:00	213.124	213.498	213.122	213.480	4231	0	20
2026.01.13	04:00:00	213.482	213.810	213.334	213.758	3723	0	20
2026.01.13	05:00:00	213.757	213.935	213.739	213.927	3129	0	20
2026.01.13	06:00:00	213.927	214.056	213.748	213.842	3864	0	20
2026.01.13	07:00:00	213.842	213.984	213.821	213.919	3511	0	20
2026.01.13	08:00:00	213.920	214.081	213.851	213.872	4359	0	16
2026.01.13	09:00:00	213.876	214.065	213.837	214.056	4078	0	11
2026.01.13	10:00:00	214.053	214.284	213.955	214.188	4838	0	11
