<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.20	00:00:00	218.410	218.410	218.378	218.400	3	0	256
2026.07.20	00:01:00	218.413	218.413	218.406	218.406	2	0	243
2026.07.20	00:02:00	218.447	218.478	218.447	218.478	3	0	139
2026.07.20	00:03:00	218.479	218.485	218.479	218.485	5	0	135
2026.07.20	00:04:00	218.486	218.486	218.486	218.486	1	0	134
2026.07.20	00:05:00	218.509	218.509	218.399	218.432	14	0	93
2026.07.20	00:06:00	218.432	218.441	218.432	218.441	7	0	221
2026.07.20	00:07:00	218.441	218.446	218.407	218.407	9	0	209
2026.07.20	00:08:00	218.411	218.446	218.411	218.446	2	0	219
2026.07.20	00:09:00	218.446	218.447	218.446	218.446	7	0	223
2026.07.20	00:10:00	218.446	218.446	218.421	218.435	10	0	224
2026.07.20	00:11:00	218.435	218.436	218.433	218.435	8	0	240
2026.07.20	00:12:00	218.435	218.436	218.417	218.435	17	0	216
2026.07.20	00:13:00	218.435	218.435	218.429	218.431	11	0	226
2026.07.20	00:14:00	218.432	218.434	218.415	218.432	10	0	226
2026.07.20	00:15:00	218.432	218.442	218.431	218.434	31	0	208
2026.07.20	00:16:00	218.434	218.434	218.258	218.295	23	0	115
2026.07.20	00:17:00	218.295	218.331	218.295	218.321	6	0	129
2026.07.20	00:18:00	218.321	218.321	218.307	218.307	8	0	137
2026.07.20	00:19:00	218.307	218.317	218.307	218.307	5	0	139
2026.07.20	00:20:00	218.307	218.327	218.294	218.304	9	0	129
2026.07.20	00:21:00	218.304	218.317	218.304	218.304	15	0	137
2026.07.20	00:22:00	218.304	218.317	218.304	218.304	13	0	139
2026.07.20	00:23:00	218.304	218.304	218.304	218.304	1	0	144
2026.07.20	00:24:00	218.304	218.307	218.304	218.304	7	0	140
2026.07.20	00:25:00	218.304	218.309	218.304	218.304	11	0	140
2026.07.20	00:26:00	218.304	218.312	218.287	218.299	16	0	137
2026.07.20	00:27:00	218.299	218.310	218.299	218.299	5	0	139
2026.07.20	00:28:00	218.299	218.363	218.299	218.360	13	0	130
2026.07.20	00:29:00	218.360	218.411	218.357	218.411	14	0	174
2026.07.20	00:30:00	218.411	218.430	218.342	218.345	119	0	126
2026.07.20	00:31:00	218.345	218.345	218.257	218.277	12	0	109
2026.07.20	00:32:00	218.277	218.277	218.265	218.265	3	0	196
2026.07.20	00:33:00	218.265	218.266	218.265	218.265	7	0	168
2026.07.20	00:34:00	218.265	218.318	218.265	218.318	36	0	164
2026.07.20	00:35:00	218.318	218.318	218.286	218.288	30	0	164
2026.07.20	00:36:00	218.288	218.323	218.288	218.323	2	0	195
2026.07.20	00:37:00	218.323	218.323	218.297	218.297	3	0	209
2026.07.20	00:38:00	218.297	218.297	218.283	218.283	2	0	210
2026.07.20	00:39:00	218.283	218.283	218.283	218.283	1	0	213
2026.07.20	00:40:00	218.283	218.283	218.283	218.283	1	0	172
2026.07.20	00:41:00	218.283	218.283	218.283	218.283	1	0	169
2026.07.20	00:42:00	218.283	218.283	218.283	218.283	1	0	204
2026.07.20	00:43:00	218.283	218.347	218.283	218.337	6	0	145
2026.07.20	00:44:00	218.337	218.337	218.337	218.337	1	0	192
2026.07.20	00:45:00	218.337	218.376	218.329	218.350	30	0	153
2026.07.20	00:46:00	218.350	218.350	218.350	218.350	1	0	162
2026.07.20	00:47:00	218.350	218.397	218.350	218.357	8	0	140
2026.07.20	00:48:00	218.357	218.359	218.286	218.345	21	0	119
2026.07.20	00:49:00	218.345	218.358	218.343	218.346	10	0	153
2026.07.20	00:50:00	218.346	218.346	218.346	218.346	1	0	165
2026.07.20	00:51:00	218.346	218.346	218.292	218.315	23	0	117
2026.07.20	00:52:00	218.315	218.337	218.279	218.325	20	0	113
2026.07.20	00:53:00	218.325	218.338	218.316	218.318	15	0	109
2026.07.20	00:54:00	218.318	218.335	218.318	218.326	5	0	112
2026.07.20	00:55:00	218.326	218.326	218.285	218.292	32	0	122
2026.07.20	00:56:00	218.292	218.301	218.289	218.289	15	0	132
2026.07.20	00:57:00	218.290	218.300	218.289	218.297	6	0	132
2026.07.20	00:58:00	218.297	218.306	218.297	218.297	3	0	126
2026.07.20	00:59:00	218.297	218.331	218.297	218.301	13	0	106
2026.07.20	01:00:00	218.301	218.543	218.227	218.519	78	0	0
2026.07.20	01:01:00	218.519	218.541	218.468	218.476	66	0	9
2026.07.20	01:02:00	218.476	218.504	218.424	218.442	58	0	14
2026.07.20	01:03:00	218.442	218.442	218.398	218.398	31	0	17
2026.07.20	01:04:00	218.402	218.453	218.391	218.436	42	0	12
2026.07.20	01:05:00	218.436	218.457	218.433	218.456	52	0	0
2026.07.20	01:06:00	218.456	218.456	218.440	218.444	24	0	10
2026.07.20	01:07:00	218.444	218.449	218.424	218.431	45	0	8
2026.07.20	01:08:00	218.431	218.442	218.428	218.433	29	0	1
2026.07.20	01:09:00	218.433	218.477	218.433	218.474	77	0	0
2026.07.20	01:10:00	218.474	218.482	218.470	218.479	44	0	7
2026.07.20	01:11:00	218.479	218.484	218.470	218.477	48	0	10
2026.07.20	01:12:00	218.477	218.500	218.471	218.480	69	0	4
2026.07.20	01:13:00	218.480	218.510	218.480	218.510	71	0	9
2026.07.20	01:14:00	218.510	218.511	218.473	218.475	101	0	3
2026.07.20	01:15:00	218.475	218.491	218.433	218.434	91	0	3
2026.07.20	01:16:00	218.435	218.457	218.432	218.451	61	0	1
2026.07.20	01:17:00	218.451	218.454	218.432	218.451	106	0	4
