<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	1.34731	1.35039	1.34731	1.34969	1133	0	16
2025.12.29	01:00:00	1.34989	1.35008	1.34872	1.34968	1982	0	4
2025.12.29	02:00:00	1.34968	1.35084	1.34965	1.35073	1709	0	4
2025.12.29	03:00:00	1.35074	1.35121	1.35052	1.35089	1765	0	4
2025.12.29	04:00:00	1.35088	1.35097	1.35016	1.35068	1437	0	4
2025.12.29	05:00:00	1.35067	1.35100	1.35024	1.35066	1174	0	4
2025.12.29	06:00:00	1.35065	1.35067	1.34935	1.34936	1004	0	4
2025.12.29	07:00:00	1.34935	1.34949	1.34839	1.34913	1475	0	4
2025.12.29	08:00:00	1.34914	1.34972	1.34871	1.34963	2381	0	3
2025.12.29	09:00:00	1.34963	1.34978	1.34816	1.34854	2847	0	2
2025.12.29	10:00:00	1.34838	1.34978	1.34769	1.34854	3009	0	2
2025.12.29	11:00:00	1.34854	1.35079	1.34732	1.34908	3326	0	2
2025.12.29	12:00:00	1.34905	1.35088	1.34884	1.34974	2687	0	2
2025.12.29	13:00:00	1.34973	1.35112	1.34887	1.34894	2618	0	2
2025.12.29	14:00:00	1.34895	1.34899	1.34688	1.34828	3071	0	2
2025.12.29	15:00:00	1.34827	1.34969	1.34791	1.34933	3456	0	2
2025.12.29	16:00:00	1.34931	1.35071	1.34857	1.35011	3831	0	2
2025.12.29	17:00:00	1.35011	1.35123	1.34862	1.35001	4615	0	2
2025.12.29	18:00:00	1.34999	1.35010	1.34850	1.34936	3844	0	2
2025.12.29	19:00:00	1.34933	1.34952	1.34810	1.34853	2857	0	2
2025.12.29	20:00:00	1.34854	1.34959	1.34841	1.34906	2283	0	4
2025.12.29	21:00:00	1.34906	1.35081	1.34885	1.35063	1827	0	4
2025.12.29	22:00:00	1.35062	1.35095	1.35014	1.35046	1941	0	4
2025.12.29	23:00:00	1.35039	1.35151	1.35026	1.35119	1341	0	4
2025.12.30	00:00:00	1.35057	1.35087	1.34986	1.35022	1082	0	6
2025.12.30	01:00:00	1.35042	1.35096	1.35020	1.35086	1455	0	4
2025.12.30	02:00:00	1.35087	1.35105	1.34995	1.35026	1194	0	4
2025.12.30	03:00:00	1.35025	1.35095	1.34977	1.35081	1623	0	4
2025.12.30	04:00:00	1.35082	1.35115	1.35001	1.35025	1623	0	4
2025.12.30	05:00:00	1.35025	1.35079	1.34993	1.35046	1221	0	4
2025.12.30	06:00:00	1.35046	1.35110	1.35036	1.35102	1091	0	4
2025.12.30	07:00:00	1.35103	1.35174	1.35100	1.35147	1772	0	4
2025.12.30	08:00:00	1.35147	1.35219	1.35112	1.35155	1985	0	3
2025.12.30	09:00:00	1.35155	1.35155	1.35006	1.35057	1982	0	2
2025.12.30	10:00:00	1.35058	1.35190	1.35049	1.35091	2464	0	2
2025.12.30	11:00:00	1.35092	1.35185	1.35072	1.35146	2266	0	2
2025.12.30	12:00:00	1.35146	1.35309	1.35139	1.35208	2074	0	2
2025.12.30	13:00:00	1.35210	1.35250	1.35031	1.35045	1859	0	2
2025.12.30	14:00:00	1.35047	1.35088	1.34929	1.34969	2327	0	2
2025.12.30	15:00:00	1.34968	1.34994	1.34866	1.34881	2930	0	2
