<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	1.34731	1.35039	1.34731	1.34946	324	0	30
2025.12.29	00:15:00	1.34979	1.34994	1.34804	1.34984	531	0	40
2025.12.29	00:30:00	1.34985	1.35004	1.34922	1.34995	98	0	16
2025.12.29	00:45:00	1.34996	1.35008	1.34875	1.34969	180	0	18
2025.12.29	01:00:00	1.34989	1.34989	1.34872	1.34956	568	0	4
2025.12.29	01:15:00	1.34956	1.35007	1.34956	1.34958	915	0	4
2025.12.29	01:30:00	1.34958	1.34980	1.34935	1.34969	255	0	4
2025.12.29	01:45:00	1.34969	1.35008	1.34957	1.34968	244	0	4
2025.12.29	02:00:00	1.34968	1.35040	1.34965	1.35031	435	0	4
2025.12.29	02:15:00	1.35032	1.35056	1.34994	1.35038	373	0	4
2025.12.29	02:30:00	1.35037	1.35069	1.35009	1.35018	424	0	4
2025.12.29	02:45:00	1.35018	1.35084	1.35001	1.35073	477	0	4
2025.12.29	03:00:00	1.35074	1.35111	1.35053	1.35094	566	0	4
2025.12.29	03:15:00	1.35093	1.35121	1.35085	1.35085	445	0	4
2025.12.29	03:30:00	1.35085	1.35100	1.35052	1.35078	401	0	4
2025.12.29	03:45:00	1.35081	1.35104	1.35065	1.35089	353	0	4
2025.12.29	04:00:00	1.35088	1.35097	1.35042	1.35048	406	0	4
2025.12.29	04:15:00	1.35048	1.35054	1.35016	1.35034	378	0	4
2025.12.29	04:30:00	1.35034	1.35049	1.35027	1.35039	367	0	4
2025.12.29	04:45:00	1.35039	1.35089	1.35035	1.35068	286	0	4
2025.12.29	05:00:00	1.35067	1.35073	1.35046	1.35057	341	0	4
2025.12.29	05:15:00	1.35057	1.35073	1.35041	1.35042	371	0	4
2025.12.29	05:30:00	1.35041	1.35092	1.35024	1.35078	236	0	4
2025.12.29	05:45:00	1.35077	1.35100	1.35060	1.35066	226	0	4
2025.12.29	06:00:00	1.35065	1.35067	1.34980	1.35003	259	0	4
2025.12.29	06:15:00	1.35003	1.35023	1.34981	1.35019	210	0	4
2025.12.29	06:30:00	1.35019	1.35037	1.34999	1.35007	243	0	4
2025.12.29	06:45:00	1.35006	1.35008	1.34935	1.34936	292	0	4
2025.12.29	07:00:00	1.34935	1.34943	1.34867	1.34872	376	0	4
2025.12.29	07:15:00	1.34876	1.34880	1.34839	1.34855	363	0	4
2025.12.29	07:30:00	1.34853	1.34922	1.34852	1.34919	395	0	4
2025.12.29	07:45:00	1.34919	1.34949	1.34905	1.34913	341	0	4
2025.12.29	08:00:00	1.34914	1.34947	1.34878	1.34887	536	0	4
2025.12.29	08:15:00	1.34888	1.34961	1.34871	1.34949	584	0	4
2025.12.29	08:30:00	1.34950	1.34964	1.34895	1.34926	644	0	3
2025.12.29	08:45:00	1.34925	1.34972	1.34912	1.34963	617	0	3
2025.12.29	09:00:00	1.34963	1.34978	1.34851	1.34898	796	0	3
2025.12.29	09:15:00	1.34900	1.34953	1.34869	1.34874	675	0	3
2025.12.29	09:30:00	1.34874	1.34894	1.34816	1.34880	650	0	2
2025.12.29	09:45:00	1.34881	1.34898	1.34826	1.34854	726	0	2
2025.12.29	10:00:00	1.34838	1.34875	1.34769	1.34865	814	0	2
2025.12.29	10:15:00	1.34865	1.34916	1.34847	1.34854	683	0	2
2025.12.29	10:30:00	1.34855	1.34907	1.34827	1.34858	708	0	2
2025.12.29	10:45:00	1.34859	1.34978	1.34804	1.34854	804	0	2
2025.12.29	11:00:00	1.34854	1.34882	1.34732	1.34841	952	0	2
2025.12.29	11:15:00	1.34841	1.34934	1.34822	1.34933	717	0	2
2025.12.29	11:30:00	1.34933	1.35079	1.34904	1.34938	885	0	2
2025.12.29	11:45:00	1.34938	1.34938	1.34878	1.34908	772	0	2
2025.12.29	12:00:00	1.34905	1.34986	1.34884	1.34983	696	0	2
2025.12.29	12:15:00	1.34984	1.35056	1.34983	1.35021	579	0	2
2025.12.29	12:30:00	1.35022	1.35088	1.35003	1.35045	648	0	2
2025.12.29	12:45:00	1.35045	1.35079	1.34973	1.34974	764	0	2
2025.12.29	13:00:00	1.34973	1.35006	1.34896	1.34908	756	0	2
2025.12.29	13:15:00	1.34902	1.34976	1.34898	1.34955	676	0	2
2025.12.29	13:30:00	1.34955	1.35112	1.34948	1.35098	647	0	2
2025.12.29	13:45:00	1.35097	1.35098	1.34887	1.34894	539	0	2
2025.12.29	14:00:00	1.34895	1.34899	1.34808	1.34809	796	0	2
2025.12.29	14:15:00	1.34809	1.34811	1.34688	1.34742	772	0	2
2025.12.29	14:30:00	1.34743	1.34793	1.34718	1.34743	721	0	2
2025.12.29	14:45:00	1.34744	1.34882	1.34729	1.34828	782	0	2
2025.12.29	15:00:00	1.34827	1.34874	1.34809	1.34862	960	0	2
2025.12.29	15:15:00	1.34863	1.34886	1.34815	1.34815	858	0	2
