<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	156.431	156.593	156.377	156.477	439	0	22
2025.12.29	01:00:00	156.504	156.550	156.403	156.484	1070	0	3
2025.12.29	02:00:00	156.485	156.485	156.057	156.278	3006	0	3
2025.12.29	03:00:00	156.279	156.373	156.190	156.310	2080	0	3
2025.12.29	04:00:00	156.311	156.511	156.301	156.430	1710	0	3
2025.12.29	05:00:00	156.430	156.444	156.320	156.379	1450	0	3
2025.12.29	06:00:00	156.379	156.472	156.246	156.371	1464	0	3
2025.12.29	07:00:00	156.373	156.397	156.241	156.306	1463	0	3
2025.12.29	08:00:00	156.309	156.324	156.171	156.185	1701	0	3
2025.12.29	09:00:00	156.184	156.243	156.045	156.079	2172	0	3
2025.12.29	10:00:00	156.080	156.302	156.078	156.275	1973	0	2
2025.12.29	11:00:00	156.276	156.399	156.106	156.323	1937	0	3
2025.12.29	12:00:00	156.326	156.347	156.203	156.326	1743	0	3
2025.12.29	13:00:00	156.328	156.414	156.285	156.398	1469	0	3
2025.12.29	14:00:00	156.399	156.424	156.307	156.329	1746	0	3
2025.12.29	15:00:00	156.330	156.364	156.193	156.231	2235	0	3
2025.12.29	16:00:00	156.230	156.239	156.009	156.144	2542	0	3
2025.12.29	17:00:00	156.145	156.288	155.915	155.934	2864	0	3
2025.12.29	18:00:00	155.937	156.118	155.930	156.107	2149	0	3
2025.12.29	19:00:00	156.107	156.215	156.068	156.185	1348	0	3
2025.12.29	20:00:00	156.183	156.223	156.123	156.220	1280	0	3
2025.12.29	21:00:00	156.220	156.249	156.007	156.032	1144	0	3
2025.12.29	22:00:00	156.034	156.081	155.984	156.062	1344	0	2
2025.12.29	23:00:00	156.065	156.084	155.997	156.031	906	0	3
2025.12.30	00:00:00	156.004	156.101	155.964	156.046	324	0	10
2025.12.30	01:00:00	156.046	156.134	155.955	155.988	1249	0	3
2025.12.30	02:00:00	155.993	156.327	155.925	156.260	2451	0	3
2025.12.30	03:00:00	156.259	156.325	156.213	156.221	2071	0	3
2025.12.30	04:00:00	156.213	156.339	156.154	156.308	1973	0	3
2025.12.30	05:00:00	156.306	156.332	156.214	156.268	1312	0	3
2025.12.30	06:00:00	156.271	156.284	156.050	156.080	1372	0	3
2025.12.30	07:00:00	156.080	156.101	156.012	156.041	1982	0	3
2025.12.30	08:00:00	156.042	156.097	155.941	156.039	2016	0	3
2025.12.30	09:00:00	156.037	156.107	155.918	155.987	1728	0	3
2025.12.30	10:00:00	155.977	156.023	155.855	155.981	2033	0	3
2025.12.30	11:00:00	155.982	156.010	155.868	155.922	1921	0	3
2025.12.30	12:00:00	155.929	155.932	155.743	155.851	1617	0	3
2025.12.30	13:00:00	155.853	155.947	155.825	155.892	1551	0	3
2025.12.30	14:00:00	155.890	156.011	155.885	155.948	1650	0	3
2025.12.30	15:00:00	155.951	156.212	155.946	156.195	2186	0	3
2025.12.30	16:00:00	156.194	156.320	156.124	156.272	2283	0	2
