<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	156.431	156.505	156.377	156.485	67	0	64
2025.12.29	00:15:00	156.485	156.593	156.416	156.554	74	0	22
2025.12.29	00:30:00	156.534	156.554	156.480	156.487	142	0	22
2025.12.29	00:45:00	156.487	156.494	156.469	156.477	156	0	31
2025.12.29	01:00:00	156.504	156.550	156.450	156.451	176	0	3
2025.12.29	01:15:00	156.452	156.467	156.409	156.419	276	0	3
2025.12.29	01:30:00	156.418	156.528	156.417	156.496	272	0	3
2025.12.29	01:45:00	156.496	156.496	156.403	156.484	346	0	3
2025.12.29	02:00:00	156.485	156.485	156.057	156.116	853	0	3
2025.12.29	02:15:00	156.117	156.251	156.099	156.151	715	0	3
2025.12.29	02:30:00	156.150	156.164	156.081	156.134	669	0	3
2025.12.29	02:45:00	156.134	156.328	156.114	156.278	769	0	3
2025.12.29	03:00:00	156.279	156.373	156.245	156.250	661	0	3
2025.12.29	03:15:00	156.249	156.273	156.190	156.233	503	0	3
2025.12.29	03:30:00	156.231	156.326	156.190	156.287	481	0	3
2025.12.29	03:45:00	156.288	156.335	156.260	156.310	435	0	3
2025.12.29	04:00:00	156.311	156.462	156.301	156.451	546	0	3
2025.12.29	04:15:00	156.452	156.511	156.428	156.457	451	0	3
2025.12.29	04:30:00	156.456	156.491	156.406	156.413	348	0	3
2025.12.29	04:45:00	156.412	156.439	156.373	156.430	365	0	3
2025.12.29	05:00:00	156.430	156.444	156.366	156.382	294	0	3
2025.12.29	05:15:00	156.386	156.410	156.341	156.392	338	0	3
2025.12.29	05:30:00	156.396	156.409	156.341	156.396	443	0	3
2025.12.29	05:45:00	156.396	156.402	156.320	156.379	375	0	3
2025.12.29	06:00:00	156.379	156.472	156.377	156.408	379	0	3
2025.12.29	06:15:00	156.409	156.451	156.294	156.294	329	0	3
2025.12.29	06:30:00	156.296	156.326	156.246	156.303	392	0	3
2025.12.29	06:45:00	156.307	156.372	156.295	156.371	364	0	3
2025.12.29	07:00:00	156.373	156.380	156.318	156.335	392	0	3
2025.12.29	07:15:00	156.334	156.397	156.309	156.371	381	0	3
2025.12.29	07:30:00	156.371	156.375	156.280	156.281	345	0	3
2025.12.29	07:45:00	156.274	156.312	156.241	156.306	345	0	3
2025.12.29	08:00:00	156.309	156.315	156.240	156.312	420	0	3
2025.12.29	08:15:00	156.313	156.324	156.174	156.201	366	0	3
2025.12.29	08:30:00	156.207	156.290	156.201	156.275	445	0	3
