<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	01:00:00	4530.37	4530.37	4529.45	4529.45	2	0	33
2025.12.29	02:00:00	4520.24	4526.46	4472.35	4497.34	33161	0	4
2025.12.29	03:00:00	4497.34	4517.51	4492.25	4497.15	37925	0	4
2025.12.29	04:00:00	4497.14	4515.87	4496.21	4512.44	26976	0	4
2025.12.29	05:00:00	4512.44	4520.44	4509.45	4516.48	24994	0	4
2025.12.29	06:00:00	4516.48	4519.55	4507.85	4515.69	19611	0	4
2025.12.29	07:00:00	4515.71	4519.39	4505.21	4506.85	20623	0	4
2025.12.29	08:00:00	4506.85	4510.70	4471.31	4475.14	33118	0	4
2025.12.29	09:00:00	4475.14	4481.78	4445.40	4474.61	31197	0	4
2025.12.29	10:00:00	4474.67	4488.53	4452.63	4461.11	30685	0	4
2025.12.29	11:00:00	4461.09	4476.23	4459.11	4472.09	25092	0	4
2025.12.29	12:00:00	4472.09	4474.70	4457.11	4460.95	20965	0	4
2025.12.29	13:00:00	4460.96	4467.74	4434.26	4446.87	25544	0	4
2025.12.29	14:00:00	4446.87	4464.79	4445.73	4464.37	24739	0	4
2025.12.29	15:00:00	4464.41	4467.52	4407.03	4421.49	40389	0	4
2025.12.29	16:00:00	4421.49	4421.49	4356.72	4360.35	55356	0	4
2025.12.29	17:00:00	4360.35	4360.80	4302.53	4325.29	50028	0	4
2025.12.29	18:00:00	4325.29	4347.51	4323.48	4341.72	37325	0	4
2025.12.29	19:00:00	4341.72	4343.04	4315.04	4328.16	33187	0	4
2025.12.29	20:00:00	4328.16	4334.80	4322.89	4331.38	27318	0	4
2025.12.29	21:00:00	4331.38	4337.94	4327.62	4336.89	18154	0	4
2025.12.29	22:00:00	4336.88	4344.63	4325.93	4334.68	22706	0	4
2025.12.29	23:00:00	4334.75	4339.27	4327.30	4332.12	10988	0	4
2025.12.30	01:00:00	4339.55	4345.26	4339.55	4345.26	3	0	17
2025.12.30	02:00:00	4339.78	4350.81	4334.52	4339.73	16477	0	4
2025.12.30	03:00:00	4339.73	4360.18	4324.54	4360.18	33446	0	4
2025.12.30	04:00:00	4360.18	4364.91	4348.84	4362.53	29092	0	4
2025.12.30	05:00:00	4362.56	4369.21	4356.29	4359.36	21503	0	4
2025.12.30	06:00:00	4359.36	4369.75	4357.59	4363.45	11401	0	4
2025.12.30	07:00:00	4363.47	4380.15	4358.82	4377.70	26517	0	4
2025.12.30	08:00:00	4377.70	4378.54	4359.84	4364.70	31067	0	4
2025.12.30	09:00:00	4364.75	4383.40	4359.17	4372.50	26236	0	4
2025.12.30	10:00:00	4372.50	4373.78	4350.21	4365.03	24508	0	4
2025.12.30	11:00:00	4365.03	4376.51	4364.12	4372.24	23073	0	4
2025.12.30	12:00:00	4372.17	4391.73	4367.76	4384.86	23814	0	4
2025.12.30	13:00:00	4384.86	4390.26	4381.26	4384.32	22345	0	4
2025.12.30	14:00:00	4384.30	4402.81	4383.50	4401.23	24203	0	4
2025.12.30	15:00:00	4401.30	4404.25	4376.36	4388.46	39864	0	4
2025.12.30	16:00:00	4388.46	4392.17	4355.91	4366.37	42575	0	4
2025.12.30	17:00:00	4366.33	4377.53	4359.55	4365.08	39038	0	4
2025.12.30	18:00:00	4365.25	4379.91	4354.90	4377.81	31622	0	4
2025.12.30	19:00:00	4377.81	4381.82	4364.36	4370.21	29379	0	4
2025.12.30	20:00:00	4370.23	4378.68	4362.68	4364.58	26443	0	4
2025.12.30	21:00:00	4364.58	4368.01	4337.37	4348.61	24526	0	4
2025.12.30	22:00:00	4348.61	4355.53	4337.78	4341.74	27674	0	4
2025.12.30	23:00:00	4341.71	4350.28	4334.81	4339.12	8780	0	4
2025.12.31	01:00:00	4340.58	4346.61	4328.71	4339.01	16688	0	4
2025.12.31	02:00:00	4339.04	4346.68	4332.71	4342.40	16252	0	4
2025.12.31	03:00:00	4342.40	4373.29	4336.87	4365.99	32264	0	4
2025.12.31	04:00:00	4366.04	4371.15	4346.78	4348.76	30273	0	4
2025.12.31	05:00:00	4348.76	4359.84	4340.87	4348.53	28574	0	4
2025.12.31	06:00:00	4348.53	4351.29	4330.79	4332.87	19641	0	4
2025.12.31	07:00:00	4332.94	4343.09	4276.05	4285.95	28925	0	4
2025.12.31	08:00:00	4285.95	4328.81	4274.49	4328.13	27649	0	4
2025.12.31	09:00:00	4328.09	4335.02	4323.83	4331.10	19755	0	4
2025.12.31	10:00:00	4331.10	4332.89	4303.43	4307.45	18582	0	4
2025.12.31	11:00:00	4307.45	4337.31	4307.11	4325.88	22774	0	4
2025.12.31	12:00:00	4325.87	4331.44	4303.78	4306.68	19600	0	4
2025.12.31	13:00:00	4306.68	4316.42	4304.09	4310.98	17980	0	4
2025.12.31	14:00:00	4310.98	4318.20	4303.19	4313.82	22758	0	4
2025.12.31	15:00:00	4313.84	4348.37	4308.09	4345.87	29838	0	4
2025.12.31	16:00:00	4345.90	4353.35	4332.92	4345.98	33322	0	4
2025.12.31	17:00:00	4345.98	4346.34	4327.27	4337.40	36418	0	4
2025.12.31	18:00:00	4337.40	4339.75	4317.11	4323.01	26943	0	4
2025.12.31	19:00:00	4323.02	4329.61	4318.08	4321.95	21944	0	4
2025.12.31	20:00:00	4321.95	4331.59	4315.85	4319.72	20728	0	4
2025.12.31	21:00:00	4319.77	4322.98	4307.84	4311.46	19065	0	4
2025.12.31	22:00:00	4311.46	4324.38	4304.62	4313.45	23471	0	20
2025.12.31	23:00:00	4313.44	4318.82	4306.98	4318.82	8714	0	20
2026.01.02	01:00:00	4318.72	4351.30	4318.72	4348.38	10027	0	4
2026.01.02	02:00:00	4348.40	4355.88	4341.44	4354.03	11611	0	4
2026.01.02	03:00:00	4354.03	4356.00	4344.61	4347.99	19323	0	4
2026.01.02	04:00:00	4347.99	4363.17	4345.03	4362.89	16501	0	4
2026.01.02	05:00:00	4362.89	4375.66	4362.17	4375.08	16866	0	4
2026.01.02	06:00:00	4375.07	4378.41	4371.34	4373.22	13624	0	4
2026.01.02	07:00:00	4373.26	4381.74	4371.13	4380.74	11353	0	4
2026.01.02	08:00:00	4380.74	4381.01	4373.36	4374.75	14799	0	4
2026.01.02	09:00:00	4374.77	4383.40	4371.99	4382.82	18375	0	4
2026.01.02	10:00:00	4382.82	4397.65	4380.82	4387.00	17867	0	4
2026.01.02	11:00:00	4387.00	4391.61	4383.32	4385.55	16883	0	4
2026.01.02	12:00:00	4385.54	4398.53	4384.59	4396.11	15424	0	4
2026.01.02	13:00:00	4396.11	4399.30	4390.85	4392.95	13168	0	4
2026.01.02	14:00:00	4392.96	4398.26	4385.29	4394.38	18886	0	4
2026.01.02	15:00:00	4394.39	4402.31	4362.01	4366.03	28603	0	4
2026.01.02	16:00:00	4366.03	4373.70	4348.23	4353.51	39098	0	4
2026.01.02	17:00:00	4353.51	4357.12	4330.37	4335.42	46062	0	4
2026.01.02	18:00:00	4335.39	4337.40	4315.03	4326.43	39853	0	4
2026.01.02	19:00:00	4326.42	4333.47	4322.81	4323.07	31393	0	4
2026.01.02	20:00:00	4323.07	4323.75	4309.97	4315.21	25561	0	4
2026.01.02	21:00:00	4315.21	4326.30	4315.21	4318.18	21673	0	4
2026.01.02	22:00:00	4318.18	4331.57	4317.18	4331.53	23585	0	4
2026.01.02	23:00:00	4331.53	4333.25	4327.05	4332.35	6847	0	4
2026.01.05	01:00:00	4352.13	4375.91	4343.87	4372.57	20092	0	4
2026.01.05	02:00:00	4372.57	4396.61	4370.26	4394.98	21946	0	4
2026.01.05	03:00:00	4395.13	4421.34	4391.19	4401.86	42265	0	4
2026.01.05	04:00:00	4401.95	4409.71	4388.61	4405.50	32476	0	4
2026.01.05	05:00:00	4405.50	4414.01	4399.82	4399.94	27107	0	4
2026.01.05	06:00:00	4399.95	4408.41	4397.33	4404.24	14250	0	4
2026.01.05	07:00:00	4404.24	4414.56	4401.07	4412.69	21782	0	4
2026.01.05	08:00:00	4412.67	4426.41	4411.41	4420.32	25525	0	4
2026.01.05	09:00:00	4420.31	4425.17	4416.80	4421.84	18176	0	4
2026.01.05	10:00:00	4421.84	4433.89	4419.36	4430.15	19041	0	4
2026.01.05	11:00:00	4430.15	4438.16	4426.17	4434.85	21316	0	4
2026.01.05	12:00:00	4434.85	4439.88	4430.85	4436.31	16304	0	4
2026.01.05	13:00:00	4436.31	4437.49	4411.07	4419.33	24286	0	4
2026.01.05	14:00:00	4419.33	4421.42	4405.54	4409.64	24347	0	4
2026.01.05	15:00:00	4409.64	4418.95	4396.23	4416.82	38314	0	4
2026.01.05	16:00:00	4416.86	4442.86	4416.86	4436.68	42651	0	4
2026.01.05	17:00:00	4436.68	4455.65	4435.51	4448.51	37449	0	4
2026.01.05	18:00:00	4448.50	4454.42	4438.42	4441.82	25749	0	4
2026.01.05	19:00:00	4441.82	4449.09	4432.35	4443.54	28263	0	4
2026.01.05	20:00:00	4443.50	4448.58	4439.84	4448.58	19109	0	4
2026.01.05	21:00:00	4448.61	4449.42	4434.84	4439.75	18922	0	4
2026.01.05	22:00:00	4439.73	4446.97	4438.04	4444.80	24189	0	4
2026.01.05	23:00:00	4444.81	4449.24	4443.31	4449.00	5238	0	4
2026.01.06	01:00:00	4449.00	4460.12	4436.91	4440.52	13049	0	4
2026.01.06	02:00:00	4440.52	4444.75	4430.43	4436.45	15292	0	4
2026.01.06	03:00:00	4436.45	4452.35	4427.96	4450.67	33499	0	4
2026.01.06	04:00:00	4450.66	4461.27	4448.66	4454.96	27126	0	4
2026.01.06	05:00:00	4454.96	4468.10	4454.20	4467.65	18993	0	4
2026.01.06	06:00:00	4467.64	4468.47	4461.87	4467.39	13780	0	4
2026.01.06	07:00:00	4467.39	4474.25	4449.51	4452.47	22247	0	4
2026.01.06	08:00:00	4452.52	4467.01	4451.54	4465.86	26530	0	4
2026.01.06	09:00:00	4465.86	4470.41	4457.19	4459.57	16783	0	4
2026.01.06	10:00:00	4459.57	4475.71	4457.49	4468.36	18256	0	4
2026.01.06	11:00:00	4468.36	4468.47	4444.82	4446.39	21803	0	4
2026.01.06	12:00:00	4446.39	4455.98	4442.60	4451.75	16294	0	4
2026.01.06	13:00:00	4451.75	4464.52	4448.71	4463.32	15427	0	4
2026.01.06	14:00:00	4463.32	4466.36	4458.76	4463.68	17562	0	4
2026.01.06	15:00:00	4463.68	4470.45	4454.20	4467.98	31447	0	4
2026.01.06	16:00:00	4467.98	4489.74	4464.49	4487.57	35349	0	4
2026.01.06	17:00:00	4487.53	4490.93	4463.08	4478.37	41448	0	4
2026.01.06	18:00:00	4478.37	4488.88	4471.63	4488.28	32926	0	4
2026.01.06	19:00:00	4488.28	4491.51	4481.67	4489.47	25078	0	4
2026.01.06	20:00:00	4489.47	4494.11	4482.23	4488.45	22249	0	4
2026.01.06	21:00:00	4488.45	4489.45	4477.44	4481.32	21705	0	4
2026.01.06	22:00:00	4481.32	4496.89	4480.37	4493.74	20751	0	4
2026.01.06	23:00:00	4493.74	4497.22	4491.81	4494.64	4706	0	4
2026.01.07	01:00:00	4494.64	4500.42	4492.13	4493.36	11343	0	4
2026.01.07	02:00:00	4493.36	4494.71	4482.47	4491.95	14505	0	4
2026.01.07	03:00:00	4491.94	4495.81	4461.80	4465.50	34777	0	4
2026.01.07	04:00:00	4465.50	4478.73	4459.69	4474.69	25054	0	4
2026.01.07	05:00:00	4474.69	4480.23	4471.83	4474.75	24899	0	4
2026.01.07	06:00:00	4474.75	4476.10	4463.50	4464.80	16439	0	4
2026.01.07	07:00:00	4464.80	4470.47	4443.27	4454.33	25706	0	4
2026.01.07	08:00:00	4454.33	4460.45	4441.57	4444.24	22820	0	4
2026.01.07	09:00:00	4444.21	4465.05	4441.72	4461.24	20147	0	4
2026.01.07	10:00:00	4461.24	4474.71	4459.38	4468.33	6963	0	4
2026.01.07	11:00:00	4468.07	4468.74	4459.73	4463.37	4635	0	5
2026.01.07	12:00:00	4463.22	4467.91	4458.79	4464.52	4348	0	7
2026.01.07	13:00:00	4464.54	4464.93	4446.51	4447.40	6089	0	4
2026.01.07	14:00:00	4447.43	4455.04	4439.37	4445.14	23287	0	4
2026.01.07	15:00:00	4445.14	4453.10	4427.91	4452.89	38523	0	4
2026.01.07	16:00:00	4452.89	4454.34	4435.79	4444.99	39317	0	4
2026.01.07	17:00:00	4444.99	4452.25	4423.48	4446.08	39956	0	4
2026.01.07	18:00:00	4446.07	4468.29	4443.86	4464.13	31234	0	4
2026.01.07	19:00:00	4464.15	4465.42	4449.74	4452.01	18096	0	4
2026.01.07	20:00:00	4452.01	4458.88	4447.23	4452.10	24308	0	4
