<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	01:45:00	4530.37	4530.37	4529.45	4529.45	2	0	33
2025.12.29	02:00:00	4520.24	4526.46	4519.48	4524.18	4909	0	4
2025.12.29	02:15:00	4524.18	4524.18	4482.62	4487.19	11389	0	4
2025.12.29	02:30:00	4487.19	4503.29	4472.35	4489.54	9594	0	4
2025.12.29	02:45:00	4489.53	4507.01	4489.34	4497.34	7269	0	4
2025.12.29	03:00:00	4497.34	4514.70	4492.95	4512.43	11699	0	4
2025.12.29	03:15:00	4512.43	4517.51	4495.98	4499.52	9494	0	4
2025.12.29	03:30:00	4499.51	4507.78	4492.25	4501.77	9015	0	4
2025.12.29	03:45:00	4501.77	4506.73	4494.96	4497.15	7717	0	4
2025.12.29	04:00:00	4497.14	4509.19	4496.21	4507.23	7745	0	4
2025.12.29	04:15:00	4507.23	4514.16	4504.32	4512.55	4991	0	4
2025.12.29	04:30:00	4512.55	4515.59	4508.80	4511.73	7455	0	4
2025.12.29	04:45:00	4511.73	4515.87	4509.48	4512.44	6785	0	4
2025.12.29	05:00:00	4512.44	4518.86	4509.45	4515.26	7280	0	4
2025.12.29	05:15:00	4515.26	4518.28	4512.18	4512.83	8523	0	4
2025.12.29	05:30:00	4512.83	4520.44	4512.82	4516.57	4954	0	4
2025.12.29	05:45:00	4516.57	4517.51	4513.61	4516.48	4237	0	4
2025.12.29	06:00:00	4516.48	4516.90	4507.85	4515.06	5815	0	4
2025.12.29	06:15:00	4515.06	4516.08	4510.75	4514.20	5231	0	4
2025.12.29	06:30:00	4514.22	4519.55	4513.08	4515.75	3572	0	4
2025.12.29	06:45:00	4515.75	4516.43	4513.35	4515.69	4993	0	4
2025.12.29	07:00:00	4515.71	4515.71	4509.78	4514.68	5000	0	4
2025.12.29	07:15:00	4514.68	4515.87	4511.10	4514.00	2817	0	4
2025.12.29	07:30:00	4513.99	4519.39	4512.16	4516.38	5370	0	4
2025.12.29	07:45:00	4516.34	4517.58	4505.21	4506.85	7436	0	4
2025.12.29	08:00:00	4506.85	4510.70	4500.31	4506.08	7225	0	4
2025.12.29	08:15:00	4506.08	4507.23	4489.45	4490.72	6936	0	4
2025.12.29	08:30:00	4490.72	4497.86	4484.70	4487.07	9149	0	4
2025.12.29	08:45:00	4487.08	4487.88	4471.31	4475.14	9808	0	4
2025.12.29	09:00:00	4475.14	4476.38	4445.40	4473.40	12180	0	4
2025.12.29	09:15:00	4473.40	4481.78	4471.39	4471.48	7089	0	4
2025.12.29	09:30:00	4471.48	4479.65	4470.20	4473.48	5979	0	4
2025.12.29	09:45:00	4473.47	4478.72	4472.97	4474.61	5949	0	4
2025.12.29	10:00:00	4474.67	4485.97	4466.22	4483.94	7699	0	4
2025.12.29	10:15:00	4483.95	4488.53	4479.94	4479.96	6021	0	4
2025.12.29	10:30:00	4479.96	4480.73	4469.93	4470.04	7742	0	4
2025.12.29	10:45:00	4470.04	4472.00	4452.63	4461.11	9223	0	4
2025.12.29	11:00:00	4461.09	4467.91	4459.11	4467.57	8512	0	4
2025.12.29	11:15:00	4467.57	4468.89	4462.15	4466.04	5977	0	4
2025.12.29	11:30:00	4466.04	4475.74	4460.25	4475.62	6220	0	4
2025.12.29	11:45:00	4475.62	4476.23	4469.01	4472.09	4383	0	4
2025.12.29	12:00:00	4472.09	4474.70	4468.91	4471.22	4356	0	4
2025.12.29	12:15:00	4471.17	4472.35	4462.62	4462.65	5251	0	4
2025.12.29	12:30:00	4462.66	4463.74	4457.11	4459.98	6191	0	4
2025.12.29	12:45:00	4459.98	4463.32	4458.59	4460.95	5167	0	4
2025.12.29	13:00:00	4460.96	4461.02	4455.91	4458.35	4731	0	4
2025.12.29	13:15:00	4458.35	4467.74	4457.83	4465.27	4951	0	4
2025.12.29	13:30:00	4465.24	4465.87	4434.26	4453.02	6964	0	4
2025.12.29	13:45:00	4453.02	4453.38	4441.71	4446.87	8898	0	4
2025.12.29	14:00:00	4446.87	4456.34	4445.73	4452.58	7962	0	4
2025.12.29	14:15:00	4452.66	4457.08	4451.73	4456.75	5670	0	4
2025.12.29	14:30:00	4456.74	4464.42	4454.73	4462.32	5301	0	4
2025.12.29	14:45:00	4462.33	4464.79	4460.62	4464.37	5806	0	4
2025.12.29	15:00:00	4464.41	4467.52	4456.64	4457.71	8888	0	4
2025.12.29	15:15:00	4457.71	4459.91	4445.21	4451.63	8457	0	4
2025.12.29	15:30:00	4451.63	4454.80	4425.32	4429.60	10605	0	4
2025.12.29	15:45:00	4429.60	4429.67	4407.03	4421.49	12439	0	4
2025.12.29	16:00:00	4421.49	4421.49	4386.37	4398.59	14181	0	4
2025.12.29	16:15:00	4398.59	4405.59	4386.62	4389.74	11763	0	4
2025.12.29	16:30:00	4389.86	4389.86	4356.72	4373.57	15938	0	4
2025.12.29	16:45:00	4373.57	4384.61	4358.88	4360.35	13474	0	4
2025.12.29	17:00:00	4360.35	4360.80	4328.46	4343.00	13786	0	4
2025.12.29	17:15:00	4343.00	4343.00	4302.53	4319.77	14104	0	4
2025.12.29	17:30:00	4319.76	4336.89	4316.75	4331.34	12041	0	4
2025.12.29	17:45:00	4331.46	4339.79	4322.51	4325.29	10097	0	4
2025.12.29	18:00:00	4325.29	4342.77	4323.48	4333.96	10958	0	4
2025.12.29	18:15:00	4333.96	4337.80	4324.29	4334.17	9755	0	4
2025.12.29	18:30:00	4334.17	4342.34	4328.92	4334.99	8675	0	4
2025.12.29	18:45:00	4334.86	4347.51	4334.62	4341.72	7937	0	4
2025.12.29	19:00:00	4341.72	4343.04	4325.89	4330.21	8827	0	4
2025.12.29	19:15:00	4330.21	4333.53	4322.73	4329.36	6976	0	4
2025.12.29	19:30:00	4329.38	4330.01	4315.04	4319.85	8729	0	4
2025.12.29	19:45:00	4319.85	4329.30	4319.62	4328.16	8655	0	4
2025.12.29	20:00:00	4328.16	4333.47	4325.98	4329.63	8127	0	4
2025.12.29	20:15:00	4329.63	4334.80	4322.89	4327.77	9592	0	4
2025.12.29	20:30:00	4327.77	4334.28	4326.30	4330.38	5220	0	4
2025.12.29	20:45:00	4330.38	4332.21	4328.05	4331.38	4379	0	4
2025.12.29	21:00:00	4331.38	4335.43	4327.62	4335.19	4235	0	4
2025.12.29	21:15:00	4335.31	4336.62	4328.68	4330.53	5194	0	4
2025.12.29	21:30:00	4330.53	4335.75	4330.36	4332.37	4244	0	4
2025.12.29	21:45:00	4332.37	4337.94	4331.11	4336.89	4481	0	4
2025.12.29	22:00:00	4336.88	4344.63	4336.53	4342.37	5411	0	4
2025.12.29	22:15:00	4342.37	4342.70	4337.08	4340.71	4367	0	4
2025.12.29	22:30:00	4340.71	4341.45	4325.93	4333.37	5689	0	4
2025.12.29	22:45:00	4333.40	4335.67	4328.83	4334.68	7239	0	4
2025.12.29	23:00:00	4334.75	4339.27	4328.38	4335.69	3213	0	4
2025.12.29	23:15:00	4335.69	4337.67	4330.63	4331.42	2836	0	4
2025.12.29	23:30:00	4331.42	4332.21	4327.30	4329.51	3238	0	4
2025.12.29	23:45:00	4329.53	4332.65	4329.25	4332.12	1701	0	4
2025.12.30	01:00:00	4339.55	4339.55	4339.55	4339.55	1	0	17
2025.12.30	01:45:00	4340.92	4345.26	4340.92	4345.26	2	0	33
2025.12.30	02:00:00	4339.78	4347.51	4339.21	4346.81	2614	0	4
2025.12.30	02:15:00	4346.81	4350.81	4343.78	4349.22	3559	0	4
2025.12.30	02:30:00	4349.22	4349.42	4339.88	4340.73	4420	0	4
2025.12.30	02:45:00	4340.73	4342.93	4334.52	4339.73	5884	0	4
2025.12.30	03:00:00	4339.73	4339.95	4324.54	4334.97	9694	0	4
2025.12.30	03:15:00	4334.97	4343.37	4334.94	4336.53	7073	0	4
2025.12.30	03:30:00	4336.55	4349.61	4331.87	4347.10	7261	0	4
2025.12.30	03:45:00	4347.11	4360.18	4346.60	4360.18	9418	0	4
2025.12.30	04:00:00	4360.18	4361.85	4351.83	4355.60	8306	0	4
2025.12.30	04:15:00	4355.60	4357.76	4352.66	4355.73	6406	0	4
2025.12.30	04:30:00	4355.66	4357.02	4348.84	4354.47	7856	0	4
2025.12.30	04:45:00	4354.47	4364.91	4354.42	4362.53	6524	0	4
2025.12.30	05:00:00	4362.56	4365.23	4356.96	4360.65	5942	0	4
2025.12.30	05:15:00	4360.77	4369.21	4358.95	4367.90	6629	0	4
2025.12.30	05:30:00	4367.90	4368.73	4361.23	4363.45	4143	0	4
