<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.68069	0.68138	0.68051	0.68060	428	0	7
2024.01.02	01:00:00	0.68060	0.68126	0.68059	0.68091	1708	0	6
2024.01.02	02:00:00	0.68091	0.68143	0.68082	0.68136	1481	0	6
2024.01.02	03:00:00	0.68135	0.68224	0.68099	0.68121	3818	0	6
2024.01.02	04:00:00	0.68121	0.68136	0.68024	0.68041	2397	0	6
2024.01.02	05:00:00	0.68041	0.68188	0.68020	0.68143	1993	0	6
2024.01.02	06:00:00	0.68143	0.68204	0.68130	0.68187	1133	0	6
2024.01.02	07:00:00	0.68187	0.68388	0.68187	0.68383	2379	0	6
2024.01.02	08:00:00	0.68383	0.68386	0.68242	0.68257	1879	0	4
2024.01.02	09:00:00	0.68256	0.68302	0.68188	0.68194	3612	0	3
2024.01.02	10:00:00	0.68195	0.68337	0.68195	0.68245	4037	0	3
2024.01.02	11:00:00	0.68245	0.68325	0.68209	0.68214	3379	0	3
2024.01.02	12:00:00	0.68214	0.68240	0.68110	0.68164	3131	0	3
2024.01.02	13:00:00	0.68164	0.68164	0.67955	0.68001	3605	0	3
2024.01.02	14:00:00	0.68001	0.68007	0.67843	0.67854	3340	0	3
2024.01.02	15:00:00	0.67854	0.67899	0.67772	0.67796	4023	0	3
2024.01.02	16:00:00	0.67797	0.67873	0.67739	0.67865	6568	0	3
2024.01.02	17:00:00	0.67866	0.67908	0.67610	0.67679	7248	0	3
2024.01.02	18:00:00	0.67678	0.67800	0.67628	0.67704	4368	0	3
2024.01.02	19:00:00	0.67704	0.67778	0.67687	0.67731	3163	0	3
2024.01.02	20:00:00	0.67731	0.67736	0.67631	0.67645	2713	0	3
2024.01.02	21:00:00	0.67644	0.67656	0.67604	0.67608	2253	0	3
2024.01.02	22:00:00	0.67608	0.67627	0.67569	0.67579	2151	0	3
2024.01.02	23:00:00	0.67571	0.67609	0.67563	0.67598	1033	0	2
2024.01.03	00:00:00	0.67609	0.67657	0.67557	0.67642	1400	0	14
2024.01.03	01:00:00	0.67648	0.67662	0.67639	0.67661	892	0	6
2024.01.03	02:00:00	0.67663	0.67703	0.67626	0.67637	1391	0	6
2024.01.03	03:00:00	0.67636	0.67666	0.67518	0.67560	3410	0	6
2024.01.03	04:00:00	0.67560	0.67566	0.67505	0.67551	2378	0	6
2024.01.03	05:00:00	0.67551	0.67668	0.67529	0.67658	2300	0	6
2024.01.03	06:00:00	0.67658	0.67683	0.67613	0.67627	1613	0	0
2024.01.03	07:00:00	0.67627	0.67703	0.67605	0.67641	1697	0	6
2024.01.03	08:00:00	0.67641	0.67699	0.67631	0.67659	1693	0	4
2024.01.03	09:00:00	0.67660	0.67679	0.67550	0.67574	3418	0	3
2024.01.03	10:00:00	0.67573	0.67604	0.67497	0.67559	3695	0	3
2024.01.03	11:00:00	0.67559	0.67570	0.67451	0.67491	3301	0	3
2024.01.03	12:00:00	0.67490	0.67513	0.67412	0.67423	2458	0	3
2024.01.03	13:00:00	0.67423	0.67437	0.67279	0.67292	2818	0	3
2024.01.03	14:00:00	0.67293	0.67362	0.67262	0.67271	3428	0	3
2024.01.03	15:00:00	0.67271	0.67295	0.67120	0.67148	4522	0	3
2024.01.03	16:00:00	0.67151	0.67222	0.67060	0.67193	5894	0	3
2024.01.03	17:00:00	0.67183	0.67392	0.67020	0.67120	9312	0	3
2024.01.03	18:00:00	0.67118	0.67258	0.67100	0.67191	5652	0	3
2024.01.03	19:00:00	0.67191	0.67219	0.67163	0.67201	3237	0	3
2024.01.03	20:00:00	0.67200	0.67274	0.67172	0.67208	2873	0	3
2024.01.03	21:00:00	0.67208	0.67373	0.67068	0.67296	7202	0	3
2024.01.03	22:00:00	0.67295	0.67300	0.67225	0.67254	4024	0	3
2024.01.03	23:00:00	0.67247	0.67321	0.67233	0.67306	989	0	1
2024.01.04	00:00:00	0.67277	0.67318	0.67103	0.67293	1255	0	3
2024.01.04	01:00:00	0.67299	0.67345	0.67286	0.67343	1126	0	6
2024.01.04	02:00:00	0.67344	0.67357	0.67275	0.67297	1828	0	6
2024.01.04	03:00:00	0.67298	0.67335	0.67235	0.67299	2627	0	6
2024.01.04	04:00:00	0.67299	0.67316	0.67206	0.67286	2122	0	6
2024.01.04	05:00:00	0.67288	0.67465	0.67271	0.67387	2250	0	6
2024.01.04	06:00:00	0.67387	0.67423	0.67358	0.67393	1517	0	6
2024.01.04	07:00:00	0.67393	0.67438	0.67355	0.67395	2443	0	6
2024.01.04	08:00:00	0.67395	0.67541	0.67394	0.67529	2333	0	4
2024.01.04	09:00:00	0.67528	0.67597	0.67511	0.67538	3186	0	3
2024.01.04	10:00:00	0.67540	0.67559	0.67424	0.67498	4245	0	3
2024.01.04	11:00:00	0.67498	0.67515	0.67396	0.67429	3397	0	3
2024.01.04	12:00:00	0.67429	0.67454	0.67305	0.67354	3028	0	3
2024.01.04	13:00:00	0.67354	0.67389	0.67267	0.67285	2437	0	3
