<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.68069	0.68079	0.68055	0.68065	9	0	96
2024.01.02	00:05:00	0.68069	0.68125	0.68051	0.68114	18	0	96
2024.01.02	00:10:00	0.68100	0.68137	0.68096	0.68124	43	0	34
2024.01.02	00:15:00	0.68124	0.68129	0.68115	0.68122	20	0	36
2024.01.02	00:20:00	0.68122	0.68138	0.68100	0.68106	25	0	18
2024.01.02	00:25:00	0.68107	0.68125	0.68055	0.68073	35	0	18
2024.01.02	00:30:00	0.68074	0.68093	0.68074	0.68085	25	0	40
2024.01.02	00:35:00	0.68088	0.68099	0.68080	0.68096	20	0	35
2024.01.02	00:40:00	0.68096	0.68110	0.68093	0.68097	35	0	7
2024.01.02	00:45:00	0.68097	0.68103	0.68060	0.68063	52	0	23
2024.01.02	00:50:00	0.68063	0.68086	0.68059	0.68080	27	0	26
2024.01.02	00:55:00	0.68101	0.68101	0.68051	0.68060	119	0	9
2024.01.02	01:00:00	0.68060	0.68126	0.68060	0.68111	171	0	6
2024.01.02	01:05:00	0.68112	0.68120	0.68110	0.68116	114	0	6
2024.01.02	01:10:00	0.68117	0.68122	0.68107	0.68109	94	0	6
2024.01.02	01:15:00	0.68109	0.68109	0.68089	0.68094	88	0	6
2024.01.02	01:20:00	0.68094	0.68111	0.68093	0.68111	108	0	6
2024.01.02	01:25:00	0.68109	0.68118	0.68109	0.68116	162	0	6
2024.01.02	01:30:00	0.68116	0.68118	0.68098	0.68104	183	0	6
2024.01.02	01:35:00	0.68104	0.68115	0.68102	0.68113	131	0	6
2024.01.02	01:40:00	0.68113	0.68116	0.68088	0.68091	163	0	6
2024.01.02	01:45:00	0.68091	0.68091	0.68059	0.68068	223	0	6
2024.01.02	01:50:00	0.68069	0.68078	0.68059	0.68071	190	0	6
2024.01.02	01:55:00	0.68071	0.68099	0.68067	0.68091	81	0	6
2024.01.02	02:00:00	0.68091	0.68117	0.68090	0.68116	147	0	6
2024.01.02	02:05:00	0.68116	0.68126	0.68104	0.68126	142	0	6
2024.01.02	02:10:00	0.68126	0.68142	0.68117	0.68122	118	0	6
2024.01.02	02:15:00	0.68123	0.68128	0.68111	0.68112	106	0	6
2024.01.02	02:20:00	0.68112	0.68112	0.68087	0.68097	159	0	6
2024.01.02	02:25:00	0.68097	0.68098	0.68088	0.68096	113	0	6
2024.01.02	02:30:00	0.68096	0.68105	0.68082	0.68103	142	0	6
2024.01.02	02:35:00	0.68104	0.68108	0.68096	0.68108	115	0	6
2024.01.02	02:40:00	0.68108	0.68117	0.68108	0.68117	94	0	6
2024.01.02	02:45:00	0.68116	0.68133	0.68116	0.68133	88	0	6
2024.01.02	02:50:00	0.68133	0.68143	0.68127	0.68132	124	0	6
2024.01.02	02:55:00	0.68132	0.68141	0.68126	0.68136	133	0	6
2024.01.02	03:00:00	0.68135	0.68204	0.68122	0.68197	294	0	6
2024.01.02	03:05:00	0.68195	0.68224	0.68174	0.68176	377	0	6
2024.01.02	03:10:00	0.68177	0.68180	0.68161	0.68172	192	0	6
2024.01.02	03:15:00	0.68173	0.68219	0.68173	0.68199	357	0	6
2024.01.02	03:20:00	0.68199	0.68206	0.68175	0.68199	262	0	6
2024.01.02	03:25:00	0.68199	0.68199	0.68162	0.68172	243	0	6
2024.01.02	03:30:00	0.68172	0.68178	0.68123	0.68149	571	0	6
2024.01.02	03:35:00	0.68149	0.68152	0.68099	0.68109	386	0	6
2024.01.02	03:40:00	0.68110	0.68150	0.68108	0.68148	327	0	6
2024.01.02	03:45:00	0.68148	0.68174	0.68140	0.68153	373	0	6
2024.01.02	03:50:00	0.68153	0.68159	0.68134	0.68142	240	0	6
2024.01.02	03:55:00	0.68141	0.68143	0.68113	0.68121	196	0	6
2024.01.02	04:00:00	0.68121	0.68136	0.68107	0.68121	270	0	6
2024.01.02	04:05:00	0.68121	0.68132	0.68104	0.68119	206	0	6
2024.01.02	04:10:00	0.68119	0.68123	0.68105	0.68107	150	0	6
2024.01.02	04:15:00	0.68108	0.68127	0.68104	0.68113	160	0	6
2024.01.02	04:20:00	0.68113	0.68115	0.68080	0.68103	200	0	6
2024.01.02	04:25:00	0.68102	0.68107	0.68086	0.68089	120	0	6
2024.01.02	04:30:00	0.68089	0.68093	0.68041	0.68057	284	0	6
2024.01.02	04:35:00	0.68054	0.68074	0.68049	0.68055	242	0	6
2024.01.02	04:40:00	0.68055	0.68062	0.68030	0.68041	169	0	6
2024.01.02	04:45:00	0.68041	0.68051	0.68030	0.68031	210	0	6
2024.01.02	04:50:00	0.68031	0.68051	0.68026	0.68030	185	0	6
2024.01.02	04:55:00	0.68030	0.68043	0.68024	0.68041	201	0	6
2024.01.02	05:00:00	0.68041	0.68046	0.68020	0.68027	196	0	6
2024.01.02	05:05:00	0.68027	0.68062	0.68020	0.68044	202	0	6
2024.01.02	05:10:00	0.68045	0.68069	0.68042	0.68054	150	0	6
2024.01.02	05:15:00	0.68054	0.68059	0.68038	0.68041	204	0	6
2024.01.02	05:20:00	0.68042	0.68075	0.68039	0.68074	185	0	6
2024.01.02	05:25:00	0.68074	0.68075	0.68054	0.68070	166	0	6
2024.01.02	05:30:00	0.68070	0.68129	0.68069	0.68129	201	0	6
2024.01.02	05:35:00	0.68129	0.68147	0.68125	0.68147	176	0	6
2024.01.02	05:40:00	0.68147	0.68167	0.68141	0.68164	148	0	6
2024.01.02	05:45:00	0.68164	0.68188	0.68164	0.68180	157	0	6
2024.01.02	05:50:00	0.68180	0.68180	0.68134	0.68150	131	0	6
2024.01.02	05:55:00	0.68150	0.68153	0.68137	0.68143	77	0	6
2024.01.02	06:00:00	0.68143	0.68153	0.68130	0.68141	76	0	6
2024.01.02	06:05:00	0.68141	0.68151	0.68133	0.68146	63	0	6
2024.01.02	06:10:00	0.68147	0.68157	0.68145	0.68151	55	0	6
2024.01.02	06:15:00	0.68151	0.68158	0.68143	0.68146	71	0	6
2024.01.02	06:20:00	0.68147	0.68172	0.68147	0.68172	67	0	6
2024.01.02	06:25:00	0.68172	0.68189	0.68170	0.68182	67	0	6
2024.01.02	06:30:00	0.68182	0.68198	0.68182	0.68184	97	0	6
2024.01.02	06:35:00	0.68184	0.68199	0.68180	0.68199	110	0	6
2024.01.02	06:40:00	0.68199	0.68204	0.68170	0.68172	87	0	6
2024.01.02	06:45:00	0.68172	0.68180	0.68168	0.68169	126	0	6
2024.01.02	06:50:00	0.68169	0.68178	0.68168	0.68173	168	0	6
2024.01.02	06:55:00	0.68172	0.68187	0.68168	0.68187	146	0	6
2024.01.02	07:00:00	0.68187	0.68238	0.68187	0.68232	180	0	6
2024.01.02	07:05:00	0.68233	0.68233	0.68218	0.68222	148	0	6
2024.01.02	07:10:00	0.68222	0.68275	0.68215	0.68274	311	0	6
2024.01.02	07:15:00	0.68273	0.68276	0.68256	0.68264	214	0	6
2024.01.02	07:20:00	0.68263	0.68292	0.68245	0.68286	175	0	6
2024.01.02	07:25:00	0.68286	0.68298	0.68276	0.68277	156	0	6
2024.01.02	07:30:00	0.68277	0.68294	0.68271	0.68287	141	0	6
2024.01.02	07:35:00	0.68287	0.68287	0.68262	0.68277	187	0	6
2024.01.02	07:40:00	0.68277	0.68317	0.68277	0.68313	165	0	6
2024.01.02	07:45:00	0.68313	0.68376	0.68313	0.68351	281	0	6
2024.01.02	07:50:00	0.68351	0.68361	0.68332	0.68344	198	0	6
2024.01.02	07:55:00	0.68344	0.68388	0.68339	0.68383	223	0	6
2024.01.02	08:00:00	0.68383	0.68386	0.68332	0.68336	253	0	6
2024.01.02	08:05:00	0.68336	0.68340	0.68316	0.68336	132	0	6
2024.01.02	08:10:00	0.68336	0.68347	0.68330	0.68332	166	0	6
2024.01.02	08:15:00	0.68333	0.68333	0.68311	0.68320	113	0	6
