<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	0.86724	0.86781	0.86700	0.86737	375	0	3
2024.01.02	01:00:00	0.86738	0.86738	0.86682	0.86705	964	0	0
2024.01.02	02:00:00	0.86704	0.86741	0.86696	0.86732	923	0	0
2024.01.02	03:00:00	0.86732	0.86754	0.86722	0.86743	1052	0	1
2024.01.02	04:00:00	0.86743	0.86744	0.86652	0.86683	1216	0	2
2024.01.02	05:00:00	0.86681	0.86705	0.86665	0.86677	841	0	0
2024.01.02	06:00:00	0.86678	0.86687	0.86655	0.86675	928	0	0
2024.01.02	07:00:00	0.86676	0.86679	0.86581	0.86619	998	0	2
2024.01.02	08:00:00	0.86619	0.86653	0.86616	0.86622	988	0	2
2024.01.02	09:00:00	0.86621	0.86638	0.86501	0.86510	2359	0	0
2024.01.02	10:00:00	0.86511	0.86556	0.86454	0.86507	3275	0	3
2024.01.02	11:00:00	0.86507	0.86608	0.86490	0.86607	2471	0	8
2024.01.02	12:00:00	0.86608	0.86711	0.86546	0.86701	2769	0	8
2024.01.02	13:00:00	0.86700	0.86782	0.86592	0.86623	3995	0	8
2024.01.02	14:00:00	0.86621	0.86688	0.86608	0.86632	2693	0	8
2024.01.02	15:00:00	0.86630	0.86762	0.86616	0.86716	2608	0	8
2024.01.02	16:00:00	0.86717	0.86809	0.86644	0.86809	3637	0	8
2024.01.02	17:00:00	0.86811	0.86822	0.86665	0.86678	4074	0	8
2024.01.02	18:00:00	0.86679	0.86811	0.86674	0.86746	2553	0	8
2024.01.02	19:00:00	0.86746	0.86746	0.86671	0.86677	1652	0	0
2024.01.02	20:00:00	0.86676	0.86725	0.86668	0.86694	1405	0	0
2024.01.02	21:00:00	0.86695	0.86731	0.86695	0.86731	1211	0	0
2024.01.02	22:00:00	0.86731	0.86742	0.86714	0.86722	1320	0	2
2024.01.02	23:00:00	0.86712	0.86715	0.86668	0.86705	632	0	0
2024.01.03	00:00:00	0.86705	0.86717	0.86646	0.86675	1016	0	4
2024.01.03	01:00:00	0.86690	0.86710	0.86674	0.86675	615	0	0
2024.01.03	02:00:00	0.86675	0.86695	0.86672	0.86680	792	0	0
2024.01.03	03:00:00	0.86680	0.86735	0.86670	0.86711	1308	0	2
2024.01.03	04:00:00	0.86711	0.86725	0.86697	0.86718	772	0	0
2024.01.03	05:00:00	0.86718	0.86729	0.86684	0.86707	1168	0	0
2024.01.03	06:00:00	0.86706	0.86721	0.86699	0.86712	759	0	0
2024.01.03	07:00:00	0.86713	0.86726	0.86698	0.86700	1071	0	0
2024.01.03	08:00:00	0.86700	0.86714	0.86665	0.86670	1155	0	0
2024.01.03	09:00:00	0.86668	0.86758	0.86666	0.86683	2425	0	3
2024.01.03	10:00:00	0.86683	0.86724	0.86590	0.86636	3230	0	8
2024.01.03	11:00:00	0.86635	0.86660	0.86567	0.86600	2580	0	8
2024.01.03	12:00:00	0.86599	0.86611	0.86520	0.86542	2240	0	2
2024.01.03	13:00:00	0.86542	0.86547	0.86450	0.86474	2790	0	8
2024.01.03	14:00:00	0.86475	0.86542	0.86442	0.86469	2707	0	8
2024.01.03	15:00:00	0.86470	0.86485	0.86412	0.86469	3188	0	8
2024.01.03	16:00:00	0.86470	0.86496	0.86403	0.86439	3580	0	8
2024.01.03	17:00:00	0.86422	0.86450	0.86294	0.86347	5536	0	8
2024.01.03	18:00:00	0.86349	0.86357	0.86269	0.86291	3160	0	8
2024.01.03	19:00:00	0.86290	0.86300	0.86236	0.86247	2062	0	10
2024.01.03	20:00:00	0.86248	0.86277	0.86200	0.86212	2066	0	10
2024.01.03	21:00:00	0.86212	0.86245	0.86166	0.86204	3547	0	10
2024.01.03	22:00:00	0.86203	0.86255	0.86203	0.86232	2288	0	10
2024.01.03	23:00:00	0.86222	0.86233	0.86186	0.86230	702	0	0
2024.01.04	00:00:00	0.86188	0.86231	0.86045	0.86208	842	0	25
2024.01.04	01:00:00	0.86223	0.86243	0.86204	0.86209	758	0	0
2024.01.04	02:00:00	0.86209	0.86232	0.86195	0.86209	808	0	0
2024.01.04	03:00:00	0.86208	0.86223	0.86203	0.86218	873	0	0
2024.01.04	04:00:00	0.86218	0.86255	0.86215	0.86246	893	0	0
2024.01.04	05:00:00	0.86245	0.86262	0.86207	0.86209	950	0	0
2024.01.04	06:00:00	0.86209	0.86229	0.86192	0.86228	726	0	0
2024.01.04	07:00:00	0.86226	0.86266	0.86208	0.86265	1022	0	1
2024.01.04	08:00:00	0.86266	0.86267	0.86187	0.86218	1303	0	3
2024.01.04	09:00:00	0.86219	0.86239	0.86160	0.86167	2286	0	0
2024.01.04	10:00:00	0.86166	0.86291	0.86163	0.86231	3439	0	8
2024.01.04	11:00:00	0.86232	0.86300	0.86178	0.86216	3158	0	8
2024.01.04	12:00:00	0.86217	0.86236	0.86097	0.86210	2686	0	0
2024.01.04	13:00:00	0.86210	0.86282	0.86192	0.86264	1796	0	8
2024.01.04	14:00:00	0.86265	0.86334	0.86236	0.86282	1950	0	2
2024.01.04	15:00:00	0.86281	0.86373	0.86256	0.86373	3636	0	8
2024.01.04	16:00:00	0.86374	0.86391	0.86281	0.86324	3147	0	8
2024.01.04	17:00:00	0.86323	0.86332	0.86256	0.86263	3130	0	8
2024.01.04	18:00:00	0.86265	0.86348	0.86263	0.86334	2488	0	8
2024.01.04	19:00:00	0.86333	0.86361	0.86273	0.86332	2045	0	4
2024.01.04	20:00:00	0.86333	0.86363	0.86308	0.86314	1415	0	10
2024.01.04	21:00:00	0.86315	0.86349	0.86302	0.86309	1027	0	1
2024.01.04	22:00:00	0.86309	0.86328	0.86282	0.86315	1217	0	2
2024.01.04	23:00:00	0.86305	0.86333	0.86284	0.86287	576	0	0
2024.01.05	00:00:00	0.86209	0.86329	0.86199	0.86276	1578	0	28
2024.01.05	01:00:00	0.86290	0.86317	0.86278	0.86312	556	0	0
2024.01.05	02:00:00	0.86313	0.86321	0.86270	0.86285	779	0	0
2024.01.05	03:00:00	0.86284	0.86305	0.86268	0.86272	981	0	3
