<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	184.144	184.392	183.958	184.242	2582	0	80
2025.12.29	01:00:00	184.242	184.384	184.220	184.257	3219	0	22
2025.12.29	02:00:00	184.256	184.259	183.792	184.136	7305	0	22
2025.12.29	03:00:00	184.137	184.260	184.069	184.254	6252	0	22
2025.12.29	04:00:00	184.253	184.413	184.207	184.258	5125	0	22
2025.12.29	05:00:00	184.253	184.259	184.114	184.145	4483	0	22
2025.12.29	06:00:00	184.153	184.214	183.953	184.013	4951	0	22
2025.12.29	07:00:00	184.011	184.015	183.752	183.809	5406	0	22
2025.12.29	08:00:00	183.804	183.914	183.723	183.869	5649	0	15
2025.12.29	09:00:00	183.858	183.949	183.792	183.858	6747	0	10
2025.12.29	10:00:00	183.857	184.245	183.822	184.218	6886	0	10
2025.12.29	11:00:00	184.210	184.259	183.979	184.134	7676	0	10
2025.12.29	12:00:00	184.134	184.191	183.969	183.987	6681	0	10
2025.12.29	13:00:00	183.996	184.115	183.860	184.068	6521	0	10
2025.12.29	14:00:00	184.077	184.114	183.862	183.927	6656	0	9
2025.12.29	15:00:00	183.932	184.007	183.851	183.927	7863	0	9
2025.12.29	16:00:00	183.942	184.045	183.783	184.022	8516	0	9
2025.12.29	17:00:00	184.024	184.154	183.516	183.559	9362	0	9
2025.12.29	18:00:00	183.547	183.654	183.455	183.572	8031	0	9
2025.12.29	19:00:00	183.565	183.618	183.471	183.603	5836	0	20
2025.12.29	20:00:00	183.601	183.729	183.578	183.717	4804	0	20
2025.12.29	21:00:00	183.718	183.776	183.610	183.652	4515	0	20
2025.12.29	22:00:00	183.652	183.753	183.607	183.728	5233	0	20
2025.12.29	23:00:00	183.715	183.774	183.647	183.647	2534	0	28
2025.12.30	00:00:00	183.564	183.779	183.405	183.641	1987	0	80
2025.12.30	01:00:00	183.667	183.816	183.645	183.663	2581	0	22
2025.12.30	02:00:00	183.662	184.094	183.595	183.986	4330	0	22
2025.12.30	03:00:00	183.986	184.071	183.944	183.973	3436	0	22
2025.12.30	04:00:00	183.967	184.088	183.896	184.045	3703	0	22
2025.12.30	05:00:00	184.046	184.072	183.959	184.003	2710	0	22
2025.12.30	06:00:00	184.003	184.037	183.804	183.837	2821	0	22
2025.12.30	07:00:00	183.841	183.878	183.727	183.762	3491	0	22
2025.12.30	08:00:00	183.759	183.879	183.701	183.817	3795	0	15
2025.12.30	09:00:00	183.817	183.825	183.542	183.641	3971	0	10
2025.12.30	10:00:00	183.621	183.659	183.455	183.585	4537	0	10
2025.12.30	11:00:00	183.588	183.711	183.482	183.529	4333	0	10
2025.12.30	12:00:00	183.532	183.587	183.416	183.524	4235	0	10
2025.12.30	13:00:00	183.524	183.582	183.438	183.478	3985	0	10
2025.12.30	14:00:00	183.476	183.591	183.417	183.463	4185	0	9
2025.12.30	15:00:00	183.465	183.823	183.407	183.780	5283	0	9
2025.12.30	16:00:00	183.781	183.893	183.627	183.855	5204	0	9
2025.12.30	17:00:00	183.855	183.983	183.831	183.880	5947	0	9
2025.12.30	18:00:00	183.861	183.896	183.771	183.866	4970	0	9
2025.12.30	19:00:00	183.858	183.967	183.808	183.810	3577	0	20
2025.12.30	20:00:00	183.808	183.876	183.791	183.797	3416	0	20
2025.12.30	21:00:00	183.791	183.897	183.785	183.868	2898	0	20
2025.12.30	22:00:00	183.864	183.872	183.777	183.785	2655	0	20
2025.12.30	23:00:00	183.766	183.790	183.714	183.785	1703	0	29
2025.12.31	00:00:00	183.536	183.708	183.536	183.662	834	0	80
2025.12.31	01:00:00	183.691	183.786	183.655	183.706	1731	0	22
2025.12.31	02:00:00	183.706	183.782	183.627	183.721	2449	0	22
2025.12.31	03:00:00	183.726	183.769	183.671	183.684	2903	0	22
2025.12.31	04:00:00	183.685	183.745	183.658	183.724	2607	0	22
2025.12.31	05:00:00	183.723	183.776	183.693	183.759	2037	0	22
2025.12.31	06:00:00	183.758	183.819	183.735	183.769	2350	0	22
2025.12.31	07:00:00	183.768	183.831	183.737	183.824	2538	0	22
2025.12.31	08:00:00	183.825	183.854	183.770	183.836	2872	0	15
2025.12.31	09:00:00	183.830	183.844	183.712	183.764	3221	0	10
2025.12.31	10:00:00	183.764	183.825	183.526	183.590	4181	0	10
2025.12.31	11:00:00	183.591	183.891	183.557	183.816	4020	0	10
2025.12.31	12:00:00	183.817	183.945	183.748	183.915	3915	0	10
2025.12.31	13:00:00	183.916	184.011	183.869	183.973	3227	0	10
2025.12.31	14:00:00	183.972	184.180	183.941	184.089	4462	0	9
2025.12.31	15:00:00	184.088	184.186	184.071	184.137	5190	0	9
2025.12.31	16:00:00	184.141	184.249	184.030	184.093	5486	0	9
2025.12.31	17:00:00	184.088	184.174	183.966	184.080	6432	0	9
2025.12.31	18:00:00	184.080	184.135	183.926	184.029	5596	0	9
2025.12.31	19:00:00	184.027	184.063	183.952	184.046	3818	0	20
2025.12.31	20:00:00	184.048	184.172	184.028	184.125	3721	0	20
2025.12.31	21:00:00	184.126	184.147	183.976	184.044	3055	0	20
2025.12.31	22:00:00	184.043	184.105	184.022	184.069	3152	0	20
2025.12.31	23:00:00	184.051	184.107	183.996	184.004	1928	0	20
2026.01.02	00:00:00	183.971	184.094	183.942	184.063	632	0	195
2026.01.02	01:00:00	184.083	184.281	184.023	184.147	2053	0	22
2026.01.02	02:00:00	184.146	184.202	184.005	184.046	2828	0	22
2026.01.02	03:00:00	184.046	184.241	184.021	184.201	2762	0	22
2026.01.02	04:00:00	184.202	184.249	184.131	184.230	2288	0	18
2026.01.02	05:00:00	184.244	184.368	184.227	184.364	2062	0	22
2026.01.02	06:00:00	184.365	184.419	184.325	184.339	2383	0	22
2026.01.02	07:00:00	184.340	184.426	184.316	184.397	2144	0	22
2026.01.02	08:00:00	184.394	184.420	184.287	184.329	3137	0	15
2026.01.02	09:00:00	184.328	184.368	183.999	184.064	4079	0	10
2026.01.02	10:00:00	184.061	184.245	183.984	183.997	4944	0	10
2026.01.02	11:00:00	184.001	184.076	183.888	183.930	4079	0	10
2026.01.02	12:00:00	183.931	183.938	183.714	183.840	3668	0	10
2026.01.02	13:00:00	183.825	183.960	183.790	183.942	3467	0	10
2026.01.02	14:00:00	183.942	184.107	183.892	183.995	3121	0	9
2026.01.02	15:00:00	183.987	184.008	183.834	183.923	4296	0	9
2026.01.02	16:00:00	183.923	184.002	183.809	183.955	4932	0	9
2026.01.02	17:00:00	183.971	184.042	183.814	183.993	5987	0	9
2026.01.02	18:00:00	183.993	184.047	183.915	183.957	5224	0	9
2026.01.02	19:00:00	183.953	183.964	183.861	183.903	3914	0	20
2026.01.02	20:00:00	183.902	183.955	183.834	183.864	3715	0	20
2026.01.02	21:00:00	183.862	183.902	183.823	183.870	3899	0	20
2026.01.02	22:00:00	183.870	183.895	183.783	183.807	4067	0	20
2026.01.02	23:00:00	183.809	183.850	183.689	183.689	2129	0	20
2026.01.05	00:00:00	183.634	183.806	183.580	183.606	1464	0	80
2026.01.05	01:00:00	183.637	183.778	183.497	183.754	3264	0	22
2026.01.05	02:00:00	183.758	184.063	183.698	183.925	4954	0	22
2026.01.05	03:00:00	183.921	183.942	183.674	183.712	5148	0	22
2026.01.05	04:00:00	183.711	183.778	183.584	183.683	4240	0	22
2026.01.05	05:00:00	183.682	183.726	183.465	183.558	3777	0	22
2026.01.05	06:00:00	183.560	183.738	183.560	183.727	3301	0	22
2026.01.05	07:00:00	183.727	183.739	183.571	183.659	3469	0	22
2026.01.05	08:00:00	183.659	183.710	183.519	183.571	4036	0	15
2026.01.05	09:00:00	183.569	183.603	183.439	183.452	4394	0	10
2026.01.05	10:00:00	183.454	183.500	183.180	183.224	5685	0	10
2026.01.05	11:00:00	183.222	183.346	183.135	183.320	4756	0	10
2026.01.05	12:00:00	183.319	183.348	182.986	183.058	4656	0	10
2026.01.05	13:00:00	183.073	183.073	182.900	182.962	4580	0	10
2026.01.05	14:00:00	182.962	182.962	182.802	182.823	4353	0	9
2026.01.05	15:00:00	182.828	183.120	182.823	183.076	5708	0	9
2026.01.05	16:00:00	183.077	183.200	182.975	183.160	5949	0	9
2026.01.05	17:00:00	183.134	183.321	183.014	183.260	6450	0	9
2026.01.05	18:00:00	183.257	183.281	183.103	183.134	5638	0	9
2026.01.05	19:00:00	183.136	183.179	183.062	183.132	4126	0	9
2026.01.05	20:00:00	183.131	183.232	183.083	183.130	3251	0	20
2026.01.05	21:00:00	183.127	183.234	183.037	183.202	3851	0	20
2026.01.05	22:00:00	183.197	183.307	183.146	183.300	3101	0	20
2026.01.05	23:00:00	183.300	183.349	183.222	183.222	1778	0	18
2026.01.06	00:00:00	183.106	183.398	183.012	183.393	836	0	80
2026.01.06	01:00:00	183.422	183.497	183.378	183.466	2224	0	22
2026.01.06	02:00:00	183.467	183.647	183.378	183.398	4229	0	22
2026.01.06	03:00:00	183.399	183.546	183.384	183.444	4082	0	22
2026.01.06	04:00:00	183.443	183.477	183.347	183.468	3713	0	22
2026.01.06	05:00:00	183.465	183.559	183.422	183.466	3125	0	22
2026.01.06	06:00:00	183.467	183.532	183.323	183.477	2994	0	22
2026.01.06	07:00:00	183.478	183.519	183.418	183.471	3274	0	22
2026.01.06	08:00:00	183.472	183.603	183.468	183.521	3574	0	15
2026.01.06	09:00:00	183.522	183.533	183.321	183.355	4526	0	10
2026.01.06	10:00:00	183.354	183.439	183.232	183.329	5251	0	10
2026.01.06	11:00:00	183.328	183.354	183.046	183.161	4722	0	10
