<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	210.926	211.196	210.926	211.111	343	0	125
2025.12.29	00:15:00	211.111	211.277	210.945	211.269	590	0	236
2025.12.29	00:30:00	211.269	211.271	211.161	211.188	586	0	236
2025.12.29	00:45:00	211.188	211.231	210.983	211.164	840	0	236
2025.12.29	01:00:00	211.152	211.209	211.029	211.168	1107	0	20
2025.12.29	01:15:00	211.167	211.199	211.087	211.094	1272	0	20
2025.12.29	01:30:00	211.093	211.264	211.082	211.208	707	0	20
2025.12.29	01:45:00	211.208	211.242	211.146	211.192	727	0	20
2025.12.29	02:00:00	211.193	211.195	210.705	210.800	1590	0	20
2025.12.29	02:15:00	210.801	210.957	210.779	210.867	1305	0	20
2025.12.29	02:30:00	210.865	210.892	210.781	210.796	1332	0	20
2025.12.29	02:45:00	210.796	211.124	210.765	211.079	1503	0	20
2025.12.29	03:00:00	211.081	211.195	211.069	211.087	1541	0	20
2025.12.29	03:15:00	211.088	211.143	211.020	211.050	1236	0	20
2025.12.29	03:30:00	211.051	211.134	210.982	211.105	1277	0	20
2025.12.29	03:45:00	211.117	211.167	211.074	211.162	1167	0	20
2025.12.29	04:00:00	211.163	211.311	211.151	211.272	1206	0	20
2025.12.29	04:15:00	211.270	211.341	211.210	211.261	1074	0	20
2025.12.29	04:30:00	211.261	211.304	211.196	211.208	968	0	20
2025.12.29	04:45:00	211.208	211.323	211.205	211.298	1036	0	20
2025.12.29	05:00:00	211.289	211.295	211.188	211.197	816	0	20
2025.12.29	05:15:00	211.199	211.246	211.150	211.183	938	0	20
2025.12.29	05:30:00	211.186	211.253	211.160	211.253	978	0	20
2025.12.29	05:45:00	211.254	211.255	211.168	211.204	839	0	20
2025.12.29	06:00:00	211.202	211.265	211.139	211.151	991	0	20
2025.12.29	06:15:00	211.148	211.181	211.015	211.035	812	0	20
2025.12.29	06:30:00	211.022	211.063	210.979	211.031	942	0	20
2025.12.29	06:45:00	211.031	211.035	210.951	210.999	916	0	20
2025.12.29	07:00:00	210.999	211.018	210.821	210.866	1115	0	20
2025.12.29	07:15:00	210.865	210.896	210.801	210.870	837	0	20
2025.12.29	07:30:00	210.873	210.926	210.828	210.839	1014	0	20
2025.12.29	07:45:00	210.835	210.898	210.813	210.879	994	0	20
2025.12.29	08:00:00	210.880	210.900	210.799	210.843	1176	0	20
2025.12.29	08:15:00	210.844	210.849	210.743	210.790	1087	0	20
2025.12.29	08:30:00	210.790	210.877	210.786	210.852	1251	0	16
2025.12.29	08:45:00	210.853	210.888	210.726	210.783	1240	0	16
2025.12.29	09:00:00	210.783	210.802	210.608	210.733	1509	0	16
2025.12.29	09:15:00	210.734	210.808	210.608	210.620	1416	0	16
2025.12.29	09:30:00	210.622	210.650	210.523	210.585	1317	0	11
2025.12.29	09:45:00	210.581	210.620	210.457	210.484	1400	0	11
2025.12.29	10:00:00	210.484	210.683	210.426	210.667	1475	0	11
2025.12.29	10:15:00	210.651	210.786	210.651	210.728	1274	0	11
2025.12.29	10:30:00	210.727	210.815	210.707	210.744	1376	0	11
2025.12.29	10:45:00	210.742	210.874	210.643	210.739	1435	0	11
2025.12.29	11:00:00	210.737	210.798	210.665	210.757	1569	0	11
2025.12.29	11:15:00	210.756	210.869	210.706	210.803	1223	0	11
2025.12.29	11:30:00	210.801	210.925	210.695	210.769	1528	0	11
2025.12.29	11:45:00	210.760	210.902	210.726	210.877	1297	0	11
2025.12.29	12:00:00	210.876	210.964	210.849	210.961	1277	0	11
2025.12.29	12:15:00	210.962	211.091	210.938	210.998	1113	0	11
2025.12.29	12:30:00	210.997	211.057	210.919	211.018	1169	0	11
2025.12.29	12:45:00	211.014	211.107	210.979	211.015	1180	0	11
2025.12.29	13:00:00	211.011	211.042	210.906	210.927	1328	0	11
2025.12.29	13:15:00	210.926	210.974	210.899	210.938	968	0	11
2025.12.29	13:30:00	210.940	211.170	210.934	211.152	1165	0	11
2025.12.29	13:45:00	211.153	211.164	210.959	210.976	1102	0	11
2025.12.29	14:00:00	210.976	210.992	210.757	210.760	1334	0	11
2025.12.29	14:15:00	210.775	210.779	210.606	210.617	1172	0	11
2025.12.29	14:30:00	210.634	210.771	210.597	210.735	1256	0	11
2025.12.29	14:45:00	210.733	210.836	210.695	210.766	1298	0	11
2025.12.29	15:00:00	210.763	210.787	210.707	210.741	1549	0	11
2025.12.29	15:15:00	210.760	210.858	210.740	210.788	1401	0	11
2025.12.29	15:30:00	210.777	210.828	210.678	210.783	1409	0	11
2025.12.29	15:45:00	210.788	210.852	210.716	210.802	1503	0	11
2025.12.29	16:00:00	210.802	210.824	210.569	210.805	1668	0	11
2025.12.29	16:15:00	210.799	210.820	210.651	210.745	1277	0	11
2025.12.29	16:30:00	210.744	210.814	210.630	210.719	1870	0	11
2025.12.29	16:45:00	210.718	210.867	210.677	210.797	1734	0	11
2025.12.29	17:00:00	210.798	210.887	210.667	210.703	1836	0	11
2025.12.29	17:15:00	210.702	210.759	210.645	210.740	1682	0	11
2025.12.29	17:30:00	210.738	210.835	210.687	210.722	1750	0	11
2025.12.29	17:45:00	210.725	210.847	210.467	210.524	2167	0	11
2025.12.29	18:00:00	210.521	210.597	210.467	210.540	1723	0	11
2025.12.29	18:15:00	210.542	210.594	210.453	210.535	1485	0	11
2025.12.29	18:30:00	210.533	210.556	210.456	210.553	1498	0	11
2025.12.29	18:45:00	210.553	210.687	210.542	210.651	1449	0	11
2025.12.29	19:00:00	210.645	210.663	210.537	210.548	1363	0	20
2025.12.29	19:15:00	210.551	210.659	210.543	210.579	1340	0	20
2025.12.29	19:30:00	210.564	210.619	210.548	210.569	995	0	20
2025.12.29	19:45:00	210.570	210.644	210.541	210.606	1100	0	20
2025.12.29	20:00:00	210.608	210.680	210.602	210.677	1023	0	20
