<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	0.58218	0.58292	0.58204	0.58263	375	0	19
2025.12.29	01:00:00	0.58257	0.58298	0.58230	0.58257	635	0	9
2025.12.29	02:00:00	0.58255	0.58327	0.58251	0.58265	905	0	5
2025.12.29	03:00:00	0.58267	0.58312	0.58254	0.58289	1022	0	9
2025.12.29	04:00:00	0.58286	0.58332	0.58252	0.58310	837	0	5
2025.12.29	05:00:00	0.58305	0.58326	0.58277	0.58297	554	0	4
2025.12.29	06:00:00	0.58296	0.58313	0.58247	0.58249	438	0	5
2025.12.29	07:00:00	0.58247	0.58250	0.58190	0.58191	668	0	4
2025.12.29	08:00:00	0.58191	0.58215	0.58162	0.58190	809	0	5
2025.12.29	09:00:00	0.58193	0.58247	0.58153	0.58182	1040	0	4
2025.12.29	10:00:00	0.58182	0.58182	0.58075	0.58133	1226	0	9
2025.12.29	11:00:00	0.58131	0.58141	0.58027	0.58072	1177	0	2
2025.12.29	12:00:00	0.58070	0.58106	0.58041	0.58044	878	0	9
2025.12.29	13:00:00	0.58041	0.58045	0.57985	0.57994	865	0	3
2025.12.29	14:00:00	0.57994	0.57994	0.57896	0.57955	939	0	2
2025.12.29	15:00:00	0.57955	0.57997	0.57929	0.57979	1211	0	9
2025.12.29	16:00:00	0.57977	0.58084	0.57925	0.58047	1684	0	8
2025.12.29	17:00:00	0.58046	0.58094	0.57948	0.58094	1900	0	8
2025.12.29	18:00:00	0.58094	0.58103	0.58023	0.58050	1527	0	9
2025.12.29	19:00:00	0.58050	0.58058	0.58013	0.58025	1005	0	11
2025.12.29	20:00:00	0.58024	0.58060	0.57989	0.57990	645	0	3
2025.12.29	21:00:00	0.57990	0.58068	0.57980	0.58059	568	0	2
2025.12.29	22:00:00	0.58058	0.58068	0.58020	0.58039	636	0	3
2025.12.29	23:00:00	0.58036	0.58071	0.58025	0.58025	393	0	9
2025.12.30	00:00:00	0.57999	0.58071	0.57879	0.58016	748	0	20
2025.12.30	01:00:00	0.58018	0.58076	0.58014	0.58075	417	0	9
2025.12.30	02:00:00	0.58074	0.58094	0.58037	0.58055	500	0	5
2025.12.30	03:00:00	0.58054	0.58090	0.58019	0.58085	821	0	9
2025.12.30	04:00:00	0.58088	0.58112	0.58027	0.58082	773	0	6
2025.12.30	05:00:00	0.58082	0.58107	0.58045	0.58071	553	0	5
2025.12.30	06:00:00	0.58073	0.58136	0.58073	0.58129	476	0	4
2025.12.30	07:00:00	0.58130	0.58177	0.58117	0.58162	725	0	2
2025.12.30	08:00:00	0.58161	0.58191	0.58144	0.58173	729	0	3
2025.12.30	09:00:00	0.58170	0.58176	0.58112	0.58132	789	0	3
2025.12.30	10:00:00	0.58133	0.58152	0.58082	0.58091	946	0	4
2025.12.30	11:00:00	0.58092	0.58147	0.58063	0.58065	733	0	2
2025.12.30	12:00:00	0.58065	0.58115	0.58064	0.58080	598	0	1
2025.12.30	13:00:00	0.58080	0.58086	0.57988	0.58000	604	0	2
2025.12.30	14:00:00	0.58001	0.58005	0.57964	0.57977	694	0	2
2025.12.30	15:00:00	0.57977	0.58006	0.57937	0.57968	1199	0	9
2025.12.30	16:00:00	0.57969	0.58023	0.57959	0.58020	1258	0	4
2025.12.30	17:00:00	0.58020	0.58044	0.57897	0.58044	1609	0	9
2025.12.30	18:00:00	0.58044	0.58061	0.57999	0.58021	1308	0	9
2025.12.30	19:00:00	0.58022	0.58035	0.57992	0.58023	773	0	3
2025.12.30	20:00:00	0.58025	0.58047	0.57942	0.57942	522	0	1
2025.12.30	21:00:00	0.57943	0.57971	0.57894	0.57912	557	0	1
2025.12.30	22:00:00	0.57914	0.57942	0.57884	0.57887	490	0	1
2025.12.30	23:00:00	0.57889	0.57926	0.57888	0.57917	337	0	8
2025.12.31	00:00:00	0.57903	0.57916	0.57878	0.57890	274	0	15
2025.12.31	01:00:00	0.57886	0.57923	0.57877	0.57901	371	0	9
2025.12.31	02:00:00	0.57901	0.57919	0.57851	0.57875	483	0	4
2025.12.31	03:00:00	0.57875	0.57909	0.57805	0.57805	981	0	6
2025.12.31	04:00:00	0.57801	0.57831	0.57758	0.57817	902	0	5
2025.12.31	05:00:00	0.57813	0.57835	0.57785	0.57797	584	0	5
2025.12.31	06:00:00	0.57796	0.57810	0.57766	0.57770	490	0	4
2025.12.31	07:00:00	0.57768	0.57795	0.57699	0.57720	764	0	4
2025.12.31	08:00:00	0.57721	0.57722	0.57671	0.57699	655	0	4
2025.12.31	09:00:00	0.57696	0.57722	0.57635	0.57722	765	0	11
2025.12.31	10:00:00	0.57721	0.57739	0.57642	0.57652	853	0	3
2025.12.31	11:00:00	0.57650	0.57685	0.57644	0.57655	764	0	2
2025.12.31	12:00:00	0.57656	0.57681	0.57597	0.57621	725	0	3
2025.12.31	13:00:00	0.57620	0.57693	0.57616	0.57683	675	0	3
2025.12.31	14:00:00	0.57682	0.57731	0.57679	0.57699	802	0	3
2025.12.31	15:00:00	0.57700	0.57702	0.57596	0.57680	1227	0	2
2025.12.31	16:00:00	0.57680	0.57683	0.57579	0.57583	1385	0	8
2025.12.31	17:00:00	0.57584	0.57584	0.57397	0.57494	1677	0	8
2025.12.31	18:00:00	0.57498	0.57546	0.57482	0.57532	1426	0	9
2025.12.31	19:00:00	0.57534	0.57563	0.57516	0.57542	965	0	4
2025.12.31	20:00:00	0.57545	0.57556	0.57509	0.57525	690	0	3
2025.12.31	21:00:00	0.57526	0.57543	0.57502	0.57518	654	0	3
2025.12.31	22:00:00	0.57518	0.57571	0.57507	0.57556	640	0	3
2025.12.31	23:00:00	0.57559	0.57581	0.57522	0.57545	437	0	7
2026.01.02	00:00:00	0.57582	0.57595	0.57533	0.57533	138	0	36
2026.01.02	01:00:00	0.57533	0.57592	0.57519	0.57570	493	0	9
2026.01.02	02:00:00	0.57571	0.57636	0.57510	0.57621	627	0	6
2026.01.02	03:00:00	0.57620	0.57699	0.57620	0.57667	962	0	10
2026.01.02	04:00:00	0.57666	0.57702	0.57643	0.57664	785	0	5
2026.01.02	05:00:00	0.57664	0.57686	0.57628	0.57680	631	0	5
2026.01.02	06:00:00	0.57681	0.57689	0.57599	0.57599	580	0	4
2026.01.02	07:00:00	0.57599	0.57620	0.57571	0.57586	467	0	3
2026.01.02	08:00:00	0.57584	0.57594	0.57554	0.57557	541	0	3
2026.01.02	09:00:00	0.57555	0.57646	0.57554	0.57635	927	0	2
2026.01.02	10:00:00	0.57636	0.57709	0.57613	0.57687	1251	0	9
2026.01.02	11:00:00	0.57686	0.57719	0.57662	0.57690	947	0	4
2026.01.02	12:00:00	0.57691	0.57735	0.57680	0.57719	811	0	3
2026.01.02	13:00:00	0.57719	0.57725	0.57672	0.57690	688	0	3
2026.01.02	14:00:00	0.57688	0.57721	0.57665	0.57685	701	0	3
2026.01.02	15:00:00	0.57687	0.57704	0.57640	0.57652	1024	0	9
2026.01.02	16:00:00	0.57654	0.57739	0.57647	0.57733	1391	0	9
2026.01.02	17:00:00	0.57734	0.57775	0.57686	0.57714	1927	0	9
2026.01.02	18:00:00	0.57711	0.57714	0.57634	0.57650	1674	0	9
2026.01.02	19:00:00	0.57649	0.57702	0.57635	0.57667	1142	0	9
2026.01.02	20:00:00	0.57670	0.57672	0.57585	0.57613	798	0	4
2026.01.02	21:00:00	0.57612	0.57667	0.57609	0.57662	773	0	9
2026.01.02	22:00:00	0.57663	0.57674	0.57640	0.57671	572	0	2
2026.01.02	23:00:00	0.57671	0.57704	0.57657	0.57672	415	0	8
2026.01.05	00:00:00	0.57496	0.57644	0.57496	0.57579	481	0	22
2026.01.05	01:00:00	0.57586	0.57689	0.57513	0.57544	876	0	9
2026.01.05	02:00:00	0.57543	0.57629	0.57520	0.57542	1126	0	7
2026.01.05	03:00:00	0.57540	0.57613	0.57484	0.57562	1557	0	9
2026.01.05	04:00:00	0.57562	0.57624	0.57530	0.57595	1213	0	6
