<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.20	00:00:00	0.58287	0.58287	0.58255	0.58255	2	0	79
2026.07.20	00:01:00	0.58255	0.58260	0.58255	0.58260	4	0	35
2026.07.20	00:02:00	0.58284	0.58285	0.58284	0.58285	2	0	10
2026.07.20	00:03:00	0.58285	0.58292	0.58285	0.58292	2	0	3
2026.07.20	00:04:00	0.58292	0.58293	0.58290	0.58293	3	0	0
2026.07.20	00:05:00	0.58293	0.58293	0.58291	0.58292	4	0	1
2026.07.20	00:06:00	0.58292	0.58292	0.58292	0.58292	1	0	6
2026.07.20	00:07:00	0.58292	0.58292	0.58255	0.58255	9	0	0
2026.07.20	00:08:00	0.58255	0.58259	0.58253	0.58253	3	0	12
2026.07.20	00:09:00	0.58253	0.58292	0.58253	0.58253	10	0	0
2026.07.20	00:10:00	0.58263	0.58267	0.58263	0.58266	43	0	11
2026.07.20	00:11:00	0.58266	0.58266	0.58265	0.58266	5	0	12
2026.07.20	00:12:00	0.58266	0.58266	0.58265	0.58265	8	0	12
2026.07.20	00:13:00	0.58265	0.58273	0.58260	0.58264	13	0	11
2026.07.20	00:14:00	0.58264	0.58312	0.58259	0.58308	22	0	6
2026.07.20	00:15:00	0.58308	0.58353	0.58308	0.58347	9	0	11
2026.07.20	00:16:00	0.58347	0.58347	0.58322	0.58324	24	0	11
2026.07.20	00:17:00	0.58324	0.58324	0.58320	0.58320	2	0	10
2026.07.20	00:18:00	0.58320	0.58321	0.58284	0.58321	3	0	7
2026.07.20	00:19:00	0.58321	0.58321	0.58321	0.58321	1	0	7
2026.07.20	00:20:00	0.58321	0.58321	0.58321	0.58321	1	0	7
2026.07.20	00:21:00	0.58321	0.58321	0.58321	0.58321	1	0	7
2026.07.20	00:22:00	0.58321	0.58321	0.58321	0.58321	1	0	7
2026.07.20	00:23:00	0.58321	0.58328	0.58321	0.58322	3	0	0
2026.07.20	00:24:00	0.58322	0.58322	0.58322	0.58322	1	0	6
2026.07.20	00:25:00	0.58322	0.58322	0.58322	0.58322	1	0	6
2026.07.20	00:26:00	0.58322	0.58328	0.58322	0.58328	2	0	0
2026.07.20	00:27:00	0.58328	0.58328	0.58328	0.58328	1	0	0
2026.07.20	00:28:00	0.58328	0.58328	0.58328	0.58328	1	0	0
2026.07.20	00:29:00	0.58328	0.58328	0.58328	0.58328	1	0	0
2026.07.20	00:30:00	0.58328	0.58328	0.58318	0.58319	6	0	0
2026.07.20	00:31:00	0.58319	0.58328	0.58318	0.58318	3	0	0
2026.07.20	00:32:00	0.58318	0.58318	0.58318	0.58318	1	0	12
2026.07.20	00:33:00	0.58318	0.58318	0.58318	0.58318	1	0	12
2026.07.20	00:34:00	0.58318	0.58318	0.58318	0.58318	1	0	12
2026.07.20	00:35:00	0.58318	0.58328	0.58318	0.58319	3	0	7
2026.07.20	00:36:00	0.58319	0.58328	0.58318	0.58318	3	0	2
2026.07.20	00:37:00	0.58318	0.58318	0.58318	0.58318	1	0	12
2026.07.20	00:38:00	0.58320	0.58320	0.58320	0.58320	1	0	10
2026.07.20	00:39:00	0.58320	0.58321	0.58316	0.58321	3	0	4
2026.07.20	00:40:00	0.58321	0.58321	0.58321	0.58321	1	0	4
2026.07.20	00:41:00	0.58321	0.58323	0.58314	0.58322	7	0	4
2026.07.20	00:42:00	0.58322	0.58326	0.58313	0.58313	5	0	2
2026.07.20	00:43:00	0.58313	0.58313	0.58311	0.58311	2	0	12
2026.07.20	00:44:00	0.58311	0.58311	0.58311	0.58311	1	0	12
2026.07.20	00:45:00	0.58311	0.58314	0.58310	0.58312	6	0	11
2026.07.20	00:46:00	0.58312	0.58312	0.58307	0.58307	2	0	11
2026.07.20	00:47:00	0.58307	0.58308	0.58307	0.58308	2	0	12
2026.07.20	00:48:00	0.58308	0.58308	0.58282	0.58302	11	0	11
2026.07.20	00:49:00	0.58302	0.58302	0.58301	0.58301	2	0	11
2026.07.20	00:50:00	0.58301	0.58302	0.58295	0.58295	7	0	11
2026.07.20	00:51:00	0.58295	0.58295	0.58292	0.58292	3	0	11
2026.07.20	00:52:00	0.58292	0.58300	0.58290	0.58292	4	0	11
2026.07.20	00:53:00	0.58292	0.58301	0.58292	0.58294	5	0	11
2026.07.20	00:54:00	0.58294	0.58305	0.58294	0.58305	5	0	11
2026.07.20	00:55:00	0.58305	0.58306	0.58292	0.58294	5	0	11
2026.07.20	00:56:00	0.58294	0.58294	0.58294	0.58294	1	0	12
2026.07.20	00:57:00	0.58294	0.58294	0.58278	0.58278	11	0	11
2026.07.20	00:58:00	0.58278	0.58281	0.58278	0.58280	4	0	11
2026.07.20	00:59:00	0.58280	0.58286	0.58280	0.58280	7	0	11
2026.07.20	01:00:00	0.58280	0.58336	0.58280	0.58328	294	0	0
2026.07.20	01:01:00	0.58328	0.58332	0.58320	0.58325	55	0	0
2026.07.20	01:02:00	0.58325	0.58346	0.58321	0.58321	123	0	0
2026.07.20	01:03:00	0.58321	0.58334	0.58318	0.58321	85	0	0
2026.07.20	01:04:00	0.58321	0.58330	0.58320	0.58322	66	0	0
2026.07.20	01:05:00	0.58322	0.58335	0.58322	0.58327	66	0	0
2026.07.20	01:06:00	0.58327	0.58336	0.58327	0.58331	73	0	0
2026.07.20	01:07:00	0.58331	0.58339	0.58329	0.58337	64	0	0
2026.07.20	01:08:00	0.58338	0.58340	0.58331	0.58336	96	0	0
2026.07.20	01:09:00	0.58336	0.58349	0.58336	0.58348	61	0	0
2026.07.20	01:10:00	0.58348	0.58350	0.58333	0.58343	144	0	0
2026.07.20	01:11:00	0.58343	0.58347	0.58330	0.58336	156	0	0
2026.07.20	01:12:00	0.58337	0.58350	0.58334	0.58350	204	0	0
2026.07.20	01:13:00	0.58350	0.58360	0.58350	0.58351	127	0	0
2026.07.20	01:14:00	0.58352	0.58355	0.58348	0.58350	109	0	0
2026.07.20	01:15:00	0.58350	0.58361	0.58349	0.58355	153	0	0
2026.07.20	01:16:00	0.58355	0.58372	0.58354	0.58363	117	0	0
2026.07.20	01:17:00	0.58363	0.58364	0.58338	0.58341	191	0	0
2026.07.20	01:18:00	0.58341	0.58341	0.58319	0.58331	196	0	0
2026.07.20	01:19:00	0.58331	0.58349	0.58328	0.58344	218	0	0
2026.07.20	01:20:00	0.58343	0.58363	0.58340	0.58358	160	0	0
2026.07.20	01:21:00	0.58358	0.58364	0.58340	0.58344	158	0	0
2026.07.20	01:22:00	0.58344	0.58351	0.58337	0.58343	132	0	0
2026.07.20	01:23:00	0.58343	0.58355	0.58341	0.58353	116	0	0
2026.07.20	01:24:00	0.58353	0.58353	0.58342	0.58343	153	0	0
2026.07.20	01:25:00	0.58343	0.58347	0.58336	0.58340	122	0	0
2026.07.20	01:26:00	0.58341	0.58345	0.58336	0.58339	132	0	0
2026.07.20	01:27:00	0.58340	0.58350	0.58338	0.58348	119	0	0
2026.07.20	01:28:00	0.58347	0.58355	0.58346	0.58354	91	0	0
2026.07.20	01:29:00	0.58354	0.58361	0.58349	0.58350	153	0	0
2026.07.20	01:30:00	0.58350	0.58353	0.58336	0.58346	244	0	0
2026.07.20	01:31:00	0.58345	0.58358	0.58333	0.58339	175	0	0
2026.07.20	01:32:00	0.58338	0.58349	0.58337	0.58340	148	0	0
2026.07.20	01:33:00	0.58340	0.58350	0.58340	0.58348	141	0	0
2026.07.20	01:34:00	0.58348	0.58357	0.58328	0.58330	133	0	0
2026.07.20	01:35:00	0.58330	0.58343	0.58325	0.58339	194	0	0
2026.07.20	01:36:00	0.58339	0.58352	0.58339	0.58346	76	0	0
2026.07.20	01:37:00	0.58346	0.58351	0.58345	0.58349	66	0	0
2026.07.20	01:38:00	0.58349	0.58349	0.58340	0.58344	73	0	0
2026.07.20	01:39:00	0.58344	0.58353	0.58344	0.58349	61	0	0
2026.07.20	01:40:00	0.58349	0.58351	0.58345	0.58348	42	0	0
2026.07.20	01:41:00	0.58348	0.58359	0.58348	0.58358	120	0	0
2026.07.20	01:42:00	0.58358	0.58360	0.58355	0.58356	76	0	0
2026.07.20	01:43:00	0.58356	0.58360	0.58354	0.58356	56	0	0
2026.07.20	01:44:00	0.58356	0.58358	0.58345	0.58345	117	0	0
