<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	1.36491	1.36737	1.36491	1.36714	329	0	41
2025.12.29	01:00:00	1.36669	1.36699	1.36586	1.36688	520	0	3
2025.12.29	02:00:00	1.36685	1.36736	1.36661	1.36679	823	0	3
2025.12.29	03:00:00	1.36677	1.36694	1.36620	1.36621	741	0	3
2025.12.29	04:00:00	1.36623	1.36681	1.36599	1.36637	752	0	3
2025.12.29	05:00:00	1.36641	1.36646	1.36575	1.36603	609	0	3
2025.12.29	06:00:00	1.36604	1.36670	1.36602	1.36667	410	0	3
2025.12.29	07:00:00	1.36670	1.36739	1.36669	1.36738	498	0	0
2025.12.29	08:00:00	1.36739	1.36820	1.36715	1.36799	746	0	1
2025.12.29	09:00:00	1.36791	1.36876	1.36766	1.36870	1166	0	3
2025.12.29	10:00:00	1.36876	1.36967	1.36797	1.36839	1251	0	1
2025.12.29	11:00:00	1.36835	1.36901	1.36766	1.36874	1218	0	3
2025.12.29	12:00:00	1.36876	1.36899	1.36804	1.36899	1123	0	3
2025.12.29	13:00:00	1.36901	1.36951	1.36896	1.36946	920	0	0
2025.12.29	14:00:00	1.36946	1.37011	1.36929	1.36953	1071	0	3
2025.12.29	15:00:00	1.36954	1.36965	1.36804	1.36871	1610	0	3
2025.12.29	16:00:00	1.36877	1.36973	1.36631	1.36779	2297	0	3
2025.12.29	17:00:00	1.36786	1.36982	1.36697	1.36697	2453	0	3
2025.12.29	18:00:00	1.36698	1.36841	1.36652	1.36821	1869	0	3
2025.12.29	19:00:00	1.36822	1.36940	1.36812	1.36907	1320	0	2
2025.12.29	20:00:00	1.36906	1.36948	1.36887	1.36905	1194	0	3
2025.12.29	21:00:00	1.36906	1.36922	1.36825	1.36835	1041	0	3
2025.12.29	22:00:00	1.36836	1.36978	1.36826	1.36964	994	0	3
2025.12.29	23:00:00	1.36962	1.36985	1.36853	1.36876	729	0	3
2025.12.30	00:00:00	1.36872	1.36897	1.36855	1.36878	240	0	21
2025.12.30	01:00:00	1.36841	1.36904	1.36837	1.36878	503	0	3
2025.12.30	02:00:00	1.36878	1.36953	1.36878	1.36913	599	0	3
2025.12.30	03:00:00	1.36916	1.36927	1.36844	1.36846	771	0	3
2025.12.30	04:00:00	1.36842	1.36903	1.36833	1.36876	683	0	3
2025.12.30	05:00:00	1.36876	1.36897	1.36849	1.36878	544	0	3
2025.12.30	06:00:00	1.36877	1.36889	1.36843	1.36856	460	0	3
2025.12.30	07:00:00	1.36856	1.36872	1.36829	1.36864	527	0	0
2025.12.30	08:00:00	1.36864	1.36875	1.36827	1.36842	580	0	0
2025.12.30	09:00:00	1.36843	1.36875	1.36833	1.36833	667	0	1
2025.12.30	10:00:00	1.36831	1.36917	1.36813	1.36870	1026	0	1
2025.12.30	11:00:00	1.36870	1.36901	1.36789	1.36846	917	0	1
2025.12.30	12:00:00	1.36846	1.36881	1.36825	1.36871	745	0	1
2025.12.30	13:00:00	1.36870	1.36993	1.36869	1.36986	698	0	1
2025.12.30	14:00:00	1.36987	1.37082	1.36979	1.37045	1041	0	0
2025.12.30	15:00:00	1.37046	1.37049	1.36926	1.37040	1799	0	3
2025.12.30	16:00:00	1.37040	1.37066	1.36969	1.37012	1887	0	3
2025.12.30	17:00:00	1.37012	1.37087	1.36814	1.36830	1987	0	3
2025.12.30	18:00:00	1.36832	1.36876	1.36803	1.36806	1753	0	3
2025.12.30	19:00:00	1.36805	1.36879	1.36796	1.36861	1242	0	0
2025.12.30	20:00:00	1.36859	1.36929	1.36830	1.36881	1011	0	3
2025.12.30	21:00:00	1.36856	1.36984	1.36847	1.36963	1051	0	3
2025.12.30	22:00:00	1.36962	1.36992	1.36915	1.36987	1080	0	3
2025.12.30	23:00:00	1.36981	1.36993	1.36941	1.36956	668	0	3
2025.12.31	00:00:00	1.36924	1.36961	1.36905	1.36961	177	0	24
2025.12.31	01:00:00	1.36954	1.36978	1.36886	1.36956	315	0	3
2025.12.31	02:00:00	1.36956	1.36991	1.36932	1.36959	446	0	3
2025.12.31	03:00:00	1.36958	1.36983	1.36923	1.36961	862	0	3
2025.12.31	04:00:00	1.36961	1.37012	1.36957	1.36978	762	0	3
2025.12.31	05:00:00	1.36979	1.37002	1.36955	1.36968	510	0	3
2025.12.31	06:00:00	1.36968	1.36981	1.36953	1.36975	382	0	3
2025.12.31	07:00:00	1.36976	1.37043	1.36960	1.37016	619	0	1
2025.12.31	08:00:00	1.37015	1.37053	1.36999	1.37006	635	0	0
2025.12.31	09:00:00	1.37006	1.37099	1.37006	1.37040	760	0	3
2025.12.31	10:00:00	1.37039	1.37098	1.37017	1.37083	891	0	2
2025.12.31	11:00:00	1.37083	1.37085	1.36996	1.37029	890	0	1
2025.12.31	12:00:00	1.37029	1.37122	1.36992	1.37099	810	0	0
2025.12.31	13:00:00	1.37098	1.37105	1.37036	1.37047	732	0	1
2025.12.31	14:00:00	1.37048	1.37049	1.36937	1.36937	1000	0	3
2025.12.31	15:00:00	1.36937	1.37022	1.36882	1.36980	1583	0	2
2025.12.31	16:00:00	1.36980	1.37039	1.36928	1.36976	2003	0	3
2025.12.31	17:00:00	1.36974	1.37268	1.36974	1.37075	2467	0	2
2025.12.31	18:00:00	1.37074	1.37204	1.37055	1.37143	1945	0	1
2025.12.31	19:00:00	1.37140	1.37247	1.37129	1.37205	1428	0	3
2025.12.31	20:00:00	1.37206	1.37279	1.37193	1.37241	1387	0	3
2025.12.31	21:00:00	1.37240	1.37240	1.37156	1.37207	1377	0	3
2025.12.31	22:00:00	1.37206	1.37267	1.37146	1.37262	1244	0	3
2025.12.31	23:00:00	1.37256	1.37277	1.37186	1.37242	1302	0	3
2026.01.02	00:00:00	1.37214	1.37214	1.37174	1.37178	71	0	43
2026.01.02	01:00:00	1.37182	1.37224	1.37171	1.37176	432	0	3
2026.01.02	02:00:00	1.37176	1.37189	1.37112	1.37119	548	0	3
2026.01.02	03:00:00	1.37119	1.37119	1.37069	1.37085	685	0	3
2026.01.02	04:00:00	1.37085	1.37099	1.37046	1.37087	640	0	3
2026.01.02	05:00:00	1.37087	1.37101	1.37063	1.37089	632	0	3
2026.01.02	06:00:00	1.37089	1.37168	1.37084	1.37156	527	0	3
2026.01.02	07:00:00	1.37154	1.37177	1.37128	1.37164	508	0	1
2026.01.02	08:00:00	1.37166	1.37186	1.37145	1.37152	666	0	0
2026.01.02	09:00:00	1.37156	1.37158	1.37003	1.37020	981	0	2
2026.01.02	10:00:00	1.37020	1.37177	1.37015	1.37148	1249	0	3
2026.01.02	11:00:00	1.37150	1.37222	1.37133	1.37213	1047	0	2
2026.01.02	12:00:00	1.37208	1.37251	1.37198	1.37215	822	0	3
2026.01.02	13:00:00	1.37215	1.37296	1.37176	1.37265	771	0	2
2026.01.02	14:00:00	1.37264	1.37362	1.37225	1.37343	947	0	2
2026.01.02	15:00:00	1.37343	1.37414	1.37232	1.37396	1450	0	3
2026.01.02	16:00:00	1.37396	1.37472	1.37360	1.37423	1775	0	1
2026.01.02	17:00:00	1.37424	1.37432	1.37206	1.37241	2392	0	3
2026.01.02	18:00:00	1.37242	1.37407	1.37235	1.37388	2113	0	3
2026.01.02	19:00:00	1.37388	1.37419	1.37243	1.37403	1796	0	3
2026.01.02	20:00:00	1.37403	1.37476	1.37388	1.37447	1481	0	3
2026.01.02	21:00:00	1.37447	1.37452	1.37323	1.37334	1613	0	3
2026.01.02	22:00:00	1.37333	1.37374	1.37315	1.37329	1074	0	3
2026.01.02	23:00:00	1.37329	1.37355	1.37266	1.37278	957	0	3
2026.01.05	00:00:00	1.37256	1.37421	1.37255	1.37380	587	0	10
2026.01.05	01:00:00	1.37381	1.37477	1.37337	1.37475	683	0	3
2026.01.05	02:00:00	1.37473	1.37482	1.37411	1.37465	997	0	3
2026.01.05	03:00:00	1.37466	1.37484	1.37430	1.37468	1334	0	3
2026.01.05	04:00:00	1.37467	1.37540	1.37460	1.37501	1013	0	3
2026.01.05	05:00:00	1.37502	1.37687	1.37494	1.37682	989	0	3
2026.01.05	06:00:00	1.37686	1.37777	1.37663	1.37706	951	0	3
2026.01.05	07:00:00	1.37707	1.37730	1.37671	1.37686	837	0	1
2026.01.05	08:00:00	1.37686	1.37726	1.37651	1.37667	867	0	2
2026.01.05	09:00:00	1.37662	1.37814	1.37646	1.37782	1095	0	1
2026.01.05	10:00:00	1.37781	1.37841	1.37710	1.37832	1284	0	3
2026.01.05	11:00:00	1.37831	1.37885	1.37778	1.37780	1058	0	1
2026.01.05	12:00:00	1.37779	1.37780	1.37666	1.37676	1193	0	3
2026.01.05	13:00:00	1.37676	1.37695	1.37626	1.37671	1110	0	3
2026.01.05	14:00:00	1.37670	1.37838	1.37622	1.37827	1111	0	3
2026.01.05	15:00:00	1.37833	1.38152	1.37827	1.37990	2114	0	2
2026.01.05	16:00:00	1.37979	1.38000	1.37782	1.37837	2609	0	3
2026.01.05	17:00:00	1.37856	1.37868	1.37454	1.37485	2823	0	3
2026.01.05	18:00:00	1.37484	1.37585	1.37450	1.37579	2023	0	3
2026.01.05	19:00:00	1.37577	1.37648	1.37561	1.37615	1578	0	3
2026.01.05	20:00:00	1.37614	1.37641	1.37552	1.37610	1274	0	3
2026.01.05	21:00:00	1.37611	1.37627	1.37550	1.37566	1546	0	3
2026.01.05	22:00:00	1.37566	1.37668	1.37563	1.37626	1212	0	3
2026.01.05	23:00:00	1.37623	1.37729	1.37604	1.37723	865	0	3
2026.01.06	00:00:00	1.37676	1.37705	1.37609	1.37687	227	0	28
2026.01.06	01:00:00	1.37637	1.37737	1.37637	1.37735	543	0	3
2026.01.06	02:00:00	1.37735	1.37763	1.37720	1.37721	691	0	3
2026.01.06	03:00:00	1.37720	1.37747	1.37641	1.37643	999	0	3
2026.01.06	04:00:00	1.37642	1.37697	1.37616	1.37619	895	0	3
2026.01.06	05:00:00	1.37618	1.37663	1.37608	1.37662	634	0	3
2026.01.06	06:00:00	1.37662	1.37672	1.37606	1.37641	479	0	3
2026.01.06	07:00:00	1.37641	1.37668	1.37605	1.37640	695	0	0
2026.01.06	08:00:00	1.37639	1.37659	1.37556	1.37568	794	0	0
2026.01.06	09:00:00	1.37569	1.37661	1.37516	1.37631	1129	0	2
2026.01.06	10:00:00	1.37632	1.37655	1.37539	1.37621	1412	0	2
2026.01.06	11:00:00	1.37623	1.37696	1.37614	1.37684	1311	0	1
2026.01.06	12:00:00	1.37684	1.37715	1.37605	1.37627	972	0	3
2026.01.06	13:00:00	1.37627	1.37739	1.37627	1.37706	804	0	1
2026.01.06	14:00:00	1.37704	1.37852	1.37649	1.37811	919	0	1
2026.01.06	15:00:00	1.37809	1.37821	1.37709	1.37713	2037	0	2
2026.01.06	16:00:00	1.37713	1.37734	1.37568	1.37658	2531	0	3
