<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:00:00	1.36491	1.36596	1.36491	1.36568	85	0	157
2025.12.29	00:15:00	1.36585	1.36737	1.36553	1.36703	96	0	41
2025.12.29	00:30:00	1.36707	1.36732	1.36692	1.36725	82	0	49
2025.12.29	00:45:00	1.36724	1.36724	1.36698	1.36714	66	0	49
2025.12.29	01:00:00	1.36669	1.36688	1.36586	1.36659	162	0	6
2025.12.29	01:15:00	1.36659	1.36678	1.36634	1.36676	161	0	3
2025.12.29	01:30:00	1.36674	1.36692	1.36671	1.36688	96	0	3
2025.12.29	01:45:00	1.36683	1.36699	1.36665	1.36688	101	0	3
2025.12.29	02:00:00	1.36685	1.36736	1.36680	1.36721	172	0	3
2025.12.29	02:15:00	1.36721	1.36735	1.36696	1.36702	243	0	3
2025.12.29	02:30:00	1.36703	1.36716	1.36661	1.36682	174	0	3
2025.12.29	02:45:00	1.36681	1.36692	1.36661	1.36679	234	0	3
2025.12.29	03:00:00	1.36677	1.36694	1.36634	1.36644	241	0	3
2025.12.29	03:15:00	1.36646	1.36649	1.36624	1.36649	168	0	3
2025.12.29	03:30:00	1.36649	1.36672	1.36637	1.36659	190	0	3
2025.12.29	03:45:00	1.36659	1.36659	1.36620	1.36621	142	0	4
2025.12.29	04:00:00	1.36623	1.36647	1.36599	1.36647	194	0	3
2025.12.29	04:15:00	1.36648	1.36681	1.36642	1.36671	225	0	3
2025.12.29	04:30:00	1.36670	1.36671	1.36647	1.36664	176	0	3
2025.12.29	04:45:00	1.36664	1.36664	1.36628	1.36637	157	0	3
2025.12.29	05:00:00	1.36641	1.36646	1.36591	1.36606	162	0	3
2025.12.29	05:15:00	1.36606	1.36621	1.36600	1.36620	132	0	3
2025.12.29	05:30:00	1.36625	1.36630	1.36576	1.36579	192	0	3
2025.12.29	05:45:00	1.36583	1.36603	1.36575	1.36603	123	0	3
2025.12.29	06:00:00	1.36604	1.36641	1.36602	1.36623	145	0	3
2025.12.29	06:15:00	1.36622	1.36647	1.36618	1.36633	84	0	3
2025.12.29	06:30:00	1.36633	1.36669	1.36627	1.36663	91	0	3
2025.12.29	06:45:00	1.36667	1.36670	1.36656	1.36667	90	0	3
2025.12.29	07:00:00	1.36670	1.36705	1.36669	1.36698	119	0	2
2025.12.29	07:15:00	1.36698	1.36730	1.36694	1.36713	116	0	1
2025.12.29	07:30:00	1.36715	1.36718	1.36695	1.36699	148	0	0
2025.12.29	07:45:00	1.36699	1.36739	1.36696	1.36738	115	0	0
2025.12.29	08:00:00	1.36739	1.36750	1.36715	1.36750	186	0	1
2025.12.29	08:15:00	1.36750	1.36754	1.36735	1.36744	167	0	3
2025.12.29	08:30:00	1.36737	1.36793	1.36735	1.36786	173	0	1
2025.12.29	08:45:00	1.36787	1.36820	1.36784	1.36799	220	0	1
2025.12.29	09:00:00	1.36791	1.36840	1.36777	1.36810	390	0	3
2025.12.29	09:15:00	1.36811	1.36818	1.36766	1.36792	265	0	3
2025.12.29	09:30:00	1.36792	1.36828	1.36776	1.36819	253	0	3
2025.12.29	09:45:00	1.36818	1.36876	1.36815	1.36870	258	0	3
2025.12.29	10:00:00	1.36876	1.36967	1.36871	1.36956	383	0	2
2025.12.29	10:15:00	1.36956	1.36962	1.36828	1.36841	256	0	1
2025.12.29	10:30:00	1.36837	1.36893	1.36813	1.36870	282	0	3
2025.12.29	10:45:00	1.36867	1.36869	1.36797	1.36839	330	0	3
2025.12.29	11:00:00	1.36835	1.36901	1.36811	1.36811	372	0	3
2025.12.29	11:15:00	1.36811	1.36860	1.36803	1.36817	275	0	3
2025.12.29	11:30:00	1.36816	1.36817	1.36766	1.36784	325	0	3
2025.12.29	11:45:00	1.36787	1.36891	1.36787	1.36874	246	0	3
2025.12.29	12:00:00	1.36876	1.36880	1.36829	1.36829	269	0	3
2025.12.29	12:15:00	1.36824	1.36847	1.36804	1.36846	244	0	3
2025.12.29	12:30:00	1.36844	1.36864	1.36818	1.36856	280	0	3
2025.12.29	12:45:00	1.36856	1.36899	1.36824	1.36899	330	0	3
2025.12.29	13:00:00	1.36901	1.36951	1.36899	1.36934	252	0	3
2025.12.29	13:15:00	1.36936	1.36945	1.36900	1.36934	183	0	0
2025.12.29	13:30:00	1.36935	1.36942	1.36896	1.36896	228	0	3
2025.12.29	13:45:00	1.36900	1.36949	1.36896	1.36946	257	0	3
2025.12.29	14:00:00	1.36946	1.36957	1.36929	1.36942	286	0	3
2025.12.29	14:15:00	1.36942	1.37003	1.36933	1.36991	278	0	3
2025.12.29	14:30:00	1.36991	1.37011	1.36964	1.36986	245	0	3
2025.12.29	14:45:00	1.36985	1.37004	1.36953	1.36953	262	0	3
2025.12.29	15:00:00	1.36954	1.36965	1.36860	1.36870	450	0	3
2025.12.29	15:15:00	1.36869	1.36895	1.36843	1.36859	361	0	3
2025.12.29	15:30:00	1.36861	1.36869	1.36804	1.36846	401	0	3
2025.12.29	15:45:00	1.36849	1.36877	1.36826	1.36871	398	0	3
2025.12.29	16:00:00	1.36877	1.36973	1.36876	1.36891	490	0	3
2025.12.29	16:15:00	1.36896	1.36907	1.36789	1.36793	424	0	3
2025.12.29	16:30:00	1.36796	1.36802	1.36635	1.36635	738	0	3
2025.12.29	16:45:00	1.36637	1.36783	1.36631	1.36779	645	0	3
2025.12.29	17:00:00	1.36786	1.36897	1.36762	1.36888	629	0	3
2025.12.29	17:15:00	1.36889	1.36982	1.36877	1.36911	593	0	3
2025.12.29	17:30:00	1.36916	1.36955	1.36783	1.36795	549	0	3
2025.12.29	17:45:00	1.36795	1.36795	1.36697	1.36697	682	0	3
2025.12.29	18:00:00	1.36698	1.36744	1.36652	1.36688	554	0	3
2025.12.29	18:15:00	1.36689	1.36752	1.36687	1.36745	456	0	3
2025.12.29	18:30:00	1.36744	1.36816	1.36727	1.36802	429	0	3
2025.12.29	18:45:00	1.36802	1.36841	1.36793	1.36821	430	0	3
2025.12.29	19:00:00	1.36822	1.36886	1.36812	1.36859	426	0	3
2025.12.29	19:15:00	1.36861	1.36910	1.36850	1.36870	341	0	2
2025.12.29	19:30:00	1.36869	1.36917	1.36864	1.36915	263	0	3
2025.12.29	19:45:00	1.36912	1.36940	1.36895	1.36907	290	0	3
2025.12.29	20:00:00	1.36906	1.36948	1.36889	1.36929	312	0	3
2025.12.29	20:15:00	1.36929	1.36934	1.36891	1.36904	321	0	4
2025.12.29	20:30:00	1.36905	1.36927	1.36887	1.36910	313	0	3
2025.12.29	20:45:00	1.36909	1.36916	1.36888	1.36905	248	0	3
2025.12.29	21:00:00	1.36906	1.36910	1.36870	1.36881	247	0	3
2025.12.29	21:15:00	1.36882	1.36922	1.36882	1.36910	235	0	3
2025.12.29	21:30:00	1.36919	1.36920	1.36861	1.36884	258	0	3
2025.12.29	21:45:00	1.36884	1.36921	1.36825	1.36835	301	0	3
2025.12.29	22:00:00	1.36836	1.36871	1.36826	1.36858	238	0	3
2025.12.29	22:15:00	1.36861	1.36899	1.36837	1.36894	214	0	3
2025.12.29	22:30:00	1.36893	1.36935	1.36887	1.36931	221	0	3
2025.12.29	22:45:00	1.36928	1.36978	1.36922	1.36964	321	0	3
2025.12.29	23:00:00	1.36962	1.36985	1.36910	1.36910	204	0	3
2025.12.29	23:15:00	1.36910	1.36925	1.36874	1.36878	92	0	3
2025.12.29	23:30:00	1.36877	1.36940	1.36867	1.36933	126	0	3
2025.12.29	23:45:00	1.36934	1.36934	1.36853	1.36876	307	0	3
2025.12.30	00:00:00	1.36872	1.36897	1.36855	1.36874	36	0	43
2025.12.30	00:15:00	1.36873	1.36896	1.36858	1.36896	70	0	29
2025.12.30	00:30:00	1.36884	1.36894	1.36872	1.36893	61	0	21
2025.12.30	00:45:00	1.36881	1.36895	1.36877	1.36878	73	0	28
2025.12.30	01:00:00	1.36841	1.36899	1.36837	1.36883	169	0	3
2025.12.30	01:15:00	1.36884	1.36902	1.36884	1.36893	129	0	3
2025.12.30	01:30:00	1.36885	1.36902	1.36883	1.36887	95	0	3
2025.12.30	01:45:00	1.36887	1.36904	1.36873	1.36878	110	0	3
2025.12.30	02:00:00	1.36878	1.36906	1.36878	1.36891	170	0	3
2025.12.30	02:15:00	1.36891	1.36908	1.36889	1.36901	119	0	3
2025.12.30	02:30:00	1.36901	1.36939	1.36901	1.36937	125	0	3
2025.12.30	02:45:00	1.36934	1.36953	1.36912	1.36913	185	0	3
2025.12.30	03:00:00	1.36916	1.36927	1.36893	1.36897	172	0	3
2025.12.30	03:15:00	1.36898	1.36911	1.36881	1.36895	192	0	3
2025.12.30	03:30:00	1.36895	1.36906	1.36863	1.36864	161	0	3
2025.12.30	03:45:00	1.36862	1.36864	1.36844	1.36846	246	0	3
2025.12.30	04:00:00	1.36842	1.36894	1.36833	1.36876	199	0	3
2025.12.30	04:15:00	1.36877	1.36903	1.36877	1.36900	163	0	3
2025.12.30	04:30:00	1.36901	1.36903	1.36877	1.36887	154	0	3
2025.12.30	04:45:00	1.36887	1.36887	1.36863	1.36876	167	0	3
2025.12.30	05:00:00	1.36876	1.36897	1.36873	1.36887	147	0	3
2025.12.30	05:15:00	1.36887	1.36892	1.36868	1.36868	110	0	3
2025.12.30	05:30:00	1.36867	1.36874	1.36849	1.36863	133	0	3
2025.12.30	05:45:00	1.36864	1.36878	1.36854	1.36878	154	0	3
2025.12.30	06:00:00	1.36877	1.36889	1.36873	1.36877	128	0	3
2025.12.30	06:15:00	1.36877	1.36884	1.36866	1.36872	109	0	3
2025.12.30	06:30:00	1.36872	1.36872	1.36846	1.36846	115	0	3
2025.12.30	06:45:00	1.36846	1.36860	1.36843	1.36856	108	0	3
2025.12.30	07:00:00	1.36856	1.36864	1.36832	1.36837	132	0	1
2025.12.30	07:15:00	1.36837	1.36842	1.36830	1.36836	121	0	0
2025.12.30	07:30:00	1.36836	1.36853	1.36829	1.36851	117	0	1
2025.12.30	07:45:00	1.36850	1.36872	1.36844	1.36864	157	0	0
2025.12.30	08:00:00	1.36864	1.36875	1.36830	1.36833	177	0	2
2025.12.30	08:15:00	1.36833	1.36849	1.36831	1.36848	159	0	3
2025.12.30	08:30:00	1.36848	1.36848	1.36827	1.36839	96	0	1
2025.12.30	08:45:00	1.36840	1.36850	1.36829	1.36842	148	0	0
2025.12.30	09:00:00	1.36843	1.36862	1.36837	1.36852	174	0	3
2025.12.30	09:15:00	1.36852	1.36875	1.36838	1.36854	184	0	2
2025.12.30	09:30:00	1.36853	1.36872	1.36834	1.36842	157	0	2
2025.12.30	09:45:00	1.36840	1.36858	1.36833	1.36833	152	0	1
2025.12.30	10:00:00	1.36831	1.36886	1.36829	1.36834	291	0	3
2025.12.30	10:15:00	1.36834	1.36901	1.36813	1.36901	255	0	3
2025.12.30	10:30:00	1.36902	1.36917	1.36866	1.36884	214	0	1
2025.12.30	10:45:00	1.36885	1.36902	1.36834	1.36870	266	0	1
2025.12.30	11:00:00	1.36870	1.36901	1.36829	1.36849	259	0	3
2025.12.30	11:15:00	1.36849	1.36857	1.36811	1.36823	234	0	3
2025.12.30	11:30:00	1.36824	1.36826	1.36798	1.36807	216	0	3
2025.12.30	11:45:00	1.36808	1.36846	1.36789	1.36846	208	0	1
2025.12.30	12:00:00	1.36846	1.36864	1.36839	1.36862	178	0	3
2025.12.30	12:15:00	1.36859	1.36859	1.36825	1.36845	174	0	1
2025.12.30	12:30:00	1.36846	1.36852	1.36827	1.36841	198	0	2
2025.12.30	12:45:00	1.36841	1.36881	1.36840	1.36871	195	0	3
2025.12.30	13:00:00	1.36870	1.36906	1.36869	1.36900	180	0	1
2025.12.30	13:15:00	1.36900	1.36947	1.36896	1.36946	132	0	2
2025.12.30	13:30:00	1.36944	1.36979	1.36938	1.36978	159	0	1
2025.12.30	13:45:00	1.36979	1.36993	1.36965	1.36986	227	0	2
2025.12.30	14:00:00	1.36987	1.37034	1.36980	1.36981	273	0	0
2025.12.30	14:15:00	1.36979	1.37034	1.36979	1.37022	248	0	3
2025.12.30	14:30:00	1.37021	1.37057	1.37005	1.37057	226	0	3
2025.12.30	14:45:00	1.37058	1.37082	1.37035	1.37045	294	0	3
2025.12.30	15:00:00	1.37046	1.37046	1.36956	1.36962	429	0	3
2025.12.30	15:15:00	1.36961	1.37029	1.36951	1.37029	374	0	3
2025.12.30	15:30:00	1.37032	1.37048	1.36952	1.36962	474	0	3
2025.12.30	15:45:00	1.36962	1.37049	1.36926	1.37040	522	0	3
2025.12.30	16:00:00	1.37040	1.37055	1.36994	1.37034	460	0	3
2025.12.30	16:15:00	1.37032	1.37043	1.36971	1.36982	442	0	3
2025.12.30	16:30:00	1.36983	1.37043	1.36971	1.37041	424	0	3
2025.12.30	16:45:00	1.37039	1.37066	1.36969	1.37012	561	0	3
2025.12.30	17:00:00	1.37012	1.37014	1.36971	1.36997	473	0	3
2025.12.30	17:15:00	1.36998	1.37059	1.36972	1.37045	449	0	3
2025.12.30	17:30:00	1.37046	1.37087	1.37023	1.37035	442	0	3
2025.12.30	17:45:00	1.37033	1.37037	1.36814	1.36830	623	0	3
2025.12.30	18:00:00	1.36832	1.36876	1.36811	1.36865	579	0	3
2025.12.30	18:15:00	1.36865	1.36866	1.36820	1.36840	501	0	3
2025.12.30	18:30:00	1.36841	1.36857	1.36814	1.36834	372	0	3
2025.12.30	18:45:00	1.36832	1.36841	1.36803	1.36806	301	0	3
2025.12.30	19:00:00	1.36805	1.36845	1.36796	1.36845	326	0	3
2025.12.30	19:15:00	1.36846	1.36846	1.36797	1.36818	327	0	3
2025.12.30	19:30:00	1.36819	1.36879	1.36807	1.36870	294	0	0
2025.12.30	19:45:00	1.36871	1.36879	1.36845	1.36861	295	0	3
2025.12.30	20:00:00	1.36859	1.36878	1.36839	1.36871	303	0	3
2025.12.30	20:15:00	1.36872	1.36878	1.36841	1.36847	216	0	3
2025.12.30	20:30:00	1.36848	1.36882	1.36830	1.36874	240	0	3
2025.12.30	20:45:00	1.36875	1.36929	1.36875	1.36881	252	0	3
2025.12.30	21:00:00	1.36856	1.36947	1.36847	1.36937	224	0	3
2025.12.30	21:15:00	1.36937	1.36940	1.36901	1.36921	250	0	3
2025.12.30	21:30:00	1.36919	1.36959	1.36914	1.36930	226	0	3
2025.12.30	21:45:00	1.36930	1.36984	1.36920	1.36963	351	0	3
2025.12.30	22:00:00	1.36962	1.36965	1.36936	1.36936	278	0	3
2025.12.30	22:15:00	1.36936	1.36939	1.36915	1.36931	272	0	3
2025.12.30	22:30:00	1.36931	1.36957	1.36923	1.36957	228	0	3
2025.12.30	22:45:00	1.36957	1.36992	1.36947	1.36987	302	0	3
2025.12.30	23:00:00	1.36981	1.36981	1.36952	1.36959	133	0	3
2025.12.30	23:15:00	1.36959	1.36991	1.36949	1.36987	96	0	3
2025.12.30	23:30:00	1.36990	1.36993	1.36946	1.36946	113	0	3
2025.12.30	23:45:00	1.36941	1.36975	1.36941	1.36956	326	0	3
2025.12.31	00:00:00	1.36924	1.36937	1.36905	1.36937	39	0	43
2025.12.31	00:15:00	1.36946	1.36949	1.36932	1.36945	44	0	28
2025.12.31	00:30:00	1.36945	1.36947	1.36928	1.36939	40	0	28
2025.12.31	00:45:00	1.36937	1.36961	1.36937	1.36961	54	0	24
2025.12.31	01:00:00	1.36954	1.36954	1.36886	1.36944	81	0	3
2025.12.31	01:15:00	1.36944	1.36961	1.36937	1.36958	73	0	3
2025.12.31	01:30:00	1.36958	1.36971	1.36954	1.36967	73	0	3
2025.12.31	01:45:00	1.36967	1.36978	1.36952	1.36956	88	0	3
2025.12.31	02:00:00	1.36956	1.36961	1.36933	1.36933	85	0	3
2025.12.31	02:15:00	1.36936	1.36953	1.36932	1.36950	77	0	3
2025.12.31	02:30:00	1.36949	1.36979	1.36948	1.36975	122	0	3
2025.12.31	02:45:00	1.36975	1.36991	1.36956	1.36959	162	0	3
2025.12.31	03:00:00	1.36958	1.36983	1.36950	1.36955	277	0	3
2025.12.31	03:15:00	1.36955	1.36959	1.36938	1.36952	172	0	3
2025.12.31	03:30:00	1.36951	1.36962	1.36930	1.36938	194	0	3
2025.12.31	03:45:00	1.36937	1.36962	1.36923	1.36961	219	0	3
2025.12.31	04:00:00	1.36961	1.36999	1.36959	1.36996	219	0	3
2025.12.31	04:15:00	1.36995	1.37012	1.36985	1.36995	185	0	3
2025.12.31	04:30:00	1.36995	1.36995	1.36970	1.36977	163	0	3
2025.12.31	04:45:00	1.36977	1.36985	1.36957	1.36978	195	0	3
2025.12.31	05:00:00	1.36979	1.36982	1.36955	1.36962	167	0	3
2025.12.31	05:15:00	1.36966	1.37002	1.36964	1.36989	137	0	3
2025.12.31	05:30:00	1.36988	1.36990	1.36961	1.36971	113	0	3
2025.12.31	05:45:00	1.36970	1.36974	1.36957	1.36968	93	0	3
2025.12.31	06:00:00	1.36968	1.36973	1.36962	1.36973	113	0	3
2025.12.31	06:15:00	1.36973	1.36974	1.36960	1.36973	73	0	3
2025.12.31	06:30:00	1.36972	1.36981	1.36953	1.36979	80	0	3
2025.12.31	06:45:00	1.36978	1.36981	1.36960	1.36975	116	0	3
2025.12.31	07:00:00	1.36976	1.36989	1.36960	1.36970	119	0	1
