<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.20	01:00:00	55.779	55.786	55.645	55.684	152	0	41
2026.07.20	01:01:00	55.676	55.744	55.563	55.680	120	0	40
2026.07.20	01:02:00	55.661	55.742	55.551	55.578	94	0	40
2026.07.20	01:03:00	55.578	55.680	55.497	55.613	71	0	39
2026.07.20	01:04:00	55.610	55.661	55.573	55.647	77	0	43
2026.07.20	01:05:00	55.625	55.734	55.606	55.673	109	0	40
2026.07.20	01:06:00	55.673	55.701	55.548	55.600	87	0	36
2026.07.20	01:07:00	55.600	55.632	55.584	55.608	84	0	34
2026.07.20	01:08:00	55.608	55.614	55.531	55.580	78	0	31
2026.07.20	01:09:00	55.579	55.668	55.577	55.662	85	0	30
2026.07.20	01:10:00	55.662	55.662	55.605	55.616	52	0	31
2026.07.20	01:11:00	55.616	55.663	55.616	55.638	52	0	34
2026.07.20	01:12:00	55.631	55.637	55.604	55.634	41	0	54
2026.07.20	01:13:00	55.635	55.645	55.601	55.624	57	0	51
2026.07.20	01:14:00	55.626	55.642	55.600	55.632	68	0	37
2026.07.20	01:15:00	55.634	55.666	55.619	55.642	125	0	30
2026.07.20	01:16:00	55.642	55.674	55.628	55.660	90	0	41
2026.07.20	01:17:00	55.658	55.674	55.626	55.626	80	0	44
2026.07.20	01:18:00	55.626	55.644	55.605	55.635	73	0	44
2026.07.20	01:19:00	55.635	55.676	55.635	55.660	85	0	48
2026.07.20	01:20:00	55.661	55.661	55.624	55.641	69	0	50
2026.07.20	01:21:00	55.641	55.650	55.621	55.625	59	0	55
2026.07.20	01:22:00	55.625	55.625	55.593	55.605	69	0	52
2026.07.20	01:23:00	55.605	55.605	55.571	55.581	79	0	51
2026.07.20	01:24:00	55.581	55.585	55.557	55.583	74	0	50
2026.07.20	01:25:00	55.584	55.584	55.550	55.551	59	0	50
2026.07.20	01:26:00	55.552	55.552	55.542	55.549	51	0	50
2026.07.20	01:27:00	55.549	55.549	55.503	55.508	86	0	49
2026.07.20	01:28:00	55.508	55.543	55.502	55.529	52	0	50
