<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.20	01:00:00	4000.49	4006.17	3964.89	4001.19	729	0	89
2026.07.20	01:01:00	4001.19	4003.30	3997.03	3997.74	221	0	90
2026.07.20	01:02:00	3997.74	4002.10	3996.73	3998.91	264	0	110
2026.07.20	01:03:00	3998.65	4000.03	3996.62	3997.95	213	0	80
2026.07.20	01:04:00	3997.95	3999.05	3994.09	3996.09	187	0	65
2026.07.20	01:05:00	3996.25	4002.07	3996.01	4000.47	241	0	19
2026.07.20	01:06:00	4000.39	4000.39	3998.29	3999.29	183	0	47
2026.07.20	01:07:00	3999.22	3999.57	3996.44	3997.69	210	0	32
2026.07.20	01:08:00	3997.69	3998.21	3994.44	3995.52	165	0	47
2026.07.20	01:09:00	3995.51	3998.15	3995.12	3997.29	125	0	32
2026.07.20	01:10:00	3997.29	3997.96	3996.10	3996.26	93	0	47
2026.07.20	01:11:00	3996.94	3997.61	3995.97	3996.66	120	0	40
2026.07.20	01:12:00	3996.73	3997.37	3995.88	3996.98	126	0	30
2026.07.20	01:13:00	3996.98	3997.70	3996.19	3996.83	180	0	41
2026.07.20	01:14:00	3996.81	3996.93	3995.81	3996.51	135	0	40
2026.07.20	01:15:00	3996.16	3998.06	3995.52	3996.55	297	0	30
2026.07.20	01:16:00	3996.55	3998.65	3996.27	3997.87	237	0	30
2026.07.20	01:17:00	3997.87	3998.27	3996.72	3996.76	163	0	38
2026.07.20	01:18:00	3996.95	3997.82	3996.23	3997.53	146	0	36
2026.07.20	01:19:00	3997.96	3999.77	3997.66	3999.57	184	0	31
2026.07.20	01:20:00	3999.57	3999.71	3997.48	3999.53	200	0	34
2026.07.20	01:21:00	3999.53	4000.05	3998.26	3998.76	223	0	41
2026.07.20	01:22:00	3998.96	4000.30	3997.99	3998.56	229	0	23
2026.07.20	01:23:00	3998.56	3998.77	3996.96	3997.15	184	0	22
2026.07.20	01:24:00	3997.15	3998.26	3996.80	3998.02	236	0	27
2026.07.20	01:25:00	3997.74	3997.95	3996.34	3996.67	150	0	40
2026.07.20	01:26:00	3996.67	3996.67	3995.42	3995.69	180	0	38
2026.07.20	01:27:00	3995.69	3996.17	3995.08	3995.60	225	0	15
2026.07.20	01:28:00	3995.38	3996.15	3995.25	3995.33	156	0	35
2026.07.20	01:29:00	3995.33	3995.45	3994.65	3994.92	186	0	37
2026.07.20	01:30:00	3994.92	3995.61	3993.24	3994.71	389	0	22
2026.07.20	01:31:00	3994.69	3996.75	3994.69	3996.51	264	0	31
2026.07.20	01:32:00	3996.51	3996.92	3994.92	3996.75	296	0	35
2026.07.20	01:33:00	3996.75	3998.09	3996.60	3997.95	188	0	33
2026.07.20	01:34:00	3997.92	3999.02	3997.48	3998.05	290	0	25
2026.07.20	01:35:00	3998.01	3998.80	3997.26	3997.28	206	0	33
2026.07.20	01:36:00	3997.25	3998.00	3996.46	3997.09	189	0	21
2026.07.20	01:37:00	3997.14	3997.20	3996.45	3996.60	153	0	35
2026.07.20	01:38:00	3996.60	3996.99	3996.45	3996.51	117	0	35
2026.07.20	01:39:00	3996.51	3997.42	3996.51	3996.99	116	0	35
2026.07.20	01:40:00	3996.99	3997.62	3996.50	3997.21	141	0	35
2026.07.20	01:41:00	3997.21	3998.94	3996.87	3998.88	251	0	20
2026.07.20	01:42:00	3998.84	3999.25	3997.12	3997.69	191	0	18
2026.07.20	01:43:00	3997.66	3998.11	3996.61	3997.10	164	0	34
2026.07.20	01:44:00	3997.10	3998.03	3996.48	3996.74	112	0	35
2026.07.20	01:45:00	3996.74	3997.11	3995.84	3996.70	112	0	25
2026.07.20	01:46:00	3996.70	3997.65	3996.57	3996.57	145	0	35
2026.07.20	01:47:00	3996.57	3996.83	3996.03	3996.52	143	0	35
2026.07.20	01:48:00	3996.52	3998.36	3996.52	3997.19	153	0	23
2026.07.20	01:49:00	3997.19	3997.73	3997.17	3997.36	114	0	32
2026.07.20	01:50:00	3997.36	3997.60	3996.74	3997.47	144	0	24
2026.07.20	01:51:00	3997.40	3998.11	3997.09	3997.39	138	0	31
2026.07.20	01:52:00	3997.39	3997.39	3996.56	3996.81	123	0	31
2026.07.20	01:53:00	3996.89	3997.77	3996.45	3997.25	159	0	30
2026.07.20	01:54:00	3997.25	3997.27	3996.65	3996.91	106	0	27
2026.07.20	01:55:00	3996.89	3998.29	3996.73	3998.24	178	0	22
2026.07.20	01:56:00	3998.24	3998.39	3996.52	3996.70	149	0	29
2026.07.20	01:57:00	3996.70	3996.98	3995.77	3995.93	134	0	31
2026.07.20	01:58:00	3995.93	3996.39	3995.44	3996.11	119	0	24
2026.07.20	01:59:00	3996.09	3996.09	3994.59	3994.70	124	0	33
2026.07.20	02:00:00	3994.92	3995.56	3992.08	3992.23	417	0	22
2026.07.20	02:01:00	3992.24	3992.86	3991.51	3992.27	262	0	33
2026.07.20	02:02:00	3992.21	3993.50	3992.21	3993.10	177	0	32
2026.07.20	02:03:00	3993.10	3995.14	3992.99	3993.61	189	0	24
2026.07.20	02:04:00	3993.69	3995.44	3993.35	3994.85	152	0	33
2026.07.20	02:05:00	3994.91	3995.07	3994.07	3994.11	150	0	35
2026.07.20	02:06:00	3994.22	3995.23	3993.52	3994.85	150	0	35
2026.07.20	02:07:00	3994.85	3994.94	3993.95	3994.02	100	0	31
2026.07.20	02:08:00	3994.02	3994.31	3993.37	3993.49	176	0	29
2026.07.20	02:09:00	3993.51	3994.47	3993.05	3994.42	148	0	24
2026.07.20	02:10:00	3994.42	3994.42	3993.57	3993.94	177	0	19
2026.07.20	02:11:00	3993.97	3994.50	3992.92	3993.17	144	0	19
2026.07.20	02:12:00	3993.17	3993.38	3990.96	3991.63	183	0	26
2026.07.20	02:13:00	3991.63	3992.38	3990.82	3991.09	193	0	30
2026.07.20	02:14:00	3991.09	3991.39	3990.55	3990.97	243	0	29
2026.07.20	02:15:00	3990.99	3993.92	3990.99	3992.82	247	0	27
2026.07.20	02:16:00	3992.85	3992.91	3992.51	3992.69	147	0	28
2026.07.20	02:17:00	3992.70	3992.70	3991.38	3991.38	204	0	20
2026.07.20	02:18:00	3991.38	3991.94	3991.19	3991.43	152	0	28
2026.07.20	02:19:00	3991.43	3991.75	3990.82	3991.27	142	0	30
2026.07.20	02:20:00	3991.27	3991.34	3990.51	3991.13	125	0	32
2026.07.20	02:21:00	3991.19	3991.51	3990.54	3991.18	108	0	13
2026.07.20	02:22:00	3991.32	3991.52	3991.09	3991.34	83	0	35
2026.07.20	02:23:00	3991.36	3992.06	3990.86	3992.03	109	0	35
2026.07.20	02:24:00	3992.03	3993.34	3991.84	3993.18	141	0	29
2026.07.20	02:25:00	3993.24	3993.81	3993.11	3993.14	116	0	30
2026.07.20	02:26:00	3993.17	3993.60	3992.58	3992.70	134	0	33
2026.07.20	02:27:00	3992.70	3992.94	3992.03	3992.10	110	0	34
2026.07.20	02:28:00	3992.10	3992.55	3991.94	3992.39	77	0	33
2026.07.20	02:29:00	3992.39	3993.39	3992.35	3993.10	129	0	32
2026.07.20	02:30:00	3993.10	3993.32	3992.62	3992.68	106	0	30
2026.07.20	02:31:00	3992.68	3993.63	3992.22	3993.57	102	0	31
2026.07.20	02:32:00	3993.57	3993.99	3993.16	3993.29	111	0	31
2026.07.20	02:33:00	3993.29	3993.91	3992.38	3992.45	129	0	29
2026.07.20	02:34:00	3992.45	3994.17	3991.92	3994.04	164	0	24
2026.07.20	02:35:00	3994.04	3994.32	3992.12	3993.25	169	0	20
2026.07.20	02:36:00	3993.25	3994.04	3993.14	3993.28	136	0	24
2026.07.20	02:37:00	3993.20	3993.33	3991.20	3992.51	224	0	30
2026.07.20	02:38:00	3992.51	3993.53	3992.51	3993.34	147	0	30
2026.07.20	02:39:00	3993.34	3994.00	3992.83	3993.25	170	0	29
2026.07.20	02:40:00	3993.25	3993.49	3991.13	3991.22	191	0	24
2026.07.20	02:41:00	3991.22	3991.35	3989.85	3990.48	191	0	11
2026.07.20	02:42:00	3990.54	3991.34	3990.11	3991.24	232	0	22
2026.07.20	02:43:00	3991.24	3992.59	3990.13	3992.26	243	0	27
2026.07.20	02:44:00	3992.26	3993.05	3991.78	3992.35	171	0	33
2026.07.20	02:45:00	3992.35	3993.47	3989.52	3990.51	411	0	28
2026.07.20	02:46:00	3990.21	3990.95	3989.20	3990.23	426	0	17
2026.07.20	02:47:00	3990.21	3991.14	3989.99	3990.31	315	0	29
2026.07.20	02:48:00	3990.31	3992.20	3990.31	3991.91	353	0	28
2026.07.20	02:49:00	3991.93	3991.96	3990.92	3991.36	308	0	14
2026.07.20	02:50:00	3991.36	3992.87	3991.36	3992.74	367	0	27
2026.07.20	02:51:00	3992.72	3995.55	3992.60	3994.67	365	0	16
2026.07.20	02:52:00	3994.67	3996.12	3993.79	3994.43	458	0	8
2026.07.20	02:53:00	3994.44	3995.29	3993.44	3993.96	405	0	23
2026.07.20	02:54:00	3993.90	3994.04	3992.35	3993.16	376	0	22
2026.07.20	02:55:00	3993.16	3994.43	3992.68	3994.24	248	0	25
2026.07.20	02:56:00	3994.40	3995.18	3993.74	3994.54	383	0	25
2026.07.20	02:57:00	3994.54	3994.89	3993.97	3994.84	305	0	24
2026.07.20	02:58:00	3994.84	3995.19	3994.53	3994.74	325	0	23
2026.07.20	02:59:00	3994.76	3995.65	3994.57	3995.46	345	0	15
2026.07.20	03:00:00	3995.42	3995.83	3988.92	3988.93	699	0	6
2026.07.20	03:01:00	3989.10	3989.15	3983.49	3983.70	592	0	7
2026.07.20	03:02:00	3983.43	3986.67	3982.51	3984.96	669	0	8
2026.07.20	03:03:00	3985.00	3986.37	3984.29	3986.09	476	0	17
2026.07.20	03:04:00	3986.09	3987.58	3985.21	3987.23	336	0	19
2026.07.20	03:05:00	3987.24	3988.40	3986.17	3988.15	343	0	13
