# kind: EA_LOG
# EURUSD H1 2026.01-08, XEMA preset as-run (13/34, single H1 HTF, BB+CI+PSAR on,
# swing 55, SL cushion 0, TP = 2.5R fallback, CloseOnReverse on).
# entry_time = EA fill-bar time (harness signal bar is one bar earlier; use --tol-bars 1).
entry_time,direction,sl,exit_time,exit_reason
2026.01.02 06:00,BUY,1.17202,2026.01.02 12:01,SL
2026.01.22 01:00,SELL,1.17430,2026.01.22 18:11,SL
2026.02.06 18:00,BUY,1.17854,2026.02.09 15:56,TP
2026.02.11 18:00,SELL,1.19272,2026.03.02 17:46,TP
2026.03.11 14:00,SELL,1.16455,2026.03.13 09:22,TP
2026.03.25 19:00,SELL,1.16133,2026.03.30 18:10,TP
2026.03.31 18:00,BUY,1.14571,2026.04.08 02:19,TP
2026.04.16 17:00,SELL,1.17886,2026.04.17 00:02,SL
2026.04.21 13:00,SELL,1.17822,2026.04.23 03:10,TP
2026.04.24 20:00,BUY,1.16985,2026.04.27 00:00,SL
2026.05.08 02:00,SELL,1.17779,2026.05.08 15:34,SL
2026.05.19 12:00,SELL,1.16457,2026.05.20 18:17,SL
2026.05.26 19:00,SELL,1.16451,2026.05.27 09:44,SL
2026.05.28 20:00,BUY,1.16033,2026.06.03 15:33,SL
2026.06.04 16:00,BUY,1.15984,2026.06.05 15:53,SL
2026.06.10 03:00,SELL,1.15779,2026.06.11 22:20,SL
2026.06.16 09:00,SELL,1.15952,2026.06.16 10:58,SL
2026.06.17 18:00,SELL,1.16151,2026.06.17 22:03,TP
2026.07.02 13:00,BUY,1.13750,2026.07.23 16:07,SL
2026.07.27 06:00,BUY,1.13669,2026.07.27 23:44,SL
2026.07.28 21:00,BUY,1.13533,2026.07.30 13:16,TP
