signal_bar,direction,decision,pass_count,failed
2026.01.02 06:00 (fill bar),BUY,ACCEPT,5,
2026.01.06 01:00,BUY,REJECT,2,PSAR ADX
2026.01.06 17:00,SELL,REJECT,4,ADX
2026.01.13 09:00,SELL,REJECT,3,ADX
2026.01.13 11:00,BUY,REJECT,2,ADX
2026.01.13 15:00,SELL,REJECT,2,PSAR ADX
2026.01.13 16:00,BUY,REJECT,2,ADX
2026.01.13 18:00,SELL,REJECT,4,ADX
2026.01.19 07:00,BUY,REJECT,4,ADX
2026.01.22 01:00 (fill bar),SELL,ACCEPT,5,
2026.01.29 18:00,SELL,REJECT,4,ADX
2026.01.30 01:00,BUY,REJECT,3,ADX
2026.01.30 03:00,SELL,REJECT,4,ADX
2026.02.04 07:00,BUY,REJECT,4,ADX
2026.02.04 17:00,SELL,REJECT,4,ADX
2026.02.06 18:00 (fill bar),BUY,ACCEPT,5,
2026.02.11 18:00 (fill bar),SELL,ACCEPT,5,
2026.02.24 01:00,SELL,REJECT,4,
2026.02.25 16:00,SELL,REJECT,2,PSAR ADX
2026.02.25 18:00,BUY,REJECT,4,ADX
2026.02.26 20:00,SELL,REJECT,4,ADX
2026.02.27 07:00,BUY,REJECT,4,ADX
2026.02.27 16:00,SELL,REJECT,1,PSAR ADX
2026.02.27 18:00,BUY,REJECT,3,ADX
2026.03.02 02:00,SELL,REJECT,4,ADX
2026.03.05 02:00,BUY,REJECT,2,ADX
2026.03.05 06:00,SELL,REJECT,3,ADX
2026.03.09 22:00,BUY,REJECT,4,ADX
2026.03.11 14:00 (fill bar),SELL,ACCEPT,5,
2026.03.16 18:00,BUY,REJECT,4,PSAR
2026.03.18 21:00,SELL,REJECT,4,ADX
2026.03.23 10:00,SELL,REJECT,3,PSAR
2026.03.23 16:00,BUY,REJECT,4,ADX
2026.03.25 19:00 (fill bar),SELL,ACCEPT,5,
2026.03.31 18:00 (fill bar),BUY,ACCEPT,5,
2026.04.13 06:00,SELL,REJECT,3,ADX
2026.04.13 18:00,BUY,REJECT,4,
2026.04.16 17:00 (fill bar),SELL,ACCEPT,5,
2026.04.17 14:00,BUY,REJECT,4,ADX
2026.04.20 22:00,BUY,REJECT,4,
2026.04.21 13:00 (fill bar),SELL,ACCEPT,5,
2026.04.24 20:00 (fill bar),BUY,ACCEPT,5,
2026.04.28 06:00,SELL,REJECT,4,ADX
2026.04.30 18:00,BUY,REJECT,4,ADX
